filename,image1,image2,vgg16_cosine_similarity
0xMelkor_ethereum-node,0xMelkor_ethereum-node.png,0xMelkor_ethereum-node.png,0.30729473
2WAY_Design,2WAY_Design.jpg,2WAY_Design.png,0.31315237
Activiti_activiti-7-developers-guide,Activiti_activiti-7-developers-guide.png,Activiti_activiti-7-developers-guide.png,0.2605089
AhmedAbdelGawadFarag_Shams-Personal-Assistant,AhmedAbdelGawadFarag_Shams-Personal-Assistant.png,AhmedAbdelGawadFarag_Shams-Personal-Assistant.png,0.24833739
AmnisIO_AmnisIO,AmnisIO_AmnisIO.png,AmnisIO_AmnisIO.png,0.3158694
ArnBaudzus_FluxSurfer,ArnBaudzus_FluxSurfer.jpg,ArnBaudzus_FluxSurfer.png,0.40295643
Azure_AzureStack-QuickStart-Templates,Azure_AzureStack-QuickStart-Templates.png,Azure_AzureStack-QuickStart-Templates.png,0.38487613
BoraxTheClean_DevelopmentMachine,BoraxTheClean_DevelopmentMachine.png,BoraxTheClean_DevelopmentMachine.png,0.31852317
Bytom-Community_Bytom-Server,Bytom-Community_Bytom-Server.jpg,Bytom-Community_Bytom-Server.png,0.22969669
CMU-RERC-APT_tiramisu3-pr,CMU-RERC-APT_tiramisu3-pr.png,CMU-RERC-APT_tiramisu3-pr.png,0.19841182
CMUChimpsLab_Peekaboo,CMUChimpsLab_Peekaboo.jpeg,CMUChimpsLab_Peekaboo.png,0.43146145
Connor1996_Pokemon,Connor1996_Pokemon.png,Connor1996_Pokemon.png,0.28248578
Cpanchal1_Chatbot101-with-AWS-Lambda,Cpanchal1_Chatbot101-with-AWS-Lambda.png,Cpanchal1_Chatbot101-with-AWS-Lambda.png,0.23661757
Crazy0416_KnowledgeGraph,Crazy0416_KnowledgeGraph.png,Crazy0416_KnowledgeGraph.png,0.21020985
DJMcK_aws-lake-training,DJMcK_aws-lake-training.png,DJMcK_aws-lake-training.png,0.3424093
DanNguyenN_CompassUTD,DanNguyenN_CompassUTD.png,DanNguyenN_CompassUTD.png,0.27316588
DecenterApps_ResistanceProtocol,DecenterApps_ResistanceProtocol.png,DecenterApps_ResistanceProtocol.png,0.3209712
DehengYang_APRConfig,DehengYang_APRConfig.jpg,DehengYang_APRConfig.png,0.4756906
DevOps-Represent_devopsgirls-bootcamp-cn-2,DevOps-Represent_devopsgirls-bootcamp-cn-2.png,DevOps-Represent_devopsgirls-bootcamp-cn-2.png,0.27931035
EMERIC237_Restaurant-reservation-app,EMERIC237_Restaurant-reservation-app.png,EMERIC237_Restaurant-reservation-app.png,0.1754852
EOS-Nation_dfuse-docs,EOS-Nation_dfuse-docs.png,EOS-Nation_dfuse-docs.png,0.32764113
Elkinmt19_feature-hero-ml,Elkinmt19_feature-hero-ml.png,Elkinmt19_feature-hero-ml.png,0.50759673
Enterprise-CMCS_macpro-appian-connector,Enterprise-CMCS_macpro-appian-connector.png,Enterprise-CMCS_macpro-appian-connector.png,0.3601811
FPriv_factom-harmony-connect-python-sdk,FPriv_factom-harmony-connect-python-sdk.jpg,FPriv_factom-harmony-connect-python-sdk.png,0.42050475
Fenkey_irma,Fenkey_irma.png,Fenkey_irma.png,0.38802278
Fintan-contents_case-studies,Fintan-contents_case-studies.png,Fintan-contents_case-studies.png,0.30475938
FudanOCR_FudanOCR,FudanOCR_FudanOCR.jpeg,FudanOCR_FudanOCR.png,0.28345335
GoogleCloudPlatform_analytics-componentized-patterns,GoogleCloudPlatform_analytics-componentized-patterns.png,GoogleCloudPlatform_analytics-componentized-patterns.png,0.34924775
GoogleCloudPlatform_datacatalog-tag-engine,GoogleCloudPlatform_datacatalog-tag-engine.png,GoogleCloudPlatform_datacatalog-tag-engine.png,0.22558546
GoogleCloudPlatform_gke-pubsub-websocket-adapter,GoogleCloudPlatform_gke-pubsub-websocket-adapter.png,GoogleCloudPlatform_gke-pubsub-websocket-adapter.png,0.38264585
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras.png,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras.png,0.232772
IBM_IBM-Spectrum-Scale-Security-Posture,IBM_IBM-Spectrum-Scale-Security-Posture.jpg,IBM_IBM-Spectrum-Scale-Security-Posture.png,0.33332044
IBM_cognos-analytics-to-visualize-business-data,IBM_cognos-analytics-to-visualize-business-data.png,IBM_cognos-analytics-to-visualize-business-data.png,0.314654
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,IBM_customer-sentiment-on-seller-quality-nlu-cp4d.png,IBM_customer-sentiment-on-seller-quality-nlu-cp4d.png,0.35640043
IBM_datastax-cassandra-clickstream,IBM_datastax-cassandra-clickstream.png,IBM_datastax-cassandra-clickstream.png,0.47798765
IBM_ios-mapkit-indoor-map,IBM_ios-mapkit-indoor-map.png,IBM_ios-mapkit-indoor-map.png,0.297944
IBM_kubernetes-storage,IBM_kubernetes-storage.png,IBM_kubernetes-storage.png,0.33918083
IBM_logdna-cos,IBM_logdna-cos.png,IBM_logdna-cos.png,0.30319452
IBM_spectrum-protect-sppmon,IBM_spectrum-protect-sppmon.PNG,IBM_spectrum-protect-sppmon.png,0.29467577
IBM_torc_py,IBM_torc_py.png,IBM_torc_py.png,0.22048688
