filename,image1,image2,vgg16_cosine_similarity
0xMelkor_ethereum-node,0xMelkor_ethereum-node.png,0xMelkor_ethereum-node.png,0.25130826
23fa-cpsc490_canyough,23fa-cpsc490_canyough.png,23fa-cpsc490_canyough.png,0.20035529
2WAY_Design,2WAY_Design.jpg,2WAY_Design.png,0.32809997
Activiti_activiti-7-developers-guide,Activiti_activiti-7-developers-guide.png,Activiti_activiti-7-developers-guide.png,0.31995964
AhmedAbdelGawadFarag_Shams-Personal-Assistant,AhmedAbdelGawadFarag_Shams-Personal-Assistant.png,AhmedAbdelGawadFarag_Shams-Personal-Assistant.png,0.1550057
AmnisIO_AmnisIO,AmnisIO_AmnisIO.png,AmnisIO_AmnisIO.png,0.32769227
ArnBaudzus_FluxSurfer,ArnBaudzus_FluxSurfer.jpg,ArnBaudzus_FluxSurfer.png,0.19961572
Azure_AzureStack-QuickStart-Templates,Azure_AzureStack-QuickStart-Templates.png,Azure_AzureStack-QuickStart-Templates.png,0.30034977
BoraxTheClean_DevelopmentMachine,BoraxTheClean_DevelopmentMachine.png,BoraxTheClean_DevelopmentMachine.png,0.3683213
Bytom-Community_Bytom-Server,Bytom-Community_Bytom-Server.jpg,Bytom-Community_Bytom-Server.png,0.28255033
CMU-RERC-APT_tiramisu3-pr,CMU-RERC-APT_tiramisu3-pr.png,CMU-RERC-APT_tiramisu3-pr.png,0.23105288
CMUChimpsLab_Peekaboo,CMUChimpsLab_Peekaboo.jpeg,CMUChimpsLab_Peekaboo.png,0.38069582
CodisLabs_codis,CodisLabs_codis.png,CodisLabs_codis.png,0.25575703
Connor1996_Pokemon,Connor1996_Pokemon.png,Connor1996_Pokemon.png,0.22896123
Crazy0416_KnowledgeGraph,Crazy0416_KnowledgeGraph.png,Crazy0416_KnowledgeGraph.png,0.1865862
DJMcK_aws-lake-training,DJMcK_aws-lake-training.png,DJMcK_aws-lake-training.png,0.15707707
DanNguyenN_CompassUTD,DanNguyenN_CompassUTD.png,DanNguyenN_CompassUTD.png,0.21238685
DecenterApps_ResistanceProtocol,DecenterApps_ResistanceProtocol.png,DecenterApps_ResistanceProtocol.png,0.29830045
DehengYang_APRConfig,DehengYang_APRConfig.jpg,DehengYang_APRConfig.png,0.5415454
EMERIC237_Restaurant-reservation-app,EMERIC237_Restaurant-reservation-app.png,EMERIC237_Restaurant-reservation-app.png,0.1904844
EOS-Nation_dfuse-docs,EOS-Nation_dfuse-docs.png,EOS-Nation_dfuse-docs.png,0.2886572
Elkinmt19_feature-hero-ml,Elkinmt19_feature-hero-ml.png,Elkinmt19_feature-hero-ml.png,0.40669215
Enterprise-CMCS_macpro-appian-connector,Enterprise-CMCS_macpro-appian-connector.png,Enterprise-CMCS_macpro-appian-connector.png,0.25639164
FPriv_factom-harmony-connect-python-sdk,FPriv_factom-harmony-connect-python-sdk.jpg,FPriv_factom-harmony-connect-python-sdk.png,0.36354828
Fenkey_irma,Fenkey_irma.png,Fenkey_irma.png,0.34214443
Fintan-contents_case-studies,Fintan-contents_case-studies.png,Fintan-contents_case-studies.png,0.18054265
FudanOCR_FudanOCR,FudanOCR_FudanOCR.jpeg,FudanOCR_FudanOCR.png,0.3852889
GoogleCloudPlatform_analytics-componentized-patterns,GoogleCloudPlatform_analytics-componentized-patterns.png,GoogleCloudPlatform_analytics-componentized-patterns.png,0.24256575
GoogleCloudPlatform_datacatalog-tag-engine,GoogleCloudPlatform_datacatalog-tag-engine.png,GoogleCloudPlatform_datacatalog-tag-engine.png,0.24502498
GoogleCloudPlatform_gke-pubsub-websocket-adapter,GoogleCloudPlatform_gke-pubsub-websocket-adapter.png,GoogleCloudPlatform_gke-pubsub-websocket-adapter.png,0.32734454
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras.png,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras.png,0.10589057
IBM_IBM-Spectrum-Scale-Security-Posture,IBM_IBM-Spectrum-Scale-Security-Posture.jpg,IBM_IBM-Spectrum-Scale-Security-Posture.png,0.26548433
IBM_cognos-analytics-to-visualize-business-data,IBM_cognos-analytics-to-visualize-business-data.png,IBM_cognos-analytics-to-visualize-business-data.png,0.30844748
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,IBM_customer-sentiment-on-seller-quality-nlu-cp4d.png,IBM_customer-sentiment-on-seller-quality-nlu-cp4d.png,0.26218212
IBM_datastax-cassandra-clickstream,IBM_datastax-cassandra-clickstream.png,IBM_datastax-cassandra-clickstream.png,0.29370213
IBM_ios-mapkit-indoor-map,IBM_ios-mapkit-indoor-map.png,IBM_ios-mapkit-indoor-map.png,0.26078272
IBM_kubernetes-storage,IBM_kubernetes-storage.png,IBM_kubernetes-storage.png,0.19703794
IBM_logdna-cos,IBM_logdna-cos.png,IBM_logdna-cos.png,0.2588051
IBM_torc_py,IBM_torc_py.png,IBM_torc_py.png,0.22047877
IBM_vpc-flowlogs-log-analysis,IBM_vpc-flowlogs-log-analysis.png,IBM_vpc-flowlogs-log-analysis.png,0.17615867
IceFireDB_IceFireDB,IceFireDB_IceFireDB.png,IceFireDB_IceFireDB.png,0.19221938
JessNah_BeeGreen,JessNah_BeeGreen.png,JessNah_BeeGreen.png,0.3185594
JuliaParallel_DagScheduler.jl,JuliaParallel_DagScheduler.jl.png,JuliaParallel_DagScheduler.jl.png,0.23638308
KuangRD_Autonomous-Driving,KuangRD_Autonomous-Driving.png,KuangRD_Autonomous-Driving.png,0.23531151
LouisvilleMetro_WazeCCPProcessor,LouisvilleMetro_WazeCCPProcessor.png,LouisvilleMetro_WazeCCPProcessor.png,0.3199067
Luizbrandt_users-crud-salesforce,Luizbrandt_users-crud-salesforce.png,Luizbrandt_users-crud-salesforce.png,0.27186364
McOrts_taller-iot-sensor_radiactividad,McOrts_taller-iot-sensor_radiactividad.png,McOrts_taller-iot-sensor_radiactividad.png,0.29149264
MyEMS_myems,MyEMS_myems.png,MyEMS_myems.png,0.20392239
NLP4L_attic-nlp4l,NLP4L_attic-nlp4l.png,NLP4L_attic-nlp4l.png,0.24922514
NatalieLouise91_T3A2-Skemi-FrontEnd,NatalieLouise91_T3A2-Skemi-FrontEnd.png,NatalieLouise91_T3A2-Skemi-FrontEnd.png,0.20483351
Neighbor-Army_help-with-covid,Neighbor-Army_help-with-covid.png,Neighbor-Army_help-with-covid.png,0.33438236
NeuralDev-io_arclytics_simcct,NeuralDev-io_arclytics_simcct.png,NeuralDev-io_arclytics_simcct.png,0.22732562
NicoJuicy_Airline-Microservices,NicoJuicy_Airline-Microservices.jpg,NicoJuicy_Airline-Microservices.png,0.26920128
Nishu0_anime_nft_marketplace,Nishu0_anime_nft_marketplace.png,Nishu0_anime_nft_marketplace.png,0.2020762
NodleCode_n1,NodleCode_n1.png,NodleCode_n1.png,0.25886565
OAID_Tengine,OAID_Tengine.png,OAID_Tengine.png,0.434965
OpenIPC_motors,OpenIPC_motors.png,OpenIPC_motors.png,0.47869092
OpenPSD_modelbank,OpenPSD_modelbank.png,OpenPSD_modelbank.png,0.34504694
