ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.8832,34.2136,0.0193,0.0000,60.3122,0.0010
23fa-cpsc490_canyough,0.8842,36.6127,0.0148,0.0000,59.5186,-0.0034
2WAY_Design,0.8801,34.6854,0.0183,0.0000,57.4247,-0.0026
Activiti_activiti-7-developers-guide,0.9045,36.8119,0.0144,0.0000,57.2906,0.0001
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.9255,37.8093,0.0129,0.0000,59.1908,-0.0019
AmnisIO_AmnisIO,0.9174,37.0213,0.0141,0.0000,61.0416,0.0003
AndreasM009_AadApiGatekeeper,0.3824,26.3602,0.0481,0.0000,44.4064,-0.0016
ArnBaudzus_FluxSurfer,0.7131,30.3757,0.0292,0.0000,53.3779,-0.0005
Azure_AzureStack-QuickStart-Templates,0.9041,37.4358,0.0132,0.0000,58.5560,0.0011
BoraxTheClean_DevelopmentMachine,0.9487,38.9930,0.0112,0.0000,62.7526,0.0002
Bytom-Community_Bytom-Server,0.9237,38.4499,0.0119,0.0000,57.6201,0.0002
CMU-RERC-APT_tiramisu3-pr,0.2148,25.2280,0.0548,0.0000,44.1974,-0.0001
CMUChimpsLab_Peekaboo,0.8086,32.7569,0.0230,0.0000,57.5625,0.0014
CodisLabs_codis,0.9274,37.8968,0.0127,0.0000,63.3782,-0.0000
Connor1996_Pokemon,0.2149,25.3624,0.0539,0.0000,40.5036,0.0004
Cpanchal1_Chatbot101-with-AWS-Lambda,0.8537,33.3873,0.0214,0.0000,57.3394,-0.0005
Crazy0416_KnowledgeGraph,0.9341,37.0252,0.0141,0.0000,62.4308,0.0003
DJMcK_aws-lake-training,0.9409,38.2786,0.0122,0.0000,62.7206,0.0010
DanNguyenN_CompassUTD,0.8853,34.4078,0.0190,0.0000,57.7623,0.0057
DecenterApps_ResistanceProtocol,0.9205,37.6607,0.0131,0.0000,61.6933,-0.0005
DehengYang_APRConfig,0.8684,34.4742,0.0189,0.0000,60.5473,-0.0003
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.8463,33.3522,0.0214,0.0000,56.3804,0.0008
EMERIC237_Restaurant-reservation-app,0.7793,31.2269,0.0275,0.0000,51.1150,0.0007
EOS-Nation_dfuse-docs,0.9093,37.0044,0.0141,0.0000,59.5779,-0.0001
Elkinmt19_feature-hero-ml,0.8724,36.1208,0.0156,0.0000,58.3761,0.0033
Enterprise-CMCS_macpro-appian-connector,0.9584,38.5504,0.0118,0.0000,67.8808,-0.0001
