filename,image1,image2,vgg16_cosine_similarity
EOS-Nation_dfuse-docs,EOS-Nation_dfuse-docs.png,EOS-Nation_dfuse-docs.png,0.24159694
IBM_IBM-Spectrum-Scale-Security-Posture,IBM_IBM-Spectrum-Scale-Security-Posture.jpg,IBM_IBM-Spectrum-Scale-Security-Posture.png,0.3300022
OpenPSD_modelbank,OpenPSD_modelbank.png,OpenPSD_modelbank.png,0.47565186
Simon-0711_ta_lyrics_sentiment_classification,Simon-0711_ta_lyrics_sentiment_classification.png,Simon-0711_ta_lyrics_sentiment_classification.png,0.3717302
Taymindis_fcgi-function,Taymindis_fcgi-function.png,Taymindis_fcgi-function.png,0.16883838
awslabs_benchmark-ai,awslabs_benchmark-ai.png,awslabs_benchmark-ai.png,0.4720174
ballerina-platform_asyncapi-tools,ballerina-platform_asyncapi-tools.jpg,ballerina-platform_asyncapi-tools.png,0.3059131
batatero_arquiteturaPHP00,batatero_arquiteturaPHP00.jpg,batatero_arquiteturaPHP00.png,0.39493018
duanfuxiang0_MysqlMigrationTool,duanfuxiang0_MysqlMigrationTool.jpg,duanfuxiang0_MysqlMigrationTool.png,0.35217965
inovex_scrumlr.io,inovex_scrumlr.io.png,inovex_scrumlr.io.png,0.3052541
matryx_MatryxPlatform,matryx_MatryxPlatform.png,matryx_MatryxPlatform.png,0.12549514
ndsev_zswag,ndsev_zswag.png,ndsev_zswag.png,0.32921898
quasirsg_Henry-M3,quasirsg_Henry-M3.png,quasirsg_Henry-M3.png,0.21554106
s-sokolko_smev3_adapter_service,s-sokolko_smev3_adapter_service.jpg,s-sokolko_smev3_adapter_service.png,0.26026267
