sample_id,setting_id,has_missing_components,has_extra_components,granularity_issue,complexity_issue
1,1,True,True,True,True
1,2,False,False,True,False
1,3,False,True,True,False
1,4,True,False,True,False
1,5,True,False,True,False
2,1,False,False,True,False
2,2,False,False,True,False
2,3,False,False,True,False
2,4,False,False,True,False
2,5,False,True,True,False
3,2,False,False,True,True
3,3,False,False,True,False
3,4,False,False,True,False
3,5,False,False,True,False
4,1,True,False,False,False
4,2,False,False,False,True
4,3,False,False,True,False
4,4,False,False,True,True
4,5,False,False,False,False
5,1,False,False,False,True
5,2,False,False,True,True
5,3,True,False,False,False
5,5,False,False,False,False
6,1,False,False,True,False
6,2,False,False,True,True
6,3,False,False,True,True
6,4,False,False,True,True
6,5,False,False,True,False
7,1,True,False,True,False
7,2,False,False,True,True
7,3,False,False,True,True
7,5,False,False,True,False
8,2,False,False,True,False
8,3,True,False,True,False
8,4,False,False,False,False
8,5,False,False,False,False
9,1,False,False,True,False
9,2,False,False,True,False
9,3,False,False,True,False
9,4,False,True,True,False
9,5,True,False,True,False
10,1,False,False,True,False
10,2,False,False,True,True
10,3,False,False,True,False
10,4,False,False,True,False
10,5,False,False,True,False
11,1,False,False,True,True
11,2,False,False,True,False
11,3,False,False,True,False
11,4,False,True,True,False
11,5,False,False,True,False
12,1,False,False,True,False
12,2,False,True,True,True
12,3,False,False,True,False
12,4,False,False,True,False
12,5,False,False,True,False
13,1,False,False,True,False
13,2,False,True,True,False
13,3,False,False,True,False
13,4,False,True,True,False
13,5,False,False,False,False
14,1,False,True,True,False
14,2,False,True,True,False
14,3,False,True,True,False
14,4,False,True,True,False
14,5,False,False,True,False
15,1,False,False,True,False
15,2,False,False,False,False
15,3,False,False,False,False
15,4,False,False,True,True
15,5,False,False,False,False
16,1,False,False,True,True
16,2,False,True,True,False
16,3,False,False,False,False
16,4,False,False,False,False
16,5,True,False,False,False
17,1,False,False,True,False
17,2,False,True,True,False
17,3,False,False,False,False
17,4,False,False,True,False
17,5,False,False,False,False
18,1,False,False,True,False
18,2,False,True,True,True
18,3,False,True,True,False
18,4,False,False,True,True
18,5,False,False,True,False
19,2,False,False,True,True
19,3,False,False,False,False
19,4,False,False,True,True
19,5,False,False,True,False
20,1,False,False,False,False
20,2,False,False,True,False
20,3,False,False,False,True
20,4,False,False,True,False
20,5,False,False,True,False
21,1,False,False,True,False
21,2,False,False,True,True
21,3,False,True,True,False
21,4,False,False,True,False
21,5,False,False,True,False
22,1,False,False,True,False
22,2,False,False,True,True
22,3,False,False,False,False
22,4,False,False,False,False
22,5,False,False,False,False
