sample_id,setting_id,author1_accuracy,author2_accuracy,consensus_accuracy,accuracy_agreement,author1_detail,author2_detail,consensus_detail,detail_agreement
1,1,Not Meet,Not Meet,Not Meet,True,Partial,Not Meet,Partial,False
1,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Partial,Partial,False
1,3,Not Meet,Not Meet,Not Meet,True,Not Meet,Partial,Partial,False
1,4,Not Meet,Not Meet,Not Meet,True,Partial,Partial,Partial,True
1,5,Not Meet,Not Meet,Not Meet,True,Partial,Not Meet,Partial,False
2,1,Partial,Partial,Partial,True,Partial,Meets,Meets,False
2,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
2,3,Meets,Partial,Meets,False,Meets,Meets,Meets,True
2,4,Not Meet,Partial,Partial,False,Not Meet,Partial,Partial,False
2,5,Partial,Meets,Meets,False,Not Meet,Meets,Partial,False
3,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
3,3,Not Meet,Not Meet,Not Meet,True,Partial,Not Meet,Partial,False
3,4,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
3,5,Not Meet,Partial,Partial,False,Partial,Meets,Meets,False
4,1,Partial,Partial,Partial,True,Partial,Partial,Partial,True
4,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
4,3,Partial,Partial,Partial,True,Meets,Meets,Meets,True
4,4,Not Meet,Partial,Partial,False,Not Meet,Meets,Partial,False
4,5,Not Meet,Partial,Partial,False,Not Meet,Partial,Partial,False
5,1,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
5,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
5,3,Partial,Partial,Partial,True,Meets,Meets,Meets,True
5,5,Partial,Partial,Partial,True,Partial,Meets,Meets,False
6,1,Not Meet,Partial,Partial,False,Partial,Partial,Partial,True
6,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
6,3,Not Meet,Not Meet,Not Meet,True,Partial,Not Meet,Partial,False
6,4,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
6,5,Not Meet,Not Meet,Not Meet,True,Partial,Not Meet,Partial,False
7,1,Meets,Partial,Meets,False,Meets,Meets,Meets,True
7,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
7,3,Meets,Partial,Meets,False,Partial,Partial,Partial,True
7,5,Partial,Partial,Partial,True,Meets,Meets,Meets,True
8,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
8,3,Partial,Partial,Partial,True,Not Meet,Not Meet,Not Meet,True
8,4,Meets,Meets,Meets,True,Meets,Meets,Meets,True
8,5,Meets,Partial,Meets,False,Meets,Meets,Meets,True
9,1,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
9,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
9,3,Meets,Partial,Meets,False,Meets,Meets,Meets,True
9,4,Partial,Not Meet,Partial,False,Partial,Not Meet,Partial,False
9,5,Partial,Partial,Partial,True,Meets,Meets,Meets,True
10,1,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
10,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
10,3,Not Meet,Not Meet,Not Meet,True,Partial,Partial,Partial,True
10,4,Not Meet,Not Meet,Not Meet,True,Not Meet,Partial,Partial,False
10,5,Partial,Not Meet,Partial,False,Meets,Partial,Meets,False
11,1,Partial,Not Meet,Partial,False,Not Meet,Not Meet,Not Meet,True
11,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
