setting_id,metric,meets,partial,not_meet,total,meets_pct,partial_pct,not_meet_pct
1,Accuracy,1,9,9,19,5.263157894736842,47.368421052631575,47.368421052631575
1,Level of Detail,3,9,7,19,15.789473684210526,47.368421052631575,36.84210526315789
2,Accuracy,0,2,20,22,0.0,9.090909090909092,90.9090909090909
2,Level of Detail,0,4,18,22,0.0,18.181818181818183,81.81818181818183
3,Accuracy,4,9,9,22,18.181818181818183,40.909090909090914,40.909090909090914
3,Level of Detail,7,11,4,22,31.818181818181817,50.0,18.181818181818183
4,Accuracy,1,8,11,20,5.0,40.0,55.00000000000001
4,Level of Detail,2,10,8,20,10.0,50.0,40.0
5,Accuracy,4,9,9,22,18.181818181818183,40.909090909090914,40.909090909090914
5,Level of Detail,11,8,3,22,50.0,36.36363636363637,13.636363636363635
