Setting,Author,Metric,Meets,Partial,Not Meet,Total
1,Author 1,Accuracy,1,8,10,19
1,Author 2,Accuracy,0,7,12,19
1,Author 1,Level of Detail,3,7,9,19
1,Author 2,Level of Detail,4,5,10,19
2,Author 1,Accuracy,0,2,20,22
2,Author 2,Accuracy,0,0,22,22
2,Author 1,Level of Detail,0,0,22,22
2,Author 2,Level of Detail,0,4,18,22
3,Author 1,Accuracy,5,8,9,22
3,Author 2,Accuracy,1,8,13,22
3,Author 1,Level of Detail,7,9,6,22
3,Author 2,Level of Detail,8,5,9,22
4,Author 1,Accuracy,1,6,13,20
4,Author 2,Accuracy,1,4,15,20
4,Author 1,Level of Detail,1,6,13,20
4,Author 2,Level of Detail,3,6,11,20
5,Author 1,Accuracy,3,8,11,22
5,Author 2,Accuracy,2,9,11,22
5,Author 1,Level of Detail,9,8,5,22
5,Author 2,Level of Detail,10,5,7,22
