Category_Type,Model,Metric,Category_Value,Rank,N,Median,Mean,Std,Overall_H,Overall_p
Architectural Notation,Few-Shot (Claude),SSIM,icons_and_arrows,1,80,0.6799,0.6228,0.2067,20.784298683280067,0.00011671211656888966
Architectural Notation,Few-Shot (Claude),SSIM,boxes_and_arrows,2,163,0.6425,0.5977,0.1764,20.784298683280067,0.00011671211656888966
Architectural Notation,Few-Shot (Claude),SSIM,UML,3,13,0.6161,0.5795,0.1676,20.784298683280067,0.00011671211656888966
Architectural Notation,Few-Shot (Claude),SSIM,boxes,4,36,0.5466,0.4932,0.1786,20.784298683280067,0.00011671211656888966
Architectural Notation,Few-Shot (Claude),Quality,UML,1,13,0.3333,0.359,0.2532,4.531123928833192,0.20953084843009329
Architectural Notation,Few-Shot (Claude),Quality,boxes,2,36,0.3333,0.2963,0.2616,4.531123928833192,0.20953084843009329
Architectural Notation,Few-Shot (Claude),Quality,boxes_and_arrows,3,171,0.3333,0.3704,0.3243,4.531123928833192,0.20953084843009329
Architectural Notation,Few-Shot (Claude),Quality,icons_and_arrows,4,80,0.3333,0.4458,0.3672,4.531123928833192,0.20953084843009329
Architectural Notation,GPA (Claude Code),SSIM,icons_and_arrows,1,88,0.6446,0.5899,0.1976,23.89118141414622,2.6321370512366435e-05
Architectural Notation,GPA (Claude Code),SSIM,boxes_and_arrows,2,182,0.5971,0.5569,0.1849,23.89118141414622,2.6321370512366435e-05
Architectural Notation,GPA (Claude Code),SSIM,UML,3,13,0.5804,0.5613,0.1593,23.89118141414622,2.6321370512366435e-05
Architectural Notation,GPA (Claude Code),SSIM,boxes,4,43,0.4889,0.4653,0.1663,23.89118141414622,2.6321370512366435e-05
Architectural Notation,GPA (Claude Code),Quality,UML,1,14,0.1667,0.2857,0.3424,6.052323086728912,0.10909215747613016
Architectural Notation,GPA (Claude Code),Quality,boxes,2,43,0.0,0.2636,0.4086,6.052323086728912,0.10909215747613016
Architectural Notation,GPA (Claude Code),Quality,boxes_and_arrows,3,192,0.0,0.1962,0.3311,6.052323086728912,0.10909215747613016
Architectural Notation,GPA (Claude Code),Quality,icons_and_arrows,4,89,0.0,0.1199,0.237,6.052323086728912,0.10909215747613016
Architectural Notation,ArchView (Claude),SSIM,icons_and_arrows,1,85,0.7536,0.6883,0.2071,47.46168180397937,2.7721434952693805e-10
Architectural Notation,ArchView (Claude),SSIM,UML,2,11,0.6853,0.5952,0.2387,47.46168180397937,2.7721434952693805e-10
Architectural Notation,ArchView (Claude),SSIM,boxes_and_arrows,3,187,0.6097,0.5648,0.1974,47.46168180397937,2.7721434952693805e-10
Architectural Notation,ArchView (Claude),SSIM,boxes,4,44,0.607,0.5564,0.1862,47.46168180397937,2.7721434952693805e-10
Architectural Notation,ArchView (Claude),Quality,boxes,1,44,0.3333,0.3485,0.3211,8.764613098392116,0.01249650155812798
Architectural Notation,ArchView (Claude),Quality,boxes_and_arrows,2,177,0.3333,0.3823,0.3079,8.764613098392116,0.01249650155812798
Architectural Notation,ArchView (Claude),Quality,icons_and_arrows,3,85,0.3333,0.4941,0.3474,8.764613098392116,0.01249650155812798
Granularity,Few-Shot (Claude),SSIM,high,1,163,0.651,0.6017,0.1939,3.5805255929100492,0.16691629889111656
Granularity,Few-Shot (Claude),SSIM,low,2,24,0.6355,0.5824,0.2042,3.5805255929100492,0.16691629889111656
Granularity,Few-Shot (Claude),SSIM,medium,3,105,0.6147,0.576,0.1757,3.5805255929100492,0.16691629889111656
Granularity,Few-Shot (Claude),Quality,high,1,166,0.3333,0.3896,0.3396,0.5218098062551508,0.7703541744045184
Granularity,Few-Shot (Claude),Quality,low,2,24,0.3333,0.3194,0.2301,0.5218098062551508,0.7703541744045184
Granularity,Few-Shot (Claude),Quality,medium,3,110,0.3333,0.3818,0.3313,0.5218098062551508,0.7703541744045184
Granularity,GPA (Claude Code),SSIM,low,1,24,0.6196,0.5639,0.2024,3.0816526275272396,0.21420402854116566
Granularity,GPA (Claude Code),SSIM,high,2,183,0.6078,0.5625,0.1908,3.0816526275272396,0.21420402854116566
Granularity,GPA (Claude Code),SSIM,medium,3,119,0.5867,0.5387,0.1817,3.0816526275272396,0.21420402854116566
Granularity,GPA (Claude Code),Quality,high,1,186,0.0,0.1864,0.3268,0.1750356860230282,0.9162025236928502
Granularity,GPA (Claude Code),Quality,low,2,26,0.0,0.1923,0.3151,0.1750356860230282,0.9162025236928502
Granularity,GPA (Claude Code),Quality,medium,3,126,0.0,0.1905,0.3223,0.1750356860230282,0.9162025236928502
Granularity,ArchView (Claude),SSIM,high,1,181,0.6682,0.6136,0.2103,5.14096103674184,0.07649877752284036
Granularity,ArchView (Claude),SSIM,medium,2,124,0.6264,0.5785,0.1939,5.14096103674184,0.07649877752284036
Granularity,ArchView (Claude),SSIM,low,3,22,0.5958,0.5613,0.2372,5.14096103674184,0.07649877752284036
Granularity,ArchView (Claude),Quality,high,1,178,0.3333,0.4101,0.3468,0.5066066893882722,0.7762323801325195
Granularity,ArchView (Claude),Quality,low,2,20,0.3333,0.45,0.3294,0.5066066893882722,0.7762323801325195
Granularity,ArchView (Claude),Quality,medium,3,117,0.3333,0.396,0.28,0.5066066893882722,0.7762323801325195
Concern,Few-Shot (Claude),SSIM,data_flow,1,18,0.6827,0.6237,0.1823,19.13379787464408,0.0007397690138799174
Concern,Few-Shot (Claude),SSIM,control_flow,2,78,0.6791,0.6383,0.1812,19.13379787464408,0.0007397690138799174
Concern,Few-Shot (Claude),SSIM,deployment,3,82,0.6433,0.6042,0.1732,19.13379787464408,0.0007397690138799174
Concern,Few-Shot (Claude),SSIM,connectivity,4,20,0.6042,0.58,0.1555,19.13379787464408,0.0007397690138799174
Concern,Few-Shot (Claude),SSIM,general,5,81,0.5662,0.5319,0.2002,19.13379787464408,0.0007397690138799174
Concern,Few-Shot (Claude),Quality,connectivity,1,22,0.3333,0.3182,0.333,2.1128294148299136,0.7150157745521355
Concern,Few-Shot (Claude),Quality,control_flow,2,78,0.3333,0.3889,0.3415,2.1128294148299136,0.7150157745521355
Concern,Few-Shot (Claude),Quality,data_flow,3,19,0.3333,0.3509,0.3038,2.1128294148299136,0.7150157745521355
Concern,Few-Shot (Claude),Quality,deployment,4,84,0.3333,0.4246,0.3523,2.1128294148299136,0.7150157745521355
Concern,Few-Shot (Claude),Quality,general,5,83,0.3333,0.3735,0.3141,2.1128294148299136,0.7150157745521355
Concern,GPA (Claude Code),SSIM,security,1,11,0.6508,0.5601,0.2387,16.604433910720545,0.0053144359471559155
Concern,GPA (Claude Code),SSIM,control_flow,2,81,0.6451,0.6087,0.1672,16.604433910720545,0.0053144359471559155
Concern,GPA (Claude Code),SSIM,data_flow,3,18,0.627,0.5776,0.1717,16.604433910720545,0.0053144359471559155
Concern,GPA (Claude Code),SSIM,connectivity,4,24,0.5898,0.5545,0.151,16.604433910720545,0.0053144359471559155
Concern,GPA (Claude Code),SSIM,deployment,5,96,0.5889,0.5573,0.1822,16.604433910720545,0.0053144359471559155
Concern,GPA (Claude Code),SSIM,general,6,90,0.5501,0.5026,0.2052,16.604433910720545,0.0053144359471559155
Concern,GPA (Claude Code),Quality,connectivity,1,26,0.0,0.2179,0.3258,4.416600079638275,0.4911189975331032
Concern,GPA (Claude Code),Quality,control_flow,2,82,0.0,0.1463,0.2676,4.416600079638275,0.4911189975331032
Concern,GPA (Claude Code),Quality,data_flow,3,19,0.0,0.0702,0.1784,4.416600079638275,0.4911189975331032
Concern,GPA (Claude Code),Quality,deployment,4,99,0.0,0.2054,0.3457,4.416600079638275,0.4911189975331032
Concern,GPA (Claude Code),Quality,general,5,94,0.0,0.2305,0.3659,4.416600079638275,0.4911189975331032
