Category_Type,Model,Metric,Better_Category,Worse_Category,Better_Median,Worse_Median,Improvement_%,p_value,Cliffs_Delta,Effect_Size
Architectural Notation,Few-Shot (Claude),SSIM,icons_and_arrows,boxes,0.6799,0.54665,24.375743162901305,3.696807806897947e-05,0.48854166666666665,large
Architectural Notation,Few-Shot (Claude),SSIM,boxes_and_arrows,boxes,0.6425,0.54665,17.53407116070612,0.0037657649681288713,0.3783231083844581,medium
Architectural Notation,GPA (Claude Code),SSIM,icons_and_arrows,boxes,0.64455,0.4889,31.83677643689915,6.168801154400352e-06,0.49365750528541225,large
Architectural Notation,GPA (Claude Code),SSIM,boxes_and_arrows,boxes,0.5971,0.4889,22.13131519738187,0.002015949091859844,0.36583184257602863,medium
Architectural Notation,ArchView (Claude),SSIM,icons_and_arrows,boxes_and_arrows,0.7536,0.6097,23.601771362965394,2.5420809957885485e-10,0.5044353570305128,large
Architectural Notation,ArchView (Claude),SSIM,icons_and_arrows,boxes,0.7536,0.60705,24.1413392636521,5.322909736566601e-06,0.5211229946524064,large
Concern,Few-Shot (Claude),SSIM,control_flow,general,0.6791,0.5662,19.939950547509714,0.001396984364351567,0.3480531813865147,medium
Concern,GPA (Claude Code),SSIM,control_flow,general,0.6451,0.5501,17.269587347754946,0.0024992224170618943,0.32647462277091904,small
Concern,ArchView (Claude),SSIM,control_flow,general,0.6881,0.5754,19.58637469586375,9.096357651280995e-05,0.39219740832644057,medium
Concern,ArchView (Claude),SSIM,deployment,general,0.6682,0.5754,16.127911018421965,0.027550021300721882,0.28466327108092815,small
QAs,GPA (Claude Code),SSIM,functional_suitability,flexibility,0.6251,0.4964,25.926672038678483,0.028381488281754984,0.46293152235427276,medium
QAs,ArchView (Claude),SSIM,functional_suitability,maintainability,0.6992,0.618,13.139158576051788,0.010393865381567714,0.25842696629213485,small
