RQ,Category,Model,Metric,H,p-value,N
RQ2,Architectural Notation,Few-Shot,SSIM,20.78,< 0.001,292
RQ2,Architectural Notation,GPA,SSIM,23.89,< 0.001,326
RQ2,Architectural Notation,ArchView,SSIM,47.46,< 0.001,327
RQ2,Architectural Notation,ArchView,LLM Quality,8.92,0.0304,315
RQ3,Concern,Few-Shot,SSIM,19.46,0.002,287
RQ3,Concern,GPA,SSIM,16.60,0.005,320
RQ3,Concern,ArchView,SSIM,23.61,< 0.001,323
RQ3,QAs,Few-Shot,SSIM,13.55,0.009,281
RQ3,QAs,GPA,SSIM,16.94,0.002,313
RQ3,QAs,ArchView,SSIM,15.79,0.003,314
