Category,Model,Metric,H_stat,p_value,Significant
Architectural Notation,Few-Shot,LLM_Quality,6.6718794506944805,0.46382390565904386,False
Architectural Notation,Few-Shot,fewshot_claude_SSIM,26.286791546494193,0.00044755580094881783,True
Architectural Notation,GPA,LLM_Quality,11.946177440469326,0.10234280341997912,False
Architectural Notation,GPA,agent_claude_SSIM,32.22170712297604,3.6946454654290624e-05,True
Architectural Notation,ArchView,LLM_Quality,11.274192803556693,0.12709800190990012,False
Architectural Notation,ArchView,approach_claude_SSIM,64.87661629403881,1.5921760933547635e-11,True
Granularity,Few-Shot,LLM_Quality,0.5218098062551508,0.7703541744045184,False
Granularity,Few-Shot,fewshot_claude_SSIM,3.5805255929100492,0.16691629889111656,False
Granularity,GPA,LLM_Quality,0.1750356860230282,0.9162025236928502,False
Granularity,GPA,agent_claude_SSIM,3.0816526275272396,0.21420402854116566,False
Granularity,ArchView,LLM_Quality,0.5066066893882722,0.7762323801325195,False
Granularity,ArchView,approach_claude_SSIM,5.140961036742067,0.07649877752283167,False
Concern,GPA,LLM_Quality,25.371239412327235,0.5536656698457594,False
Concern,GPA,agent_claude_SSIM,37.02622430067596,0.09457901516615488,False
