RQ,Category,Model,Metric,Num_Categories,Total_N,H_statistic,p_value,Significant
RQ2,Architectural Notation,Few-Shot (Claude),SSIM,4,292,20.78429868328018,0.00011671211656888325,Yes
RQ2,Architectural Notation,Few-Shot (Claude),LLM Quality,4,300,4.531123928833192,0.20953084843009329,No
RQ2,Architectural Notation,GPA (Claude Code),SSIM,4,326,23.89118141414622,2.6321370512366435e-05,Yes
RQ2,Architectural Notation,GPA (Claude Code),LLM Quality,4,338,6.052323086728912,0.10909215747613016,No
RQ2,Architectural Notation,ArchView (Claude),SSIM,4,327,47.46168180397937,2.7721434952693805e-10,Yes
RQ2,Architectural Notation,ArchView (Claude),LLM Quality,4,315,8.916158601283316,0.0304266244688542,Yes
RQ2,Granularity,Few-Shot (Claude),SSIM,3,292,3.5805255929100492,0.16691629889111656,No
RQ2,Granularity,Few-Shot (Claude),LLM Quality,3,300,0.5218098062551508,0.7703541744045184,No
RQ2,Granularity,GPA (Claude Code),SSIM,3,326,3.0816526275272396,0.21420402854116566,No
RQ2,Granularity,GPA (Claude Code),LLM Quality,3,338,0.1750356860230282,0.9162025236928502,No
RQ2,Granularity,ArchView (Claude),SSIM,3,327,5.140961036742067,0.07649877752283167,No
RQ2,Granularity,ArchView (Claude),LLM Quality,3,315,0.5066066893882722,0.7762323801325195,No
RQ3,Concern,Few-Shot (Claude),SSIM,6,287,19.463346077945328,0.001575167547621968,Yes
RQ3,Concern,Few-Shot (Claude),LLM Quality,6,295,2.2455551600013877,0.8142291849340991,No
RQ3,Concern,GPA (Claude Code),SSIM,6,320,16.60443391072043,0.00531443594715617,Yes
RQ3,Concern,GPA (Claude Code),LLM Quality,6,332,4.416600079638275,0.4911189975331032,No
RQ3,Concern,ArchView (Claude),SSIM,6,323,23.61436643213015,0.00025746523048807276,Yes
RQ3,Concern,ArchView (Claude),LLM Quality,6,311,8.622388296148712,0.12510734159576647,No
RQ3,QAs,Few-Shot (Claude),SSIM,5,281,13.550213388128284,0.008877995198659115,Yes
RQ3,QAs,Few-Shot (Claude),LLM Quality,5,289,4.750477370229489,0.3138711769407127,No
RQ3,QAs,GPA (Claude Code),SSIM,5,313,16.942853291362738,0.0019829947025769854,Yes
RQ3,QAs,GPA (Claude Code),LLM Quality,5,325,5.9578716348319265,0.20231661322976882,No
RQ3,QAs,ArchView (Claude),SSIM,5,314,15.785236276267227,0.0033213078986994737,Yes
RQ3,QAs,ArchView (Claude),LLM Quality,5,302,2.9213632039297606,0.5710701533134125,No
