Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,37.02164166666666,0.014899999999999998,86.58944166666664,58.455075,0.606875,0.00038333333333333313,2,1,10,10,0,3,10,0,3
1shot_deepseek,34.91404615384615,0.02166923076923077,81.2563846153846,56.24439230769231,0.5307307692307692,0.00078,4,0,10,13,0,1,10,0,4
1shot_gpt,35.35499166666666,0.01915,86.66690833333335,56.549775000000004,0.578925,9.03501810404587e-21,4,0,9,10,0,3,11,0,2
agent_claude,36.346576923076924,0.017438461538461538,86.7531,56.960538461538476,0.5613,-6.923076923076921e-05,7,0,7,10,0,4,13,0,1
approach_claude,35.252218181818186,0.02158181818181818,8.068381818181818,55.511872727272724,0.5952454545454546,,1,0,8,9,0,0,7,0,2
approach_deepseek,35.468442857142854,0.020164285714285714,0.0,56.026700000000005,0.6333214285714287,,4,0,9,13,0,0,12,0,1
approach_gpt,36.132466666666666,0.0181,86.12145833333334,56.92845833333333,0.6565083333333334,,5,0,7,11,0,1,10,0,2
fewshot_claude,36.34272307692308,0.0173,86.75906153846154,56.958661538461534,0.5794846153846154,0.00026153846153846154,3,0,10,9,0,4,13,0,0
fewshot_deepseek,35.33492307692308,0.02096923076923077,81.33411538461539,56.45534615384617,0.5456153846153846,0.001,6,0,8,13,0,1,13,0,1
fewshot_gpt,35.78572307692307,0.018376923076923075,86.72834615384615,56.68126923076923,0.5764230769230769,0.0005307692307692307,6,0,8,11,0,3,11,0,3
zeroshot_claude,36.20699230769231,0.017584615384615386,86.7542846153846,56.88946153846153,0.5791846153846154,0.0006153846153846154,4,0,10,12,0,2,13,0,1
zeroshot_deepseek,35.49720000000001,0.019957142857142857,0.0,56.03962142857143,0.5481285714285714,,4,0,10,12,0,2,14,0,0
zeroshot_gpt,36.17745384615385,0.017653846153846152,86.75293846153846,56.874461538461546,0.5684923076923076,0.0014,5,0,9,12,0,2,13,0,1
