Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,32.81911935483871,0.025303225806451612,82.65333548387096,53.70914193548388,0.47048709677419354,-0.00018709677419354842,13,1,17,26,1,4,29,1,1
1shot_deepseek,32.51083529411765,0.026441176470588235,80.51197941176471,53.82618823529411,0.4568470588235294,-0.0005222222222222222,15,1,18,30,1,3,28,1,5
1shot_gpt,32.627860000000005,0.025697142857142856,82.28719142857143,53.86409714285715,0.45779142857142857,0.00026,16,1,18,29,1,5,32,1,2
agent_claude,32.74771764705882,0.02557647058823529,82.10031176470589,53.8267205882353,0.4405382352941177,-0.0005558823529411763,26,1,7,25,1,8,30,0,4
approach_claude,32.78528285714287,0.025179999999999998,20.521000000000004,53.97136285714286,0.5335057142857142,,11,2,22,31,0,4,31,0,4
approach_deepseek,33.05719393939394,0.024163636363636363,10.895845454545455,54.59007272727273,0.5527,,17,0,16,31,0,2,30,0,3
approach_gpt,32.99432285714286,0.025114285714285714,82.08820000000001,54.067451428571424,0.5388228571428572,,14,1,20,31,0,4,31,0,4
fewshot_claude,32.949586206896555,0.025282758620689655,80.90385862068965,54.008265517241384,0.4732448275862069,0.0004793103448275863,11,0,18,27,0,2,25,0,4
fewshot_deepseek,32.35536470588236,0.02716176470588235,74.79694411764706,53.731620588235295,0.43277941176470586,7.352941176470593e-05,15,1,18,31,1,2,26,1,7
fewshot_gpt,32.81457419354838,0.025174193548387097,83.5146935483871,53.657167741935474,0.45659999999999995,0.0010806451612903223,15,1,15,26,1,4,28,1,2
zeroshot_claude,32.676312499999995,0.025928125,81.64855625,53.726575000000004,0.46950312499999997,0.0013687499999999997,15,0,17,26,0,6,28,0,4
zeroshot_deepseek,32.608264705882355,0.025697058823529413,0.0,53.88216764705882,0.4611676470588235,,18,1,15,30,1,3,29,1,4
zeroshot_gpt,32.924338235294115,0.024917647058823527,82.09415588235294,54.137,0.47122647058823525,0.0010558823529411765,20,1,13,31,1,2,30,1,3
