Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.13876433121019,0.02003949044585987,81.05461464968153,56.9894076433121,0.5755006369426752,0.00011974522292993634,75,2,90,139,1,27,143,0,24
1shot_deepseek,34.700693529411765,0.02138,77.34152411764705,56.52534235294117,0.5622329411764706,0.0002162162162162162,60,3,117,146,1,33,145,1,34
1shot_gpt,34.755461490683224,0.02097142857142857,80.24005217391306,56.46967018633541,0.5699378881987578,0.0008093167701863355,67,1,102,144,1,25,140,1,29
agent_claude,35.20927076023391,0.0202233918128655,80.7802538011696,56.81286725146199,0.5515842105263158,0.00015555555555555562,131,1,49,150,2,29,160,0,21
approach_claude,34.33368125,0.02170681818181818,0.0,56.18072215909091,0.5539454545454545,,42,2,122,139,0,27,130,0,36
approach_deepseek,34.74398047337279,0.020859171597633137,4.777302366863905,56.5685349112426,0.6240343195266272,,68,1,100,148,0,21,138,0,31
approach_gpt,34.570935672514615,0.021185380116959064,80.68203918128654,56.47007953216374,0.5876374269005847,,69,1,98,149,0,19,150,0,18
fewshot_claude,35.47150980392157,0.01913006535947713,82.63374052287581,57.39290000000001,0.59269477124183,-5.359477124183006e-05,52,2,107,124,0,37,134,0,27
fewshot_deepseek,34.591483625730994,0.021943859649122807,75.60534327485382,56.49404444444444,0.5507397660818713,1.695906432748542e-05,64,3,114,142,1,38,151,1,29
fewshot_gpt,34.84405220125787,0.020737106918238993,80.08748616352202,56.53939874213837,0.5716811320754717,0.0008056603773584907,57,6,105,138,4,26,129,1,38
zeroshot_claude,35.049353987730065,0.020349079754601228,80.82440122699387,56.73831717791411,0.5724552147239265,0.0005846625766871166,70,3,100,147,0,26,138,0,35
zeroshot_deepseek,34.43985277777778,0.022411111111111114,0.0,56.258206111111114,0.5391605555555555,,89,0,91,148,0,32,156,0,24
zeroshot_gpt,35.10729629629629,0.02027777777777778,81.15737037037036,56.8078462962963,0.5739345679012345,0.0003117283950617284,86,1,85,155,0,17,149,0,23
