Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,36.53868888888889,0.015344444444444445,88.0127111111111,59.32189999999999,0.6439555555555555,0.0025555555555555557,3,0,6,5,0,4,8,0,1
1shot_deepseek,36.62891818181818,0.015136363636363635,88.26806363636364,59.74448181818182,0.6704181818181818,-0.0005857142857142857,2,0,9,7,0,4,6,0,5
1shot_gpt,36.58448181818182,0.015227272727272728,88.25880000000001,59.72173636363637,0.6787272727272728,0.00013636363636363637,3,0,8,8,0,3,10,0,1
agent_claude,36.90133636363636,0.014718181818181818,88.2849,59.88197272727273,0.6402545454545455,-0.0004181818181818182,7,0,4,7,0,4,11,0,0
approach_claude,36.781454545454544,0.014972727272727271,0.0,59.84673636363637,0.7376545454545455,,2,0,9,11,0,0,6,0,5
approach_deepseek,36.90353,0.014660000000000001,0.0,59.938869999999994,0.7522800000000001,,4,0,6,9,0,1,8,0,2
approach_gpt,37.1606909090909,0.014327272727272727,88.20146363636364,60.03945454545454,0.7443090909090909,,2,2,7,9,0,2,7,0,4
fewshot_claude,36.73688,0.014979999999999999,88.30305,60.15437000000001,0.6741400000000001,0.0005600000000000001,2,0,8,5,0,5,8,0,2
fewshot_deepseek,36.607918181818185,0.015172727272727272,88.26332727272728,59.73633636363636,0.6757454545454546,-0.00011818181818181818,1,0,10,8,0,3,7,0,4
fewshot_gpt,36.26652,0.015850000000000003,88.13601000000001,59.374379999999995,0.64093,-0.0009000000000000001,2,0,8,7,0,3,7,0,3
zeroshot_claude,36.12504444444444,0.01608888888888889,88.12754444444445,59.456788888888894,0.6506777777777777,-0.0003111111111111111,3,0,6,5,0,4,7,0,2
zeroshot_deepseek,36.906727272727274,0.014672727272727271,0.0,59.886790909090905,0.6698090909090909,,3,0,8,8,0,3,8,0,3
zeroshot_gpt,36.86494545454545,0.01477272727272727,88.28813636363635,59.86496363636365,0.6679181818181819,0.0004727272727272728,4,0,7,9,0,2,8,0,3
