Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,37.5839,0.0132,89.3665,60.006,0.5918,-0.0026,1,0,0,1,0,0,1,0,0
1shot_deepseek,36.8809,0.0143,89.3495,59.651,0.5411,-0.0016,1,0,0,1,0,0,1,0,0
1shot_gpt,36.0472,0.0158,89.2986,59.2257,0.4544,-0.0072,0,0,1,1,0,0,1,0,0
agent_claude,37.4163,0.0135,89.3702,59.9383,0.5641,0.0045,1,0,0,1,0,0,1,0,0
approach_claude,36.5312,0.0149,0.0,59.4765,0.6205,,0,0,1,1,0,0,1,0,0
approach_deepseek,36.3808,0.0151,0.0,59.4348,0.6189,,0,0,1,1,0,0,1,0,0
approach_gpt,38.2723,0.0122,89.3956,60.3647,0.6479,,1,0,0,1,0,0,1,0,0
fewshot_claude,37.2834,0.0137,89.3575,59.8557,0.5812,-0.0037,0,0,1,1,0,0,1,0,0
fewshot_deepseek,36.688,0.0146,89.3282,59.5518,0.5499,-0.0035,0,0,1,1,0,0,1,0,0
fewshot_gpt,36.6143,0.0148,89.3165,59.5186,0.5248,-0.0061,0,0,1,1,0,0,1,0,0
zeroshot_claude,37.3325,0.0136,89.3754,59.8786,0.5932,-0.0018,0,0,1,1,0,0,1,0,0
zeroshot_deepseek,36.5705,0.0148,0.0,59.4979,0.5298,,0,0,1,1,0,0,1,0,0
zeroshot_gpt,,,,,,,0,0,0,0,0,0,0,0,0
