Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.6722875,0.0182125,83.3930125,57.8917,0.5727375,-8.750000000000001e-05,1,0,7,7,0,1,7,0,1
1shot_deepseek,35.8776875,0.01725,79.1122,58.011075,0.5999625,0.004049999999999999,2,0,6,7,0,1,7,0,1
1shot_gpt,35.7002875,0.018075,83.372225,57.917275000000004,0.587075,0.0005249999999999999,2,0,6,8,0,0,7,0,1
agent_claude,35.938712499999994,0.0177625,83.399175,58.0442,0.557975,-0.0015249999999999999,3,0,5,5,0,3,5,0,3
approach_claude,35.582425,0.018325,0.0,57.88745,0.6484125000000001,,1,0,7,7,0,1,5,0,3
approach_deepseek,35.4238875,0.018612500000000004,0.0,57.827600000000004,0.6514625,,3,0,5,7,0,1,5,0,3
approach_gpt,35.88731249999999,0.0178625,83.22041250000001,58.047825,0.6444125,,2,0,6,7,0,1,5,0,3
fewshot_claude,35.533433333333335,0.018533333333333336,81.46878333333332,57.372883333333334,0.5747333333333333,-0.00043333333333333326,1,0,5,5,0,1,5,0,1
fewshot_deepseek,34.555212499999996,0.02285,76.059775,57.374012500000006,0.5081,-0.0005,3,0,5,7,0,1,8,0,0
fewshot_gpt,35.50325000000001,0.01908333333333333,81.37726666666666,57.45623333333333,0.5682833333333334,-6.66666666666667e-05,1,0,5,4,0,2,3,0,3
zeroshot_claude,37.234100000000005,0.01377142857142857,89.26091428571428,60.04155714285714,0.6585285714285715,-0.0011142857142857144,2,0,5,6,0,1,4,0,3
zeroshot_deepseek,33.637575,0.024675,0.0,56.95585,0.503025,,5,0,3,8,0,0,8,0,0
zeroshot_gpt,36.0074625,0.0176375,83.3994625,58.1109375,0.6018,0.0009375,2,0,6,7,0,1,7,0,1
