Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,36.084700000000005,0.018124285714285714,82.43717142857143,58.057608571428574,0.6302428571428571,0.00037714285714285714,31,0,39,54,0,16,66,0,4
1shot_deepseek,35.36154594594594,0.020198648648648652,80.03025135135135,57.33673648648649,0.6143851351351352,0.0003150943396226415,15,2,58,52,0,23,55,0,20
1shot_gpt,35.649849999999994,0.019112162162162164,81.9908945945946,57.55656621621621,0.6305918918918918,9.189189189189188e-05,21,0,54,55,0,20,58,0,17
agent_claude,36.092194666666664,0.018490666666666666,82.09816000000001,57.82106533333333,0.597476,0.00020933333333333337,59,0,17,70,0,6,74,0,2
approach_claude,35.87502465753425,0.01828904109589041,9.857857534246575,58.04705890410959,0.6963328767123288,,13,4,56,59,0,14,42,0,31
approach_deepseek,35.457921052631576,0.01943157894736842,13.019956578947369,57.49936842105264,0.6833736842105264,,28,2,46,66,1,9,51,1,24
approach_gpt,35.94224266666667,0.018770666666666668,81.99469066666667,57.77379333333333,0.6904306666666667,,12,1,63,57,0,19,51,0,25
fewshot_claude,35.8853794117647,0.018926470588235295,81.35331617647059,57.430949999999996,0.6231397058823529,0.00025735294117647066,19,1,48,44,0,24,52,0,16
fewshot_deepseek,35.067310666666664,0.021574666666666666,76.44691199999998,57.29592533333334,0.5881346666666667,9.333333333333334e-05,25,1,50,53,1,22,56,0,20
fewshot_gpt,35.43500571428572,0.019670000000000003,81.56500142857143,57.365837142857146,0.6158085714285715,0.0003171428571428571,19,0,52,58,0,13,53,0,18
zeroshot_claude,35.83298985507246,0.018804347826086962,81.4843115942029,57.804271014492755,0.6220434782608696,-4.2028985507246344e-05,28,0,42,56,0,14,67,0,3
zeroshot_deepseek,36.003628,0.01838,0.0,57.62589466666667,0.615312,,38,0,37,62,0,13,73,0,2
zeroshot_gpt,35.93310136986302,0.01875890410958904,81.89989726027397,57.657080821917816,0.6230821917808219,0.00040958904109589033,30,0,44,63,0,11,71,0,3
