Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.617999999999995,0.019116666666666667,83.51421666666666,57.535799999999995,0.5838916666666666,0.001,4,0,8,10,0,2,10,0,2
1shot_deepseek,34.54281538461537,0.02255384615384615,78.63256153846153,57.28083076923077,0.541776923076923,0.00019999999999999998,5,0,8,8,0,5,10,0,3
1shot_gpt,35.421933333333335,0.019541666666666666,83.3634,57.696733333333334,0.5994083333333334,0.0007333333333333332,4,0,8,10,0,2,9,0,3
agent_claude,35.65259999999999,0.018984615384615385,83.86829230769231,57.865853846153854,0.5460999999999999,-0.00013846153846153856,9,0,4,12,0,1,11,0,2
approach_claude,35.470575000000004,0.01925,0.0,57.72878333333333,0.6394166666666666,,1,0,11,11,0,1,7,0,5
approach_deepseek,35.53515384615385,0.018992307692307694,0.0,57.84268461538461,0.6484153846153847,,3,1,9,10,0,3,8,0,5
approach_gpt,36.00519230769231,0.01826153846153846,83.78713846153846,58.0686153846154,0.6559692307692307,,1,0,12,12,0,1,8,0,5
fewshot_claude,36.81106666666667,0.015383333333333332,89.34578333333333,59.468500000000006,0.6209416666666666,-0.0005583333333333333,4,0,8,6,0,6,9,0,3
fewshot_deepseek,35.6571,0.018976923076923075,83.87228461538461,57.865538461538456,0.6102923076923077,0.0005461538461538463,3,0,10,8,0,5,11,0,2
fewshot_gpt,36.038441666666664,0.01759166666666667,83.41330833333333,58.38906666666667,0.6095416666666666,7.500000000000002e-05,4,0,8,8,0,4,8,0,4
zeroshot_claude,35.25162,0.02028,82.29426,57.29126,0.57433,0.00184,5,0,5,9,0,1,9,0,1
zeroshot_deepseek,35.06804615384616,0.02055384615384616,0.0,57.54896923076923,0.5621384615384616,,9,0,4,9,0,4,11,0,2
zeroshot_gpt,35.726216666666666,0.01898333333333333,83.40265000000001,57.9198,0.590825,-0.00029166666666666664,6,0,6,10,0,2,8,0,4
