Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,34.42137073170732,0.022397560975609753,77.10062926829269,55.05650000000001,0.5445146341463415,0.0003097560975609756,17,0,27,35,0,9,40,0,4
1shot_deepseek,34.73336666666667,0.021405882352941174,78.6065450980392,55.317088235294115,0.5504549019607843,-0.0001771428571428572,21,0,33,46,0,8,48,0,6
1shot_gpt,34.39323404255318,0.022225531914893615,78.38647021276597,54.872748936170204,0.5410191489361701,0.0006553191489361701,25,0,24,44,0,5,49,0,0
agent_claude,34.74241764705883,0.02153333333333333,79.28983333333333,55.335568627450975,0.5212823529411765,0.00038431372549019614,37,0,17,45,0,9,46,0,8
approach_claude,34.81049019607843,0.02092745098039216,0.0,55.66718823529412,0.573456862745098,,14,0,35,44,0,5,36,0,13
approach_deepseek,34.53752653061225,0.021881632653061225,0.0,55.20039591836734,0.6084244897959185,,18,1,30,45,0,4,43,0,6
approach_gpt,34.6042431372549,0.02178235294117647,79.16686862745098,55.24782549019608,0.5712274509803922,,19,0,35,50,0,4,48,0,6
fewshot_claude,34.833526190476185,0.021395238095238096,79.01184285714287,55.18824047619048,0.5466142857142857,-0.0005785714285714287,15,1,29,30,0,15,39,0,6
fewshot_deepseek,34.73132352941176,0.02182549019607843,77.91248431372549,55.32815098039217,0.5517470588235294,-0.00010196078431372542,18,0,36,44,0,10,48,0,6
fewshot_gpt,34.359675,0.02235208333333333,78.62815416666668,54.95839375,0.52981875,0.0006854166666666666,18,1,31,39,1,10,39,0,11
zeroshot_claude,34.720846341463414,0.02134390243902439,78.55258292682926,55.3754731707317,0.5567121951219512,-0.00010731707317073174,17,0,27,36,0,8,37,0,7
zeroshot_deepseek,34.411937037037035,0.022233333333333334,0.0,55.270442592592595,0.5285481481481481,,33,0,21,43,0,11,48,0,6
zeroshot_gpt,34.71800204081632,0.021722448979591837,78.8919306122449,55.20353673469387,0.5410183673469389,8.571428571428577e-05,27,0,25,46,0,6,44,0,8
