Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,36.12545,0.01749387755102041,84.52615306122449,59.04558367346938,0.631784693877551,0.00022142857142857148,46,2,52,80,0,20,93,0,7
1shot_deepseek,35.03760404040404,0.0208949494949495,79.74419999999999,58.10457272727273,0.6040424242424242,0.0005397058823529411,26,3,72,73,0,28,72,0,29
1shot_gpt,35.589284536082474,0.018743298969072168,84.4660855670103,58.45618247422681,0.6435257731958763,0.00027319587628865986,26,0,72,73,0,25,80,0,18
agent_claude,36.14632400000001,0.017907,84.59450500000001,58.767493,0.6035140000000001,2.199999999999998e-05,72,1,29,89,0,13,97,0,5
approach_claude,35.403856122448985,0.01900204081632653,5.495641836734694,58.499816326530606,0.6591561224489796,,20,2,72,74,0,20,63,0,31
approach_deepseek,35.519963636363634,0.018847474747474748,9.067876767676767,58.43071616161617,0.6896707070707071,,37,2,59,79,0,19,65,0,33
approach_gpt,35.746234343434345,0.018524242424242426,84.42168383838384,58.58225252525253,0.6786555555555555,,32,1,64,77,0,20,74,0,23
fewshot_claude,36.14693586956522,0.017703260869565217,84.95202826086957,58.75350652173913,0.6371586956521739,0.0006554347826086957,29,1,63,66,0,27,79,0,14
fewshot_deepseek,35.38590799999999,0.020261,79.674784,58.372603,0.6085060000000001,0.000557,32,1,69,75,1,26,76,1,25
fewshot_gpt,35.64347956989248,0.01871182795698925,84.23327526881721,58.48796021505376,0.6344129032258065,0.0008043010752688172,28,3,64,75,1,19,70,1,24
zeroshot_claude,35.888666,0.018226999999999997,84.59022899999998,58.60887199999999,0.6232610000000001,0.0005880000000000001,43,1,58,85,0,17,95,0,7
zeroshot_deepseek,35.80452178217822,0.018451485148514853,0.0,58.524962376237625,0.6268108910891089,,50,0,51,82,0,19,98,0,3
zeroshot_gpt,35.988856,0.018093,84.604124,58.67037700000001,0.635362,0.0005260000000000001,44,1,57,87,0,15,98,0,4
