Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,36.16360384615385,0.016961538461538465,86.0087269230769,57.604430769230774,0.6059500000000001,0.0005653846153846154,9,0,18,22,1,4,25,0,2
1shot_deepseek,35.477739285714286,0.018903571428571426,83.3361892857143,57.23295,0.5910107142857142,-0.0003466666666666668,6,1,22,20,1,8,22,1,6
1shot_gpt,35.84556666666667,0.017588888888888887,85.70304814814814,57.38382222222222,0.6178074074074075,0.0010444444444444442,10,1,17,23,1,4,21,1,6
agent_claude,36.296057142857144,0.016832142857142855,85.85885357142855,57.6397392857143,0.5808249999999999,0.0003535714285714285,24,0,5,27,0,2,28,0,1
approach_claude,35.34233103448276,0.018600000000000002,0.0,57.09153793103449,0.6190310344827586,,3,1,25,27,0,2,20,0,9
approach_deepseek,35.602582758620684,0.018279310344827587,6.199827586206897,57.224182758620685,0.6781689655172416,,10,1,18,26,1,2,24,1,4
approach_gpt,35.885175,0.017450000000000004,85.75764642857143,57.44681071428572,0.6543107142857142,,8,2,16,22,0,4,21,0,5
fewshot_claude,35.99632142857143,0.01732142857142857,85.84432500000001,57.51215,0.6254428571428573,0.0002214285714285714,10,0,19,22,0,7,23,0,6
fewshot_deepseek,34.704628571428564,0.021807142857142862,78.90223214285713,56.84430000000002,0.5429464285714286,-0.0007214285714285713,6,1,22,22,0,7,22,0,7
fewshot_gpt,35.856415999999996,0.017656,85.51807200000002,57.177964,0.5989519999999999,-0.0004599999999999999,7,1,18,19,1,6,20,0,6
zeroshot_claude,35.964074999999994,0.017317857142857142,85.75142142857143,57.46801428571428,0.6092357142857142,4.999999999999996e-05,13,1,15,27,0,2,23,0,6
zeroshot_deepseek,34.87248928571428,0.021246428571428576,0.0,56.78634285714286,0.5367928571428571,,14,0,14,23,0,5,27,0,1
zeroshot_gpt,36.18278928571429,0.01699642857142857,85.86521071428571,57.581192857142845,0.6127178571428572,-0.00023571428571428569,16,0,13,28,0,1,25,0,4
