Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.33867471264369,0.01948965517241379,81.5386540229885,56.990017241379306,0.5815747126436781,0.0005528735632183908,35,0,54,71,0,18,80,0,9
1shot_deepseek,34.80293398058252,0.021072815533980584,78.11164660194174,56.47845436893205,0.564521359223301,-0.00017846153846153855,35,1,70,84,0,22,85,0,21
1shot_gpt,34.87496161616161,0.020701010101010105,80.30519797979797,56.47233838383839,0.5751414141414141,0.0009575757575757576,39,0,63,88,0,14,84,0,18
agent_claude,35.174958823529415,0.020298039215686278,80.60423725490196,56.6646725490196,0.5496725490196079,-1.1764705882352945e-05,73,1,31,85,1,19,92,0,13
approach_claude,34.981541,0.020305999999999994,2.698813,56.72990600000001,0.606214,,15,3,80,84,0,14,68,0,30
approach_deepseek,35.15343921568628,0.02007549019607843,3.5277549019607846,56.825077450980395,0.6399176470588235,,35,1,66,90,0,12,78,0,24
approach_gpt,35.03975339805826,0.02047766990291262,80.60599029126212,56.62522038834951,0.6177718446601943,,28,2,71,91,0,10,79,0,22
fewshot_claude,35.69001411764706,0.018535294117647063,82.90777647058825,57.41213058823529,0.599555294117647,-0.000563529411764706,25,2,60,59,0,28,70,0,17
fewshot_deepseek,34.268886407767,0.023159223300970873,74.1537427184466,56.21918252427186,0.5335961165048544,7.669902912621359e-05,36,2,68,78,0,28,86,0,20
fewshot_gpt,34.954069473684214,0.02047578947368421,79.87720736842105,56.36665684210526,0.5715105263157895,0.00047368421052631577,26,2,69,78,2,17,74,0,23
zeroshot_claude,35.0641294117647,0.02035294117647059,80.28216588235294,56.641181176470596,0.5757752941176472,0.00037764705882352954,33,0,55,73,0,15,72,0,16
zeroshot_deepseek,34.485024528301885,0.022285849056603774,0.0,56.341744339622636,0.54215,,52,0,54,85,0,21,95,0,11
zeroshot_gpt,35.278293749999996,0.019870833333333334,81.49912916666666,56.835032291666664,0.5787979166666667,0.0007697916666666666,42,0,57,90,0,9,82,0,17
