Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,34.17578705882354,0.02279529411764706,79.10996705882354,55.219562352941175,0.5234952941176471,-0.00020235294117647054,37,2,50,74,1,14,72,1,16
1shot_deepseek,33.92035909090909,0.023535227272727274,76.61815909090909,55.145261363636365,0.5143329545454546,0.0005490566037735849,35,1,56,80,1,11,77,1,14
1shot_gpt,33.826679310344836,0.023512643678160923,78.87916781609196,55.04980459770115,0.5033448275862069,0.0002344827586206896,37,1,53,75,1,15,72,1,18
agent_claude,34.309461111111105,0.02264222222222222,79.22905555555555,55.360298888888885,0.5026322222222223,-0.0002633333333333333,67,0,27,70,2,22,82,0,12
approach_claude,33.64448279569892,0.023801075268817206,6.75582688172043,54.7277440860215,0.5280881720430108,,24,2,63,75,0,14,72,0,17
approach_deepseek,33.97559204545455,0.02287159090909091,8.172815909090911,55.282120454545456,0.5773772727272728,,40,0,48,83,0,5,77,0,11
approach_gpt,33.87139,0.023335555555555557,79.06774444444446,55.13521333333334,0.5532966666666665,,33,0,56,77,0,12,79,0,10
fewshot_claude,34.46905185185185,0.021938271604938272,80.19083703703706,55.80966049382717,0.5319135802469136,0.00015925925925925924,25,0,58,65,0,18,66,0,17
fewshot_deepseek,33.82086516853932,0.023897752808988763,73.90891460674158,55.1139988764045,0.4978741573033707,-0.0002573033707865168,40,1,52,78,2,13,80,1,12
fewshot_gpt,33.83176790123457,0.023496296296296296,78.90925185185185,54.974465432098775,0.5074061728395063,0.0005691358024691359,34,1,50,71,1,13,68,1,16
zeroshot_claude,34.16618275862069,0.022871264367816092,78.93333448275862,55.295050574712654,0.5279126436781609,0.0006057471264367815,33,1,57,73,0,18,71,0,20
zeroshot_deepseek,33.9480129032258,0.023527956989247315,0.0,54.924461290322576,0.501458064516129,,40,1,52,80,1,12,76,1,16
zeroshot_gpt,34.06485357142857,0.023146428571428575,78.48410357142856,55.12495357142856,0.5130190476190477,0.0003202380952380952,43,1,44,79,1,8,74,1,13
