Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.97701111111111,0.018299999999999997,81.48591111111111,55.911522222222224,0.5323888888888888,0.0005555555555555557,2,0,7,6,0,3,7,0,2
1shot_deepseek,34.81549,0.02248,75.51847000000001,55.52183,0.4925299999999999,0.00043999999999999996,5,0,5,8,0,2,10,0,0
1shot_gpt,35.96031000000001,0.01817,82.27965,56.09032,0.5437199999999999,0.0022400000000000002,5,0,5,9,0,1,10,0,0
agent_claude,36.25202,0.017660000000000002,82.32231000000002,56.26659000000001,0.51252,-0.00046,7,0,3,7,0,3,9,0,1
approach_claude,35.921725,0.01875,0.0,56.045125,0.5583625,,1,0,7,8,0,0,4,0,4
approach_deepseek,36.31869,0.01765,0.0,56.34802,0.58578,,3,0,7,9,0,1,8,0,2
approach_gpt,36.19919,0.017859999999999997,82.3004,56.26122,0.6017300000000001,,4,0,5,9,0,0,8,0,1
fewshot_claude,37.40615,0.013575,89.467175,58.792837500000005,0.6050875,-0.0005625000000000001,3,0,5,5,0,3,6,0,2
fewshot_deepseek,35.60869,0.01908,74.43888000000001,55.94195,0.5600799999999999,-0.0003000000000000002,4,1,5,8,0,2,7,0,3
fewshot_gpt,36.88529,0.014600000000000002,80.6969,56.54007999999999,0.5979,-0.0005300000000000001,3,1,6,9,0,1,5,0,5
zeroshot_claude,35.653442857142856,0.01967142857142857,79.32862857142857,54.80902857142858,0.4961428571428571,-0.0008999999999999999,3,0,4,5,0,2,5,0,2
zeroshot_deepseek,35.7351,0.01881,0.0,56.02398999999999,0.539,,5,0,5,6,0,4,9,0,1
zeroshot_gpt,37.75046666666666,0.013144444444444445,89.53796666666666,58.81653333333333,0.6078222222222222,-4.818676322157797e-20,4,0,5,9,0,0,8,0,1
