Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,36.164649999999995,0.0158,88.6543,58.627625,0.5622,-0.000575,3,0,1,4,0,0,4,0,0
1shot_deepseek,36.3113,0.015400000000000002,88.643625,58.69185,0.5764499999999999,0.0008,1,0,3,3,0,1,4,0,0
1shot_gpt,36.419475,0.015175,88.61255,58.758875,0.586,-0.0003500000000000001,1,0,3,4,0,0,4,0,0
agent_claude,36.709475,0.01485,88.647925,58.89885,0.5423250000000001,0.000125,4,0,0,4,0,0,4,0,0
approach_claude,35.85875,0.01615,0.0,58.469575,0.605075,,2,0,2,4,0,0,4,0,0
approach_deepseek,35.8538,0.016325000000000003,0.0,58.4725,0.634625,,2,0,2,3,0,1,4,0,0
approach_gpt,36.599975,0.015050000000000001,88.62265000000001,58.853275000000004,0.629925,,2,0,2,4,0,0,4,0,0
fewshot_claude,36.50675,0.015175000000000003,88.622975,58.7894,0.5422,0.00014999999999999996,3,0,1,4,0,0,4,0,0
fewshot_deepseek,36.74085,0.0148,88.64812500000001,58.915875,0.6121,-0.0016,1,0,3,3,0,1,3,0,1
fewshot_gpt,36.13746666666667,0.015799999999999998,88.6594,58.84040000000001,0.5768,0.0008666666666666666,3,0,0,3,0,0,3,0,0
zeroshot_claude,36.619,0.015,88.67897500000001,58.84625,0.570075,-0.0020499999999999997,4,0,0,4,0,0,4,0,0
zeroshot_deepseek,36.477475,0.015149999999999999,0.0,58.780725000000004,0.56025,,3,0,1,4,0,0,4,0,0
zeroshot_gpt,36.4829,0.0152,88.668175,58.786950000000004,0.5750500000000001,0.0003749999999999998,4,0,0,4,0,0,4,0,0
