Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.523975,0.018591666666666666,83.19394166666667,57.56006666666665,0.5911333333333333,0.0007083333333333334,4,0,9,11,0,2,13,0,0
1shot_deepseek,35.393711764705884,0.01950588235294118,85.00949411764705,56.95112352941177,0.5954647058823529,-0.0008416666666666667,4,0,14,14,0,4,15,0,3
1shot_gpt,35.1201375,0.01991875,84.75171250000001,56.64143125,0.58304375,0.00125,3,0,14,15,0,2,15,0,2
agent_claude,35.644456250000005,0.01928125,84.71811875,56.94356875,0.56064375,-0.0008500000000000001,13,0,4,14,0,3,16,0,1
approach_claude,34.554476470588234,0.02176470588235294,5.286158823529412,56.003088235294115,0.5921058823529411,,4,0,13,17,0,0,13,0,4
approach_deepseek,34.88683888888889,0.020988888888888887,9.882927777777777,56.1776,0.6171722222222222,,6,0,12,18,0,0,14,0,4
approach_gpt,35.391352941176464,0.019488235294117646,84.81357647058823,56.98826470588235,0.6373058823529413,,5,0,13,16,0,2,14,0,4
fewshot_claude,35.31474615384615,0.020223076923076923,83.74879230769231,56.5728,0.5881846153846154,-0.0012153846153846156,4,0,10,12,0,2,14,0,0
fewshot_deepseek,35.59298235294118,0.01922352941176471,85.01217647058822,57.065323529411764,0.6094294117647059,0.00012941176470588237,4,0,14,16,0,2,15,0,3
fewshot_gpt,34.98836875,0.0203625,84.7262625,56.50790625,0.5720812500000001,0.0007187499999999999,7,0,10,16,1,0,13,0,4
zeroshot_claude,34.62083333333333,0.021758333333333338,83.20957500000002,56.109424999999995,0.5565,-0.0006166666666666667,5,0,8,12,0,1,11,0,2
zeroshot_deepseek,34.15537777777777,0.023627777777777775,0.0,55.76942777777778,0.5265999999999998,,12,0,6,16,0,2,15,0,3
zeroshot_gpt,35.434876470588236,0.019511764705882353,85.01033529411765,56.97115294117647,0.5826411764705882,0.0010117647058823529,9,0,9,17,0,1,15,0,3
