Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.30212455089821,0.01968682634730539,82.4550497005988,56.746115568862265,0.5849820359281438,0.0003574850299401197,78,2,90,136,1,33,157,1,12
1shot_deepseek,34.78983425414365,0.021362430939226514,79.38296298342541,56.362342541436455,0.5717872928176796,0.0003548387096774193,55,4,125,138,1,45,145,1,38
1shot_gpt,34.99298571428572,0.020406857142857143,82.00068171428573,56.41879428571428,0.5868742857142857,0.0007485714285714286,74,1,102,142,1,34,148,1,28
agent_claude,35.41783661202186,0.019679234972677595,82.33179398907104,56.72690983606557,0.5624737704918032,-0.00010491803278688524,133,2,51,156,2,28,169,0,17
approach_claude,34.957620994475135,0.020297237569060773,5.45980497237569,56.48932209944752,0.6136116022099447,,45,7,126,150,0,28,127,0,51
approach_deepseek,35.14578870056497,0.019891525423728816,8.1286802259887,56.73618418079096,0.6567418079096045,,71,4,102,157,1,19,136,1,40
approach_gpt,35.176660109289614,0.020067759562841528,82.22567103825136,56.607212021857926,0.6296032786885246,,56,3,118,144,0,33,137,0,40
fewshot_claude,35.637822699386504,0.018917791411042943,83.23859877300613,57.05550061349694,0.6017361963190184,-0.0002858895705521473,52,2,112,115,0,51,139,0,27
fewshot_deepseek,35.005080769230766,0.020893406593406594,79.05081868131867,56.51397362637363,0.576595054945055,-0.00011813186813186812,69,4,112,135,2,48,151,2,32
fewshot_gpt,35.113619540229884,0.020058045977011493,81.85145747126438,56.43977528735632,0.5841362068965517,0.0004499999999999999,67,4,106,143,3,31,142,2,33
zeroshot_claude,35.293242011834316,0.019668047337278106,82.4698449704142,56.75300710059172,0.5875568047337278,0.00010650887573964498,73,1,98,142,0,30,147,0,25
zeroshot_deepseek,34.8598043715847,0.021476502732240436,0.0,56.31581147540984,0.5533863387978142,,94,1,88,152,1,30,166,1,16
zeroshot_gpt,35.43964228571429,0.019435428571428572,82.72496514285714,56.84638171428571,0.5910217142857143,6.342857142857146e-05,87,2,89,156,1,21,155,1,22
