Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.78517727272728,0.01835909090909091,82.07516363636363,57.4407,0.5960545454545454,0.0003454545454545454,7,1,16,18,0,6,19,0,5
1shot_deepseek,35.27353333333333,0.019325,81.57096666666668,56.56415833333333,0.6086416666666666,-0.0005555555555555556,8,0,18,22,0,4,17,0,9
1shot_gpt,34.86105416666667,0.020566666666666667,82.28867916666667,56.3548125,0.5750083333333333,8.33333333333333e-05,8,0,18,23,0,3,21,0,5
agent_claude,35.47947916666667,0.01966666666666667,82.32489583333334,56.68615416666666,0.5639375,0.0005583333333333333,18,0,8,22,0,4,23,0,3
approach_claude,34.324345454545444,0.022490909090909086,4.034190909090909,55.55133181818183,0.5613409090909091,,4,0,16,15,0,5,14,0,6
approach_deepseek,34.597061538461546,0.021753846153846155,6.917611538461538,55.88109615384615,0.6226269230769231,,13,0,12,24,0,1,19,0,6
approach_gpt,34.99830869565217,0.020578260869565216,81.95719130434783,56.4881347826087,0.6180043478260869,,12,0,12,23,0,1,20,0,4
fewshot_claude,35.287216666666666,0.019879166666666667,82.3172125,56.58928749999999,0.5823833333333334,0.00017916666666666667,6,0,18,20,0,4,23,0,1
fewshot_deepseek,34.894487500000004,0.02144583333333333,75.68543333333334,56.3824,0.5684916666666666,-0.00021666666666666668,9,0,17,22,0,4,22,0,4
fewshot_gpt,35.17604782608696,0.02005217391304348,82.32884347826086,56.48745652173913,0.5833652173913044,0.00034782608695652176,12,1,12,21,0,4,20,0,5
zeroshot_claude,35.34108749999999,0.019879166666666667,82.2433125,56.60112916666666,0.58305,0.00042500000000000003,11,0,15,21,0,5,22,0,4
zeroshot_deepseek,34.99726923076923,0.020253846153846154,0.0,56.130976923076915,0.5844038461538462,,10,0,16,25,0,1,23,0,3
zeroshot_gpt,35.30171666666667,0.019945833333333333,82.32957499999999,56.590824999999995,0.5849791666666667,0.0006999999999999998,12,0,14,25,0,1,22,0,4
