Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.142928828828836,0.019936036036036036,81.7356027027027,57.522373873873875,0.5721531531531531,7.567567567567566e-05,45,1,71,98,1,18,98,0,19
1shot_deepseek,34.51660168067227,0.021778151260504194,77.75997983193277,56.974370588235296,0.5473445378151259,0.00036268656716417915,41,2,83,104,1,21,100,1,25
1shot_gpt,34.68397739130435,0.021021739130434782,80.94317913043479,57.04958956521739,0.562611304347826,0.00017826086956521738,35,1,86,100,1,21,99,1,22
agent_claude,35.08387142857141,0.020439495798319333,81.22231764705883,57.27674957983193,0.5387361344537817,0.00011932773109243699,92,0,34,102,1,23,113,0,13
approach_claude,34.401875,0.0214741935483871,3.626079838709677,56.86943306451614,0.578458870967742,,22,1,94,103,0,14,88,0,29
approach_deepseek,34.581952892561986,0.021097520661157023,4.444705785123967,56.97575785123967,0.6103719008264463,,43,0,78,104,0,17,98,0,23
approach_gpt,34.630042499999995,0.0210925,81.12558,57.05539,0.6007658333333333,,38,2,83,110,0,13,106,0,17
fewshot_claude,35.229214285714285,0.01972,82.27536095238094,57.658950476190476,0.5759552380952382,0.0005857142857142857,34,1,75,86,0,24,85,0,25
fewshot_deepseek,33.9632925,0.023835833333333334,73.48179166666667,56.73037833333333,0.5124308333333334,0.00042000000000000007,39,1,87,106,1,20,100,0,27
fewshot_gpt,34.5624980952381,0.021342857142857143,80.80064095238096,56.99559904761904,0.5547923809523809,0.0008552380952380953,25,2,84,89,2,20,78,0,33
zeroshot_claude,34.81732162162162,0.020984684684684684,80.68831891891891,57.06451981981982,0.5612315315315315,0.0010990990990990992,43,2,73,99,0,19,98,0,20
zeroshot_deepseek,34.514518897637785,0.021650393700787404,0.0,56.86460393700788,0.5457976377952756,,62,0,65,101,0,26,111,0,16
zeroshot_gpt,34.8538850877193,0.020900000000000002,80.97889736842104,57.05269385964912,0.5584,0.0010157894736842106,54,0,67,106,0,15,109,0,12
