Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,33.25067777777778,0.02602222222222222,76.55282222222223,54.05936666666667,0.48600000000000004,0.0010666666666666667,6,0,3,9,0,0,9,0,0
1shot_deepseek,33.64346,0.024850000000000004,77.81252,54.735079999999996,0.5228100000000001,-0.0011333333333333332,3,0,7,7,0,3,8,0,2
1shot_gpt,33.47943,0.025009999999999998,77.78671000000001,54.654129999999995,0.51703,0.00021000000000000004,3,0,7,9,0,1,8,0,2
agent_claude,33.907579999999996,0.024460000000000003,77.82576999999999,54.87051,0.49776999999999993,0.00036000000000000013,8,0,2,8,0,2,10,0,0
approach_claude,34.456111111111106,0.02217777777777778,0.0,55.97127777777777,0.5711222222222223,,3,1,5,8,0,1,5,0,4
approach_deepseek,32.90623333333334,0.026488888888888888,0.0,54.419111111111114,0.5491999999999999,,5,0,4,8,0,1,8,0,1
approach_gpt,33.39677,0.025220000000000003,77.7471,54.64127,0.5371400000000001,,2,1,7,9,0,1,8,0,2
fewshot_claude,33.787366666666664,0.02518888888888889,76.64232222222222,53.969255555555556,0.5042555555555555,-0.0004333333333333333,4,0,5,7,0,2,7,0,2
fewshot_deepseek,34.278679999999994,0.02234,71.45485,55.05658,0.5020499999999999,-0.0003100000000000002,3,0,7,9,0,1,8,0,2
fewshot_gpt,33.56111,0.02494,77.77879,54.69108,0.49990000000000007,0.00065,2,0,8,10,0,0,7,0,3
zeroshot_claude,33.1347875,0.026937499999999996,75.1026625,53.574237499999995,0.49470000000000003,0.0008125,4,0,4,7,0,1,7,0,1
zeroshot_deepseek,34.059810000000006,0.024149999999999998,0.0,54.945730000000005,0.53879,,6,0,4,9,0,1,10,0,0
zeroshot_gpt,33.74174,0.024640000000000002,77.82428999999999,54.785289999999996,0.51443,-0.0003099999999999999,4,0,6,9,0,1,9,0,1
