Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.44488260869565,0.018534782608695653,84.87621304347827,56.68125652173914,0.5564130434782608,6.956521739130438e-05,12,0,12,21,0,3,24,0,0
1shot_deepseek,34.35893793103448,0.0219448275862069,78.89367241379311,55.539924137931024,0.5183310344827587,0.0007,17,0,13,28,0,2,26,0,4
1shot_gpt,34.30740384615384,0.02201923076923077,80.51884615384617,55.33492692307693,0.5208153846153846,0.0008846153846153847,18,0,9,26,0,1,24,0,3
agent_claude,34.317214285714286,0.022121428571428566,81.20395714285713,55.456067857142855,0.5084857142857143,3.928571428571431e-05,19,1,9,23,1,5,24,0,5
approach_claude,34.40349,0.02174666666666667,0.0,55.59231333333333,0.5738866666666667,,7,0,22,28,0,1,27,0,2
approach_deepseek,34.55843703703703,0.021588888888888894,0.0,55.56045555555556,0.5972555555555557,,12,1,14,24,0,3,24,0,3
approach_gpt,34.32784827586207,0.02202758620689655,81.31047931034483,55.55106206896552,0.5785793103448277,,13,0,16,27,0,2,23,0,6
fewshot_claude,35.20021666666667,0.02,82.11009166666666,56.02368333333334,0.5533625,-0.00012916666666666673,12,0,13,19,0,6,23,0,2
fewshot_deepseek,33.165765517241375,0.0261,70.9218827586207,54.95012413793105,0.46851724137931033,-9.999999999999999e-05,18,0,12,26,0,4,26,0,4
fewshot_gpt,34.37285,0.02195,80.68568846153848,55.510092307692304,0.5267538461538461,-0.000376923076923077,11,0,15,23,0,3,20,0,6
zeroshot_claude,34.878166666666665,0.02022857142857143,82.04492380952381,56.434261904761904,0.5470047619047619,-0.00035714285714285714,9,0,13,19,0,3,19,0,3
zeroshot_deepseek,34.2445,0.02220666666666667,0.0,55.51140333333332,0.5062333333333333,,16,0,14,26,0,4,27,0,3
zeroshot_gpt,34.718972,0.021088,82.876184,55.623540000000006,0.537016,0.00154,15,0,11,25,0,1,24,0,2
