Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,36.05793545454546,0.017719999999999996,83.90913454545455,58.742862727272716,0.6242699999999999,0.00036363636363636367,52,2,58,90,1,21,103,0,9
1shot_deepseek,34.977267567567566,0.02107297297297298,79.53321531531533,57.851421621621625,0.597964864864865,0.0007624999999999999,31,4,78,87,1,25,79,1,33
1shot_gpt,35.62049633027523,0.01875963302752294,83.85057064220182,58.23354311926605,0.6374155963302752,0.00028073394495412837,32,1,78,86,1,24,90,1,20
agent_claude,36.130486607142856,0.018002678571428572,83.97704910714286,58.517633035714276,0.5937178571428572,6.071428571428576e-05,83,1,30,99,0,15,109,0,5
approach_claude,35.3311623853211,0.019249541284403673,4.941383486238532,58.14726605504586,0.6492100917431193,,26,2,78,88,0,18,74,0,32
approach_deepseek,35.448690000000006,0.019060000000000004,8.97891,58.15392636363636,0.6841354545454543,,38,2,69,94,0,15,74,0,35
approach_gpt,35.67662522522522,0.018672972972972973,83.80673693693694,58.30233153153153,0.6695288288288287,,35,2,73,93,0,17,83,0,27
fewshot_claude,36.002110679611654,0.018059223300970872,84.22410291262138,58.45745533980583,0.6306495145631068,0.0005359223300970873,32,1,71,75,0,29,85,0,19
fewshot_deepseek,35.16528482142858,0.02105625,78.28383660714285,58.03105892857143,0.5905696428571429,0.00028571428571428574,39,2,73,89,1,24,87,1,26
fewshot_gpt,35.52567570093458,0.01902056074766356,83.71998971962617,58.097286915887864,0.6214233644859815,0.0008682242990654206,36,4,69,87,2,20,78,1,30
zeroshot_claude,35.847614678899085,0.01842201834862385,83.7986247706422,58.344175229357795,0.6169614678899082,0.0008633027522935781,49,2,60,97,0,14,100,0,11
zeroshot_deepseek,35.76602232142857,0.018670535714285712,0.0,58.23837857142858,0.6192116071428571,,60,0,52,93,0,19,108,0,4
zeroshot_gpt,35.96999017857143,0.01820714285714286,83.98938660714285,58.429045535714295,0.6265321428571429,0.0005285714285714287,53,1,60,100,0,14,108,0,6
