Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,34.79891304347826,0.021739130434782608,77.8386956521739,55.90198260869566,0.5562521739130434,-0.0009347826086956523,9,0,16,20,0,5,25,0,0
1shot_deepseek,34.1869,0.02377391304347826,74.74515217391304,55.59274782608696,0.5370869565217392,0.001205,7,1,17,17,1,7,20,1,4
1shot_gpt,34.689882608695655,0.021826086956521735,77.83981739130435,55.86142173913045,0.583495652173913,-1.7391304347826096e-05,5,1,18,19,1,4,17,1,6
agent_claude,35.11030434782608,0.0213304347826087,77.85575652173912,56.059821739130435,0.5340391304347826,0.00026086956521739134,19,0,6,23,0,2,23,0,2
approach_claude,33.8306,0.023925000000000002,3.7468874999999997,55.41619166666666,0.5673791666666667,,4,0,19,19,0,4,17,0,6
approach_deepseek,34.09262400000001,0.023364000000000003,3.59806,55.647244,0.6119439999999999,,10,0,15,20,0,5,17,0,8
approach_gpt,34.6925695652174,0.02195217391304348,77.72093478260868,55.8598,0.6036695652173912,,8,1,15,20,0,4,16,0,8
fewshot_claude,35.15239999999999,0.02115,77.33209090909091,56.01048636363637,0.5666772727272726,0.0007863636363636364,8,0,16,18,0,6,19,0,5
fewshot_deepseek,33.87405652173913,0.025239130434782608,71.76242608695652,55.43625217391304,0.5285347826086957,0.0009434782608695651,8,1,16,17,0,8,22,0,3
fewshot_gpt,34.62203684210527,0.022257894736842105,75.46675789473686,55.38362105263158,0.5634631578947369,0.002210526315789474,8,1,12,14,0,7,17,0,4
zeroshot_claude,34.48947619047619,0.02261904761904762,76.76211428571429,55.253014285714286,0.5395857142857142,0.0006666666666666666,9,1,13,20,0,3,19,0,4
zeroshot_deepseek,34.11376,0.023847999999999998,0.0,55.634691999999994,0.539984,,13,0,12,21,0,4,25,0,0
zeroshot_gpt,34.82789090909091,0.021900000000000003,77.36462272727272,55.760422727272726,0.5668227272727272,0.0008636363636363634,9,0,15,23,0,1,21,0,3
