Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.120818877551024,0.02015204081632653,81.86460153061223,56.798670408163254,0.5722076530612245,1.2244897959183652e-05,78,4,124,164,1,41,174,1,31
1shot_deepseek,34.7761037914692,0.02110331753554502,79.17267630331753,56.48699999999999,0.5626241706161138,0.00014179104477611933,69,4,148,170,1,50,170,1,50
1shot_gpt,34.714415533980585,0.021002427184466026,81.50354368932038,56.450873300970876,0.5646101941747572,0.0004762135922330096,79,1,135,170,1,44,175,1,39
agent_claude,35.21264485981308,0.020174766355140185,81.80610841121495,56.754436915887844,0.5479570093457944,-5.140186915887852e-06,154,2,68,180,2,42,197,0,27
approach_claude,34.63518009259259,0.021043055555555554,4.569113425925926,56.3872087962963,0.5831999999999999,,46,6,154,172,0,34,147,0,59
approach_deepseek,34.826885781990526,0.020637440758293837,6.39244028436019,56.64127109004739,0.6274037914691943,,76,3,132,180,1,30,161,1,49
approach_gpt,34.875534579439254,0.02070747663551402,81.69303457943924,56.58739299065421,0.605473831775701,,72,3,138,178,0,35,172,0,41
fewshot_claude,35.33812331606218,0.01960518134715026,82.59553937823834,57.059534196891185,0.580159067357513,4.66321243523315e-06,58,3,139,146,0,54,159,0,41
fewshot_deepseek,34.68816713615023,0.021613145539906103,77.07781877934273,56.49172957746478,0.5482239436619719,3.661971830985916e-05,74,4,145,167,3,53,182,2,39
fewshot_gpt,34.882866497461926,0.02058426395939086,81.43957715736042,56.505371065989856,0.56456192893401,0.00038883248730964466,64,5,137,158,5,43,154,2,50
zeroshot_claude,35.03238088235294,0.02043480392156863,81.6686093137255,56.647911274509795,0.5722833333333334,0.0005578431372549019,76,2,136,171,0,43,175,0,39
zeroshot_deepseek,34.585280542986425,0.02195158371040724,0.0,56.25267873303168,0.5408348416289592,,97,1,123,178,1,42,191,1,29
zeroshot_gpt,35.08924527363184,0.020350746268656718,81.73609900497513,56.67345572139304,0.5672144278606965,0.00036169154228855713,98,2,111,184,1,26,179,1,31
