Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.593893333333334,0.019063333333333328,81.83016,57.09572000000001,0.5772466666666667,0.0011666666666666665,9,0,21,24,0,6,27,0,3
1shot_deepseek,34.80881818181818,0.021536363636363635,76.33394242424244,56.62123333333333,0.5490121212121212,0.0008150000000000001,9,1,24,29,0,5,31,0,3
1shot_gpt,35.368449999999996,0.0195625,80.37638125000001,56.8672875,0.5844625,0.001575,6,0,27,27,0,6,29,0,4
agent_claude,35.374659375,0.019881250000000003,80.38518125,56.86265,0.545396875,0.0006000000000000001,23,0,10,29,0,4,30,0,3
approach_claude,34.91094375,0.0208625,5.62306875,56.670931249999995,0.5994625,,6,0,25,29,0,2,22,0,9
approach_deepseek,35.01535454545454,0.02064848484848485,5.452333333333333,56.68823333333334,0.6195484848484849,,9,0,24,31,0,2,27,0,6
approach_gpt,35.19991818181818,0.020163636363636363,80.5245606060606,56.834903030303025,0.6179666666666667,,8,0,24,31,0,1,26,0,6
fewshot_claude,36.14871428571429,0.01697857142857143,84.38291071428571,58.33429285714287,0.6159535714285714,-0.0004642857142857143,7,0,21,20,0,8,24,0,4
fewshot_deepseek,33.825642424242425,0.02463939393939394,69.29750303030303,56.13218484848485,0.5036909090909091,1.818181818181816e-05,13,1,20,29,0,5,26,0,8
fewshot_gpt,35.609412500000005,0.01861875,79.8755,56.9758375,0.599928125,0.0009906249999999998,9,1,23,31,0,2,23,0,10
zeroshot_claude,35.22122413793103,0.020375862068965512,79.55320689655173,56.622637931034475,0.5591137931034483,-0.00043448275862068974,15,0,15,26,0,4,27,0,3
zeroshot_deepseek,34.26854117647059,0.023247058823529412,0.0,56.31233823529412,0.5238323529411764,,18,0,16,28,0,6,33,0,1
zeroshot_gpt,35.681126666666664,0.01891666666666667,82.23281999999999,57.53438333333333,0.5932299999999999,0.0009866666666666665,12,0,19,30,0,1,30,0,1
