Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,37.03315,0.014566666666666667,88.81329999999998,58.8314,0.59545,-0.0008499999999999997,2,0,4,5,0,1,6,0,0
1shot_deepseek,34.9900625,0.020687499999999998,81.40235,58.3694,0.5160875,0.00045,3,0,5,7,0,1,8,0,0
1shot_gpt,36.52238571428572,0.015500000000000002,88.98604285714285,59.03164285714286,0.5973857142857143,0.00027142857142857144,2,0,5,6,0,1,7,0,0
agent_claude,37.31758571428571,0.014,88.7554142857143,59.434671428571434,0.5641142857142858,-0.0004857142857142856,5,0,2,5,0,2,7,0,0
approach_claude,36.7281125,0.015050000000000001,0.0,59.222025,0.6314,,2,0,6,7,0,1,7,0,1
approach_deepseek,36.2222125,0.0159,0.0,59.0107875,0.646325,,2,0,6,8,0,0,8,0,0
approach_gpt,36.7351125,0.015,88.75670000000001,59.2699875,0.6501625,,3,0,5,8,0,0,8,0,0
fewshot_claude,36.76687142857143,0.0149,88.73572857142857,59.192614285714285,0.6031857142857142,0.0005714285714285715,2,0,5,5,0,2,6,0,1
fewshot_deepseek,35.7667625,0.0186125,80.0743,58.7941625,0.5427124999999999,-0.0017500000000000003,1,0,7,7,0,1,4,0,4
fewshot_gpt,36.3746,0.01577142857142857,89.07971428571429,59.1693,0.6057285714285714,0.0014999999999999998,1,0,6,6,0,1,6,0,1
zeroshot_claude,37.654039999999995,0.013219999999999999,88.62888000000001,59.31884000000001,0.59746,-0.0009,2,0,3,4,0,1,4,0,1
zeroshot_deepseek,34.67765,0.0199125,0.0,58.233725,0.570375,,4,0,4,6,0,2,8,0,0
zeroshot_gpt,36.7436875,0.01515,88.881625,59.248125,0.5871249999999999,0.0008125000000000001,3,0,5,7,0,1,7,0,1
