Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.42006818181818,0.01893181818181818,82.25105454545455,56.910790909090906,0.5615363636363636,0.0008,9,0,14,21,0,2,22,0,1
1shot_deepseek,35.15179333333333,0.020069999999999994,79.61236333333335,55.81777666666667,0.5621666666666666,-0.0006434782608695652,10,0,21,26,0,5,26,0,5
1shot_gpt,34.54501428571429,0.021885714285714286,79.50328928571427,55.324757142857145,0.5343535714285714,0.0007535714285714286,9,0,20,27,0,2,26,0,3
agent_claude,35.06025517241379,0.021062068965517242,79.83596551724138,55.69181379310346,0.5193310344827586,-0.0003448275862068966,20,0,10,23,1,6,27,0,3
approach_claude,34.46636071428572,0.021789285714285712,3.2094535714285715,55.76825714285716,0.5694285714285715,,8,0,19,26,0,1,21,0,6
approach_deepseek,34.80827333333333,0.02109333333333334,8.927553333333332,55.874249999999996,0.59997,,10,0,20,29,0,1,24,0,6
approach_gpt,34.85033,0.02125,80.01068666666666,55.70724666666667,0.5851000000000001,,8,0,22,27,0,3,26,0,4
fewshot_claude,35.57137916666667,0.019308333333333334,82.88519166666667,56.600925,0.5663125,-0.0007416666666666668,8,0,17,20,0,5,24,0,1
fewshot_deepseek,35.01894,0.020816666666666664,79.14584333333332,55.77554333333333,0.5548333333333333,-0.00010999999999999991,7,0,24,27,0,4,26,0,5
fewshot_gpt,34.44681724137931,0.02203448275862069,79.82287586206897,55.312872413793094,0.5245379310344828,-4.137931034482757e-05,11,0,19,27,1,2,24,0,6
zeroshot_claude,34.53139130434783,0.02206521739130435,79.65199130434785,55.26837826086956,0.5254521739130434,0.0005478260869565217,9,0,15,23,0,1,19,0,5
zeroshot_deepseek,34.51880967741935,0.022283870967741932,0.0,55.220451612903226,0.5322677419354839,,17,0,14,27,0,4,25,0,6
zeroshot_gpt,35.10834285714286,0.020585714285714284,81.40721428571429,55.93803214285713,0.5462714285714286,0.0013428571428571428,12,0,17,27,0,2,23,0,6
