Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.21504000000001,0.019402666666666665,82.73926,57.589377333333324,0.5991893333333332,0.0004573333333333333,29,0,47,61,0,15,68,0,8
1shot_deepseek,34.78247283950617,0.020966666666666665,79.08392962962964,57.17022222222223,0.5890987654320987,0.00028599999999999985,26,0,56,66,0,16,67,0,15
1shot_gpt,34.95587777777777,0.020135802469135804,81.74031851851852,57.29634320987654,0.603820987654321,0.0008592592592592592,30,0,52,68,0,14,70,0,12
agent_claude,35.301332098765435,0.01963086419753086,81.76254691358024,57.452576543209865,0.5758197530864197,0.00024074074074074075,56,1,25,63,1,18,74,0,8
approach_claude,35.01523875,0.01995625,1.12180125,57.28963374999999,0.6278012500000001,,14,1,64,68,0,11,55,0,24
approach_deepseek,35.10687654320988,0.01957037037037037,4.437917283950617,57.55022469135803,0.6639802469135803,,38,0,43,73,0,8,67,0,14
approach_gpt,35.018919512195126,0.020076829268292684,81.70783902439025,57.30685243902439,0.6366426829268294,,25,1,55,74,0,7,64,0,17
fewshot_claude,35.58619861111111,0.01855833333333333,83.48339166666666,57.92801388888889,0.6144319444444446,0.0002916666666666666,21,0,52,52,0,21,62,0,11
fewshot_deepseek,34.99558048780488,0.020514634146341464,77.93700121951221,57.298054878048774,0.593798780487805,0.00030121951219512196,27,1,55,63,0,20,68,0,15
fewshot_gpt,34.91942337662338,0.02006493506493507,81.1836961038961,57.17089870129871,0.5970792207792207,0.0001701298701298701,26,1,51,64,0,14,61,0,17
zeroshot_claude,35.05110555555555,0.020077777777777778,81.59313055555555,57.3985375,0.6002902777777778,0.00014722222222222223,30,0,43,63,0,10,61,0,12
zeroshot_deepseek,34.70504337349398,0.021503614457831326,0.0,57.15847228915662,0.5697891566265059,,40,0,43,69,0,14,76,0,7
zeroshot_gpt,35.41361410256411,0.01905,83.09343974358974,57.80073717948717,0.6120115384615386,0.001396153846153846,35,0,44,69,0,10,71,0,8
