Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.23542348993289,0.020108724832214764,81.44455503355705,57.00331812080537,0.5777838926174497,0.00019328859060402674,63,4,90,128,1,28,139,1,17
1shot_deepseek,34.54227195121951,0.02200609756097561,78.05391829268292,56.48309024390244,0.5581914634146342,0.0004314814814814815,45,4,123,130,2,40,132,2,38
1shot_gpt,34.6825532051282,0.0214,80.85771602564103,56.43158269230769,0.5641435897435898,0.00029615384615384616,53,2,108,130,2,31,135,2,26
agent_claude,35.12631575757575,0.020626666666666668,81.32874606060606,56.770817575757576,0.5436824242424242,9.090909090909093e-05,123,1,49,145,1,27,152,0,21
approach_claude,34.42580946745562,0.021724260355029588,6.912868639053255,56.366374556213025,0.5835846153846154,,29,4,129,138,0,24,121,0,41
approach_deepseek,34.583454601227,0.02154233128834356,7.714612269938651,56.44141472392638,0.6199987730061349,,57,3,103,142,1,20,123,1,39
approach_gpt,34.735018181818184,0.021206666666666665,81.2147690909091,56.57757757575758,0.60648,,47,3,116,138,0,28,138,0,28
fewshot_claude,35.166447368421046,0.020257236842105265,81.70473552631579,57.01394605263158,0.5804868421052632,0.0001434210526315789,43,1,114,111,0,47,128,0,30
fewshot_deepseek,34.23353658536585,0.023321951219512194,75.21801768292683,56.334559146341455,0.5316859756097561,-6.0365853658536514e-05,55,3,114,131,3,38,136,2,34
fewshot_gpt,34.794025490196084,0.021101307189542482,81.17156666666666,56.52906666666667,0.5624555555555556,0.0003888888888888888,51,4,105,126,4,30,121,2,37
zeroshot_claude,35.031801307189546,0.020626797385620916,81.17001437908498,56.75421568627451,0.5714372549019608,0.000496078431372549,54,2,105,129,0,32,135,0,26
zeroshot_deepseek,34.496747368421055,0.022291228070175438,0.0,56.2544134502924,0.5416280701754387,,79,1,91,140,1,30,148,1,22
zeroshot_gpt,34.997534394904456,0.020852866242038217,80.99191082802548,56.655323566878984,0.5675127388535032,-0.00021528662420382169,72,2,91,145,1,19,143,1,21
