Model,PSNR,RMSE,SAM,SRE,SSIM,UIQ,LLM_Clarity_Rating_DoesNotMeet,LLM_Clarity_Rating_Meets,LLM_Clarity_Rating_PartiallyMeets,LLM_Completeness_Rating_DoesNotMeet,LLM_Completeness_Rating_Meets,LLM_Completeness_Rating_PartiallyMeets,LLM_Consistency_Rating_DoesNotMeet,LLM_Consistency_Rating_Meets,LLM_Consistency_Rating_PartiallyMeets
1shot_claude,35.42615394736843,0.019119736842105262,82.99494210526316,56.74450657894736,0.5695421052631578,0.00016578947368421052,38,0,40,63,1,14,67,0,11
1shot_deepseek,35.04667721518987,0.02043924050632911,80.66855949367088,56.266570886075954,0.5566392405063292,-5.098039215686278e-05,33,2,47,68,0,14,63,0,19
1shot_gpt,35.15832207792208,0.01964805194805195,83.10056753246754,56.39190389610389,0.5751636363636365,0.0004896103896103895,34,0,46,67,0,13,63,0,17
agent_claude,35.658778749999996,0.01890125,83.3245275,56.7072725,0.5528475,-0.00032625,64,0,19,72,1,10,79,0,4
approach_claude,34.98867435897437,0.020044871794871792,3.4434858974358975,56.27459358974357,0.5934897435897436,,28,3,43,62,0,12,53,0,21
approach_deepseek,35.299805,0.0192825,6.7436324999999995,56.597012500000005,0.6430549999999999,,32,1,46,70,0,9,63,0,16
approach_gpt,35.38057721518988,0.01938481012658228,83.12535569620253,56.589006329113936,0.6234113924050635,,34,1,42,65,0,12,61,0,16
fewshot_claude,35.99146323529412,0.01788235294117647,84.59549411764705,56.99180147058823,0.5891529411764707,-0.0003470588235294118,28,2,39,58,0,11,57,0,12
fewshot_deepseek,35.00062375,0.020882500000000005,78.6865675,56.363225,0.5523475,0.00011125000000000002,35,1,47,69,0,14,69,0,14
fewshot_gpt,35.216662500000005,0.019705555555555556,82.63041666666666,56.29394305555556,0.5733263888888889,0.0014375000000000002,27,2,46,63,1,11,58,0,17
zeroshot_claude,35.36609493670886,0.01935189873417722,83.21429240506329,56.55388987341771,0.5688126582278481,0.0008063291139240506,43,1,38,70,0,12,71,0,11
zeroshot_deepseek,35.2823743902439,0.019631707317073168,0.0,56.38226463414634,0.5593853658536586,,47,0,35,69,0,13,76,0,6
zeroshot_gpt,35.45700897435897,0.01926538461538461,83.17121410256411,56.49949230769231,0.5678141025641026,0.0008794871794871795,46,0,35,73,0,8,72,0,9
