ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.8875,34.3696,0.0190,0.0000,60.3603,0.0006
23fa-cpsc490_canyough,0.9064,37.5771,0.0132,0.0000,60.0060,-0.0013
2WAY_Design,0.9040,35.8734,0.0158,0.0000,58.1532,-0.0001
Activiti_activiti-7-developers-guide,0.9119,36.6542,0.0147,0.0000,57.2351,0.0019
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.9314,38.3093,0.0121,0.0000,59.4480,0.0028
AmnisIO_AmnisIO,0.9260,37.0317,0.0140,0.0000,61.0582,0.0007
AndreasM009_AadApiGatekeeper,NA,NA,NA,NA,NA,NA
ArnBaudzus_FluxSurfer,0.7440,31.0125,0.0273,0.0000,53.6373,0.0018
Azure_AzureStack-QuickStart-Templates,NA,NA,NA,NA,NA,NA
BoraxTheClean_DevelopmentMachine,0.9463,39.6858,0.0104,0.0000,63.0517,0.0004
Bytom-Community_Bytom-Server,0.9062,37.7221,0.0130,0.0000,57.2361,0.0027
CMU-RERC-APT_tiramisu3-pr,0.2149,25.2927,0.0544,0.0000,44.2319,-0.0002
CMUChimpsLab_Peekaboo,0.8469,33.4021,0.0214,0.0000,57.8934,0.0009
CodisLabs_codis,0.9197,36.7727,0.0145,0.0000,62.8333,0.0009
Connor1996_Pokemon,0.2133,25.3837,0.0538,0.0000,40.5161,-0.0001
Cpanchal1_Chatbot101-with-AWS-Lambda,0.8678,33.7716,0.0205,0.0000,57.5338,-0.0001
Crazy0416_KnowledgeGraph,0.9342,37.2412,0.0137,0.0000,62.5389,0.0003
DJMcK_aws-lake-training,0.9392,38.5838,0.0118,0.0000,62.8801,-0.0000
DanNguyenN_CompassUTD,0.8948,34.2911,0.0192,0.0000,57.7391,-0.0005
DecenterApps_ResistanceProtocol,0.9266,37.9991,0.0126,0.0000,61.8646,-0.0001
DehengYang_APRConfig,0.8736,34.7818,0.0182,0.0000,60.7047,0.0013
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.8600,33.7374,0.0204,0.0000,56.5769,0.0013
EMERIC237_Restaurant-reservation-app,NA,NA,NA,NA,NA,NA
EOS-Nation_dfuse-docs,0.9198,37.6708,0.0131,0.0000,59.8999,-0.0006
Elkinmt19_feature-hero-ml,0.8931,37.2674,0.0137,0.0000,58.9498,0.0023
Enterprise-CMCS_macpro-appian-connector,0.9627,39.0982,0.0111,0.0000,68.1663,-0.0001
FAC10_week4-jajascript,0.6864,29.4695,0.0336,0.0000,49.9078,-0.0014
FPriv_factom-harmony-connect-python-sdk,0.9297,38.0419,0.0123,0.0000,60.0800,-0.0010
Fenkey_irma,NA,NA,NA,NA,NA,NA
Fintan-contents_case-studies,0.9214,37.7659,0.0129,0.0000,59.0043,-0.0002
FudanOCR_FudanOCR,0.9197,36.3971,0.0149,0.0000,59.5471,0.0001
GoogleCloudPlatform_analytics-componentized-patterns,0.9177,37.0074,0.0141,0.0000,62.0900,-0.0000
GoogleCloudPlatform_datacatalog-tag-engine,NA,NA,NA,NA,NA,NA
GoogleCloudPlatform_gke-pubsub-websocket-adapter,NA,NA,NA,NA,NA,NA
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0934,24.6776,0.0583,0.0000,27.7118,0.0008
IBM_IBM-Spectrum-Scale-Security-Posture,0.8783,36.0539,0.0157,0.0000,56.7508,-0.0020
IBM_cognos-analytics-to-visualize-business-data,0.9652,40.3971,0.0096,0.0000,65.7128,-0.0001
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,0.9544,38.9003,0.0113,0.0000,64.8415,0.0001
IBM_datastax-cassandra-clickstream,0.9679,39.9341,0.0101,0.0000,68.3025,0.0002
IBM_ios-mapkit-indoor-map,0.9603,41.8834,0.0080,0.0000,62.3823,0.0000
IBM_kubernetes-storage,0.9368,38.2137,0.0123,0.0000,62.0002,0.0004
IBM_logdna-cos,0.9533,39.1061,0.0111,0.0000,63.5560,-0.0004
IBM_spectrum-protect-sppmon,0.8841,35.9192,0.0160,0.0000,57.9218,-0.0011
IBM_torc_py,0.8419,33.9615,0.0199,0.0000,55.9053,-0.0000
IBM_vpc-flowlogs-log-analysis,0.5695,28.0518,0.0396,0.0000,50.6637,0.0003
IceFireDB_IceFireDB,0.3774,26.2931,0.0482,0.0000,42.7866,0.0002
JessNah_BeeGreen,0.5357,27.6038,0.0417,0.0000,53.6161,-0.0002
JuliaParallel_DagScheduler.jl,0.9056,37.9106,0.0127,0.0000,58.7630,0.0018
KMuthumala_ESP32-BLE-Beaconing,0.9091,37.4853,0.0133,0.0000,58.0529,-0.0014
KuangRD_Autonomous-Driving,0.9101,36.7122,0.0145,0.0000,60.4358,0.0011
LouisvilleMetro_WazeCCPProcessor,0.9364,38.4087,0.0119,0.0000,61.9253,-0.0003
Luizbrandt_users-crud-salesforce,0.8673,36.0847,0.0154,0.0000,54.4308,-0.0033
McOrts_taller-iot-sensor_radiactividad,0.8885,35.3987,0.0170,0.0000,57.7987,0.0023
Melacon_WirelessTransportEmulator,0.8417,33.7446,0.0205,0.0000,54.9314,-0.0040
MyEMS_myems,0.8822,36.8387,0.0144,0.0000,59.3836,0.0011
NLP4L_attic-nlp4l,0.6455,28.7134,0.0359,0.0000,48.2343,-0.0008
NatalieLouise91_T3A2-Skemi-FrontEnd,0.9358,37.9947,0.0126,0.0000,61.0642,0.0005
Neighbor-Army_help-with-covid,0.9477,37.8816,0.0128,0.0000,66.7572,0.0001
NeuralDev-io_arclytics_simcct,NA,NA,NA,NA,NA,NA
NicoJuicy_Airline-Microservices,0.8671,33.4197,0.0205,0.0000,57.6429,-0.0020
Nishu0_anime_nft_marketplace,0.9060,37.9394,0.0126,0.0000,58.2555,0.0036
NodleCode_n1,0.8852,35.3495,0.0171,0.0000,57.0463,-0.0002
OAID_Tengine,0.9137,37.5734,0.0132,0.0000,59.6250,-0.0003
OpenIPC_motors,0.8902,36.5770,0.0148,0.0000,57.8912,-0.0009
OpenPSD_modelbank,0.8929,37.2785,0.0137,0.0000,58.8651,0.0011
OpenRoberta_robertalab-ev3dev,NA,NA,NA,NA,NA,NA
OpiumProtocol_opium-protocol-v2,0.9285,38.9434,0.0113,0.0000,61.2498,-0.0008
ParaStation_psmpi,0.4024,26.6222,0.0466,0.0000,43.5616,-0.0008
Resurgence-VM-Development_Resurgence,0.9238,38.2324,0.0122,0.0000,58.2711,0.0018
RunnersHi_RunnersHi_Server,0.9233,38.4093,0.0120,0.0000,58.7799,0.0013
SV-97_HumanResourceMachine,0.9102,37.1053,0.0139,0.0000,58.3322,-0.0015
SafeBreach-Labs_hAFL2,0.9183,36.1926,0.0154,0.0000,59.2764,-0.0002
Sanperolo_The-Intelligent-Bike,0.9154,35.8709,0.0161,0.0000,63.4123,0.0003
Scientific-Computing-Lab-NRCN_compar,0.8909,36.2179,0.0154,0.0000,57.7141,-0.0025
SecHack365-Fans_PyJailBreak,0.9065,36.7677,0.0143,0.0000,57.3138,0.0047
ShiftLeftSecurity_traceleft,0.9422,38.7199,0.0116,0.0000,61.3586,-0.0003
Simon-0711_ta_lyrics_sentiment_classification,0.9311,38.7330,0.0116,0.0000,61.4973,-0.0007
SimonLdj_hypnolog-server,NA,NA,NA,NA,NA,NA
SocialGouv_archifiltre-docs,NA,NA,NA,NA,NA,NA
Software-Engineering-DHBW_bikeminer,0.9088,36.0000,0.0158,0.0000,61.7940,-0.0009
Speccy-Rom_SpeccyTV,0.9092,38.0006,0.0126,0.0000,60.1535,0.0001
SpektraSystems_CloudLabs-Azure,0.9059,36.5194,0.0149,0.0000,58.5362,0.0026
Spiderpig86_SmoresUnderflow,0.9445,38.6387,0.0117,0.0000,63.8710,0.0006
Taymindis_fcgi-function,NA,NA,NA,NA,NA,NA
TestHaters_ctflow,0.9318,37.1439,0.0139,0.0000,62.2039,0.0004
UBC-CIC_Student-Connect-App,0.9243,36.7304,0.0146,0.0000,63.0943,-0.0001
UnoSD_UnoCash,0.9225,38.5218,0.0118,0.0000,60.0705,0.0016
UoA-eResearch_hub-stack,0.9003,35.8923,0.0159,0.0000,61.1815,-0.0014
WeBankFinTech_DeFiBus,0.9057,36.6732,0.0146,0.0000,58.1844,0.0003
XenitAB_git-auth-proxy,0.9103,37.9998,0.0126,0.0000,57.0618,-0.0014
Xsidelight_flutter_interview_questions,0.6586,29.4054,0.0339,0.0000,49.8208,0.0002
YW-Ma_Algorithms-Visualizer,0.9346,38.0252,0.0126,0.0000,64.6213,0.0009
YashwantChauhan_SDL,0.9212,37.7630,0.0129,0.0000,59.7557,-0.0002
ZID-Automat_Controller-ZIDAutomat,0.9173,36.9521,0.0142,0.0000,57.7212,-0.0007
abel-gr_warehouse-robot,0.8276,34.5272,0.0188,0.0000,56.1860,0.0008
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,0.5894,28.1250,0.0392,0.0000,50.0309,-0.0002
afonsocastro_larcc_interface,NA,NA,NA,NA,NA,NA
alanchn31_Movalytics-Data-Warehouse,0.9154,37.5721,0.0132,0.0000,59.9017,-0.0004
alexandredev3_nodejs-clean-architeture,0.8488,33.7980,0.0204,0.0000,55.1424,-0.0005
alexprut_earth-defender,NA,NA,NA,NA,NA,NA
alextanhongpin_node-rest,0.8568,32.7586,0.0224,0.0000,55.5333,-0.0001
alfredcs_immersion_day_labs,0.8973,36.3437,0.0152,0.0000,58.5871,0.0006
aliyun_packagist-mirror,0.2206,25.3981,0.0537,0.0000,45.4059,0.0000
allegroai_clearml-agent,0.9185,36.6952,0.0146,0.0000,62.4351,0.0005
andersonkmi_credit-card-bindb-service-aws,0.8864,33.2220,0.0218,0.0000,61.0209,0.0001
andrempmattos_harsh-payload,0.8623,35.5962,0.0165,0.0000,58.3163,-0.0011
anjuchamantha_EMonitor,0.9348,38.0432,0.0125,0.0000,59.4707,-0.0002
ankithans_codeX,0.9239,38.5817,0.0118,0.0000,57.0511,0.0003
annashres_CustomerBot,0.8902,32.9824,0.0224,0.0000,58.7812,-0.0002
anvasquezre_sabiduria_asegurada_experiments,NA,NA,NA,NA,NA,NA
apache_apisix-dashboard,0.9260,36.6719,0.0147,0.0000,60.2935,0.0003
apigee_consumer-data-standards-au,0.9047,36.1764,0.0152,0.0000,57.2191,-0.0009
argrecsys_argael,NA,NA,NA,NA,NA,NA
arkaneshiro_Sound-Zone,0.8937,35.2355,0.0173,0.0000,61.1626,-0.0008
ashavijit_Face-Find,0.9380,37.9248,0.0126,0.0000,63.4825,0.0001
aurelien-m_raspberrypi-rustpy,0.8452,32.4328,0.0236,0.0000,57.1482,0.0014
avarghesein_ActiveX.NET,0.8872,35.5817,0.0166,0.0000,56.5247,-0.0022
aws-solutions_automated-security-response-on-aws,0.9112,37.2964,0.0136,0.0000,61.7231,0.0022
aws-solutions_iot-device-simulator,0.0905,24.5982,0.0589,0.0000,29.3747,-0.0005
awslabs_benchmark-ai,0.8565,36.4009,0.0151,0.0000,56.3516,-0.0032
azuregomez_SecurePaaS,NA,NA,NA,NA,NA,NA
badr42_oke_A1,0.9247,38.7427,0.0116,0.0000,59.4417,0.0012
balajich_resilience4j-helloworld,0.9041,37.2601,0.0137,0.0000,60.2504,0.0015
