ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.8879,34.5724,0.0185,0.0000,60.5071,0.0009
23fa-cpsc490_canyough,0.8890,36.8747,0.0143,0.0000,59.6510,-0.0009
2WAY_Design,0.8980,35.6435,0.0162,0.0000,58.0231,-0.0003
Activiti_activiti-7-developers-guide,0.9089,37.1757,0.0138,0.0000,57.4592,-0.0016
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.9185,37.4921,0.0133,0.0000,59.0272,-0.0015
AmnisIO_AmnisIO,0.9111,36.7394,0.0145,0.0000,60.8973,-0.0005
AndreasM009_AadApiGatekeeper,0.3780,26.3717,0.0480,0.0000,44.4122,0.0001
ArnBaudzus_FluxSurfer,0.7259,30.4156,0.0290,0.0000,53.4479,0.0001
Azure_AzureStack-QuickStart-Templates,0.9118,37.8485,0.0125,0.0000,58.8097,-0.0022
BoraxTheClean_DevelopmentMachine,0.9485,39.5404,0.0105,0.0000,62.9836,0.0001
Bytom-Community_Bytom-Server,0.9191,38.1507,0.0123,0.0000,57.4716,-0.0007
CMU-RERC-APT_tiramisu3-pr,0.7412,32.2535,0.0243,0.0000,47.7112,0.0001
CMUChimpsLab_Peekaboo,0.8446,33.1959,0.0219,0.0000,57.7896,0.0005
CodisLabs_codis,0.9272,37.7155,0.0130,0.0000,63.2900,-0.0001
Connor1996_Pokemon,0.6832,30.5755,0.0296,0.0000,43.1150,-0.0003
Cpanchal1_Chatbot101-with-AWS-Lambda,0.8499,33.5279,0.0211,0.0000,57.4123,0.0017
Crazy0416_KnowledgeGraph,0.9414,37.7592,0.0129,0.0000,62.7993,0.0001
DJMcK_aws-lake-training,0.9351,38.2049,0.0123,0.0000,62.6865,0.0004
DanNguyenN_CompassUTD,0.8825,34.1950,0.0194,0.0000,57.6683,-0.0006
DecenterApps_ResistanceProtocol,0.9297,38.4087,0.0120,0.0000,62.0660,0.0016
DehengYang_APRConfig,0.8781,34.7096,0.0184,0.0000,60.6686,-0.0003
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.8491,33.4273,0.0212,0.0000,56.4098,0.0001
EMERIC237_Restaurant-reservation-app,0.7693,31.2477,0.0274,0.0000,51.1255,-0.0068
EOS-Nation_dfuse-docs,0.9117,37.5150,0.0133,0.0000,59.8408,0.0008
Elkinmt19_feature-hero-ml,0.8896,37.1076,0.0140,0.0000,58.8692,0.0015
Enterprise-CMCS_macpro-appian-connector,0.9604,38.8124,0.0115,0.0000,67.9732,0.0000
FAC10_week4-jajascript,0.2609,26.8375,0.0453,0.0000,48.5601,-0.0004
FPriv_factom-harmony-connect-python-sdk,0.9431,39.2013,0.0107,0.0000,60.8021,0.0009
Fenkey_irma,0.8913,35.8683,0.0160,0.0000,56.4605,-0.0018
Fintan-contents_case-studies,0.9327,38.7272,0.0116,0.0000,59.4840,-0.0004
FudanOCR_FudanOCR,0.9198,36.2278,0.0152,0.0000,59.4466,0.0005
GoogleCloudPlatform_analytics-componentized-patterns,0.9289,37.2082,0.0138,0.0000,62.1894,0.0007
GoogleCloudPlatform_datacatalog-tag-engine,0.3265,25.9638,0.0503,0.0000,47.5508,-0.0002
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0987,25.0440,0.0559,0.0000,27.8993,-0.0004
IBM_IBM-Spectrum-Scale-Security-Posture,0.8830,35.9789,0.0158,0.0000,56.7324,-0.0014
IBM_cognos-analytics-to-visualize-business-data,0.9612,39.7889,0.0102,0.0000,65.4070,-0.0003
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,0.9651,39.8792,0.0101,0.0000,65.3272,0.0002
IBM_datastax-cassandra-clickstream,0.9657,39.5305,0.0105,0.0000,68.0774,-0.0001
IBM_ios-mapkit-indoor-map,0.9635,41.4307,0.0085,0.0000,62.1493,0.0024
IBM_kubernetes-storage,0.9275,37.4483,0.0134,0.0000,61.6096,0.0002
IBM_logdna-cos,0.9422,37.5431,0.0132,0.0000,62.8091,0.0003
IBM_spectrum-protect-sppmon,0.8836,36.0748,0.0157,0.0000,57.9960,0.0065
IBM_torc_py,0.8604,34.3658,0.0190,0.0000,56.1197,0.0008
IBM_vpc-flowlogs-log-analysis,0.5644,27.9044,0.0402,0.0000,50.5928,-0.0001
IceFireDB_IceFireDB,0.3678,26.1692,0.0489,0.0000,42.6763,0.0005
JessNah_BeeGreen,0.5333,27.5853,0.0418,0.0000,53.6028,0.0001
KMuthumala_ESP32-BLE-Beaconing,0.9235,37.8914,0.0127,0.0000,58.2721,-0.0012
KuangRD_Autonomous-Driving,0.9034,36.0783,0.0156,0.0000,60.1005,-0.0009
LouisvilleMetro_WazeCCPProcessor,0.9280,37.7980,0.0128,0.0000,61.5879,0.0004
Luizbrandt_users-crud-salesforce,0.8725,36.2365,0.0152,0.0000,54.4835,-0.0035
McOrts_taller-iot-sensor_radiactividad,0.9025,35.3931,0.0170,0.0000,57.7952,0.0008
Melacon_WirelessTransportEmulator,0.8316,33.2904,0.0216,0.0000,54.7053,-0.0013
MyEMS_myems,0.8764,36.7465,0.0145,0.0000,59.3391,0.0019
NLP4L_attic-nlp4l,0.6373,28.8477,0.0353,0.0000,48.3111,0.0028
NatalieLouise91_T3A2-Skemi-FrontEnd,0.9322,37.8683,0.0127,0.0000,60.9985,-0.0003
Neighbor-Army_help-with-covid,0.9417,36.9987,0.0141,0.0000,66.3386,0.0002
NeuralDev-io_arclytics_simcct,0.8003,31.5231,0.0265,0.0000,58.7548,-0.0001
NicoJuicy_Airline-Microservices,0.8501,33.1728,0.0212,0.0000,57.4300,-0.0004
Nishu0_anime_nft_marketplace,0.9197,38.1708,0.0123,0.0000,58.3654,-0.0006
NodleCode_n1,0.9062,36.1294,0.0156,0.0000,57.4346,0.0012
OAID_Tengine,0.9123,37.6702,0.0131,0.0000,59.6836,-0.0000
OpenIPC_motors,0.8961,36.3415,0.0152,0.0000,57.7852,-0.0018
OpenPSD_modelbank,0.8790,36.6045,0.0148,0.0000,58.5211,0.0027
OpenRoberta_robertalab-ev3dev,0.7992,31.8980,0.0253,0.0000,50.7133,0.0041
OpiumProtocol_opium-protocol-v2,0.9323,38.2123,0.0123,0.0000,60.9028,0.0011
ParaStation_psmpi,0.3932,26.3171,0.0483,0.0000,43.4098,-0.0010
Resurgence-VM-Development_Resurgence,0.9028,37.2494,0.0137,0.0000,57.7673,0.0012
RunnersHi_RunnersHi_Server,0.9115,37.7149,0.0130,0.0000,58.4328,-0.0005
SV-97_HumanResourceMachine,0.9102,37.8196,0.0129,0.0000,58.6479,-0.0000
SafeBreach-Labs_hAFL2,0.9162,35.9824,0.0157,0.0000,59.1632,0.0008
Sanperolo_The-Intelligent-Bike,0.9164,35.9214,0.0160,0.0000,63.4474,-0.0005
Scientific-Computing-Lab-NRCN_compar,0.8903,36.1864,0.0155,0.0000,57.6982,-0.0007
SecHack365-Fans_PyJailBreak,0.9074,36.7476,0.0143,0.0000,57.3223,-0.0008
ShiftLeftSecurity_traceleft,0.9351,37.8458,0.0128,0.0000,60.9189,0.0008
Simon-0711_ta_lyrics_sentiment_classification,0.0792,24.4359,0.0600,0.0000,54.3663,-0.0004
SimonLdj_hypnolog-server,0.8952,36.0045,0.0157,0.0000,55.5834,0.0002
SocialGouv_archifiltre-docs,0.9351,37.7635,0.0129,0.0000,61.5330,0.0000
Software-Engineering-DHBW_bikeminer,0.9277,36.6385,0.0147,0.0000,62.0889,-0.0007
Speccy-Rom_SpeccyTV,0.0776,24.4932,0.0596,0.0000,53.4167,-0.0001
SpektraSystems_CloudLabs-Azure,0.9179,36.8792,0.0143,0.0000,58.7274,-0.0002
Spiderpig86_SmoresUnderflow,0.9524,39.1914,0.0110,0.0000,64.1558,-0.0000
Taymindis_fcgi-function,0.3182,25.9143,0.0506,0.0000,37.8296,0.0003
TestHaters_ctflow,0.9353,36.9705,0.0142,0.0000,62.1162,0.0003
UBC-CIC_Student-Connect-App,0.9238,36.5995,0.0148,0.0000,63.0250,-0.0003
UnoSD_UnoCash,0.9038,36.5359,0.0148,0.0000,59.1118,0.0012
UoA-eResearch_hub-stack,0.9201,36.7243,0.0144,0.0000,61.6640,0.0003
WeBankFinTech_DeFiBus,0.9003,36.6446,0.0147,0.0000,58.1577,-0.0012
XenitAB_git-auth-proxy,0.9282,38.9137,0.0113,0.0000,57.5578,0.0011
Xsidelight_flutter_interview_questions,0.6446,29.3691,0.0340,0.0000,49.8027,-0.0067
YW-Ma_Algorithms-Visualizer,0.9358,37.9146,0.0127,0.0000,64.5646,0.0001
YashwantChauhan_SDL,0.9155,37.2373,0.0137,0.0000,59.4801,-0.0009
ZID-Automat_Controller-ZIDAutomat,0.8958,36.2495,0.0154,0.0000,57.3705,0.0005
abel-gr_warehouse-robot,0.8441,34.9483,0.0179,0.0000,56.4179,-0.0019
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,0.6035,28.3509,0.0382,0.0000,50.1460,0.0003
alanchn31_Movalytics-Data-Warehouse,0.9156,37.3421,0.0136,0.0000,59.7872,0.0015
alexandredev3_nodejs-clean-architeture,0.8387,33.6740,0.0207,0.0000,55.0780,0.0024
alexprut_earth-defender,0.9135,38.5210,0.0119,0.0000,58.2836,-0.0016
alextanhongpin_node-rest,0.8351,32.6806,0.0227,0.0000,55.3229,0.0000
alfredcs_immersion_day_labs,0.8938,35.8738,0.0161,0.0000,58.3457,-0.0001
