ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.8920,34.7026,0.0182,0.0000,60.5912,-0.0001
23fa-cpsc490_canyough,0.8636,36.0431,0.0158,0.0000,59.2257,-0.0045
2WAY_Design,0.8850,35.0413,0.0175,0.0000,57.6542,-0.0002
Activiti_activiti-7-developers-guide,0.8828,36.3136,0.0153,0.0000,57.0247,0.0022
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.9436,38.7791,0.0115,0.0000,59.7323,-0.0008
AmnisIO_AmnisIO,0.9023,36.2812,0.0153,0.0000,60.6687,-0.0009
AndreasM009_AadApiGatekeeper,0.3841,26.4690,0.0475,0.0000,44.4654,-0.0004
ArnBaudzus_FluxSurfer,0.7184,30.4360,0.0290,0.0000,53.3875,0.0019
Azure_AzureStack-QuickStart-Templates,0.9000,37.1041,0.0137,0.0000,58.3519,0.0021
BoraxTheClean_DevelopmentMachine,0.9513,39.3420,0.0108,0.0000,62.8840,0.0001
Bytom-Community_Bytom-Server,0.9172,38.1501,0.0123,0.0000,57.4625,0.0033
CMU-RERC-APT_tiramisu3-pr,0.2151,25.2504,0.0546,0.0000,44.2116,0.0000
CMUChimpsLab_Peekaboo,0.8353,32.8573,0.0228,0.0000,57.6203,0.0005
CodisLabs_codis,0.9071,36.3699,0.0152,0.0000,62.6066,0.0001
Connor1996_Pokemon,0.2147,25.4098,0.0536,0.0000,40.5292,-0.0003
Cpanchal1_Chatbot101-with-AWS-Lambda,0.8664,33.8401,0.0203,0.0000,57.5845,0.0001
Crazy0416_KnowledgeGraph,0.9344,37.2584,0.0137,0.0000,62.5477,-0.0005
DJMcK_aws-lake-training,0.9449,38.6019,0.0117,0.0000,62.8822,0.0001
DanNguyenN_CompassUTD,0.8873,34.2709,0.0193,0.0000,57.7066,-0.0020
DecenterApps_ResistanceProtocol,0.9191,37.6722,0.0131,0.0000,61.6985,-0.0001
DehengYang_APRConfig,0.8725,34.5217,0.0188,0.0000,60.5750,0.0004
