ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
.DS_Store,NA,NA,NA,NA,NA,NA
0xMelkor_ethereum-node,0.8930,34.6095,0.0184,0.0000,60.5490,0.0003
23fa-cpsc490_canyough,0.8876,36.6813,0.0146,0.0000,59.5519,-0.0019
2WAY_Design,0.8892,35.1939,0.0171,0.0000,57.7573,-0.0004
Activiti_activiti-7-developers-guide,0.9123,37.4206,0.0135,0.0000,57.5812,0.0060
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.9447,39.2983,0.0108,0.0000,59.9525,-0.0027
AmnisIO_AmnisIO,0.9178,36.8756,0.0143,0.0000,60.9697,-0.0003
AndreasM009_AadApiGatekeeper,0.4681,28.3898,0.0380,0.0000,45.3790,-0.0002
ArnBaudzus_FluxSurfer,0.7286,30.5179,0.0287,0.0000,53.5283,0.0005
Azure_AzureStack-QuickStart-Templates,0.9236,38.5347,0.0114,0.0000,59.3397,-0.0000
BoraxTheClean_DevelopmentMachine,0.9474,39.3754,0.0107,0.0000,62.8993,0.0001
Bytom-Community_Bytom-Server,0.9008,37.0500,0.0140,0.0000,56.9392,0.0010
CMU-RERC-APT_tiramisu3-pr,0.2165,25.2287,0.0548,0.0000,44.2069,0.0006
CMUChimpsLab_Peekaboo,0.8441,33.0474,0.0223,0.0000,57.7136,-0.0002
CodisLabs_codis,0.9292,37.9499,0.0127,0.0000,63.4049,-0.0008
Connor1996_Pokemon,0.6811,30.5477,0.0297,0.0000,43.1027,-0.0003
Cpanchal1_Chatbot101-with-AWS-Lambda,0.8591,33.5568,0.0210,0.0000,57.4281,-0.0018
Crazy0416_KnowledgeGraph,0.9328,36.9952,0.0141,0.0000,62.4155,-0.0000
DJMcK_aws-lake-training,0.8731,33.9965,0.0196,0.0000,60.8574,-0.0000
DanNguyenN_CompassUTD,0.8874,34.4469,0.0189,0.0000,57.7865,0.0011
DecenterApps_ResistanceProtocol,0.9259,38.1370,0.0124,0.0000,61.9309,0.0001
DehengYang_APRConfig,0.8831,34.8773,0.0180,0.0000,60.7523,-0.0003
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.8578,33.6568,0.0206,0.0000,56.5236,-0.0010
EMERIC237_Restaurant-reservation-app,0.7662,31.2791,0.0273,0.0000,51.1411,0.0053
EOS-Nation_dfuse-docs,0.9163,37.7888,0.0129,0.0000,59.9745,0.0015
Elkinmt19_feature-hero-ml,0.8832,36.6963,0.0146,0.0000,58.6648,-0.0011
Enterprise-CMCS_macpro-appian-connector,0.9644,39.4091,0.0107,0.0000,68.3439,-0.0000
FAC10_week4-jajascript,0.2587,26.8292,0.0454,0.0000,48.5558,0.0001
FPriv_factom-harmony-connect-python-sdk,0.9327,38.5651,0.0116,0.0000,60.3771,-0.0004
Fenkey_irma,0.8883,35.8436,0.0160,0.0000,56.4440,0.0022
Fintan-contents_case-studies,0.9268,38.3959,0.0120,0.0000,59.3184,0.0021
FudanOCR_FudanOCR,0.9214,36.4358,0.0148,0.0000,59.5666,-0.0003
GoogleCloudPlatform_analytics-componentized-patterns,0.9189,36.6805,0.0146,0.0000,61.9195,0.0001
