ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.8974,35.2830,0.0170,0.0000,60.8948,0.0002
23fa-cpsc490_canyough,0.9029,37.3267,0.0136,0.0000,59.8786,-0.0009
2WAY_Design,0.9067,35.8226,0.0159,0.0000,58.1440,0.0005
Activiti_activiti-7-developers-guide,0.9194,37.6859,0.0130,0.0000,57.7177,0.0020
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.9427,38.8975,0.0113,0.0000,59.7529,0.0002
AmnisIO_AmnisIO,0.9271,37.3955,0.0135,0.0000,61.2424,0.0003
AndreasM009_AadApiGatekeeper,NA,NA,NA,NA,NA,NA
ArnBaudzus_FluxSurfer,NA,NA,NA,NA,NA,NA
Azure_AzureStack-QuickStart-Templates,NA,NA,NA,NA,NA,NA
BoraxTheClean_DevelopmentMachine,0.9454,39.5897,0.0105,0.0000,63.0037,0.0001
Bytom-Community_Bytom-Server,0.9120,37.8107,0.0128,0.0000,57.2882,0.0002
CMU-RERC-APT_tiramisu3-pr,0.2183,25.3033,0.0543,0.0000,44.2425,0.0001
CMUChimpsLab_Peekaboo,0.8392,33.1867,0.0219,0.0000,57.7855,-0.0002
CodisLabs_codis,0.9259,37.3343,0.0136,0.0000,63.1066,-0.0006
Connor1996_Pokemon,0.2165,25.4506,0.0534,0.0000,40.5487,-0.0002
Cpanchal1_Chatbot101-with-AWS-Lambda,0.8591,33.4996,0.0211,0.0000,57.3967,0.0004
Crazy0416_KnowledgeGraph,0.9335,37.3798,0.0135,0.0000,62.6080,-0.0000
DJMcK_aws-lake-training,0.9442,38.6752,0.0116,0.0000,62.9275,0.0006
DanNguyenN_CompassUTD,0.8945,34.3563,0.0190,0.0000,57.7858,0.0016
DecenterApps_ResistanceProtocol,0.9191,37.4154,0.0135,0.0000,61.5740,0.0053
DehengYang_APRConfig,0.8687,34.6648,0.0185,0.0000,60.6467,-0.0004
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.8473,33.2983,0.0215,0.0000,56.3568,0.0013
EMERIC237_Restaurant-reservation-app,0.7876,31.3078,0.0272,0.0000,51.1554,0.0002
EOS-Nation_dfuse-docs,0.9167,37.7267,0.0130,0.0000,59.9402,-0.0018
Elkinmt19_feature-hero-ml,0.8843,37.1054,0.0140,0.0000,58.8684,0.0007
Enterprise-CMCS_macpro-appian-connector,0.9587,38.4940,0.0119,0.0000,67.8546,0.0001
FAC10_week4-jajascript,0.6726,29.4962,0.0335,0.0000,49.9153,-0.0042
FPriv_factom-harmony-connect-python-sdk,0.9386,38.9132,0.0111,0.0000,60.5950,0.0023
Fenkey_irma,0.8973,36.1053,0.0155,0.0000,56.5816,0.0030
Fintan-contents_case-studies,0.9196,37.5666,0.0132,0.0000,58.9051,0.0004
FudanOCR_FudanOCR,0.9239,36.4104,0.0149,0.0000,59.5483,-0.0018
GoogleCloudPlatform_analytics-componentized-patterns,0.9206,36.9395,0.0142,0.0000,62.0546,-0.0010
GoogleCloudPlatform_datacatalog-tag-engine,0.3260,25.9836,0.0502,0.0000,47.5587,-0.0003
GoogleCloudPlatform_gke-pubsub-websocket-adapter,NA,NA,NA,NA,NA,NA
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0922,24.6791,0.0583,0.0000,27.7126,-0.0011
IBM_IBM-Spectrum-Scale-Security-Posture,0.8747,35.9040,0.0160,0.0000,56.6753,-0.0009
IBM_cognos-analytics-to-visualize-business-data,0.9633,40.3577,0.0096,0.0000,65.6932,-0.0000
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,0.9541,39.0930,0.0111,0.0000,64.9375,0.0001
IBM_datastax-cassandra-clickstream,0.9716,40.2805,0.0097,0.0000,68.5244,0.0000
