ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.8926,34.6979,0.0182,0.0000,60.6093,-0.0003
23fa-cpsc490_canyough,0.8837,36.5705,0.0148,0.0000,59.4979,0.0026
2WAY_Design,0.8883,35.4629,0.0167,0.0000,57.8587,0.0001
Activiti_activiti-7-developers-guide,0.9184,37.5756,0.0132,0.0000,57.6626,-0.0004
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.9446,38.9795,0.0112,0.0000,59.7888,0.0003
AmnisIO_AmnisIO,0.9210,37.1809,0.0138,0.0000,61.1192,0.0002
AndreasM009_AadApiGatekeeper,0.3840,26.2988,0.0484,0.0000,44.3786,-0.0005
ArnBaudzus_FluxSurfer,0.2092,26.8006,0.0452,0.0000,50.3689,0.0001
Azure_AzureStack-QuickStart-Templates,0.9265,38.5717,0.0113,0.0000,59.3825,-0.0006
BoraxTheClean_DevelopmentMachine,0.9519,39.8920,0.0101,0.0000,63.1547,0.0001
Bytom-Community_Bytom-Server,0.9242,38.5103,0.0118,0.0000,57.6475,0.0017
CMU-RERC-APT_tiramisu3-pr,0.7280,32.1404,0.0246,0.0000,47.6710,0.0001
CMUChimpsLab_Peekaboo,0.8502,33.3567,0.0215,0.0000,57.8705,-0.0000
CodisLabs_codis,0.9397,38.9074,0.0113,0.0000,63.8852,-0.0001
Connor1996_Pokemon,0.6804,30.5660,0.0296,0.0000,43.1114,0.0002
Cpanchal1_Chatbot101-with-AWS-Lambda,0.8669,33.7902,0.0204,0.0000,57.5425,0.0010
Crazy0416_KnowledgeGraph,0.9387,37.5292,0.0133,0.0000,62.6837,0.0000
DJMcK_aws-lake-training,0.9360,38.3528,0.0121,0.0000,62.7625,-0.0015
DanNguyenN_CompassUTD,0.3427,26.8320,0.0455,0.0000,53.9142,0.0003
DecenterApps_ResistanceProtocol,0.9275,38.2276,0.0123,0.0000,61.9760,-0.0000
DehengYang_APRConfig,0.8763,34.7401,0.0183,0.0000,60.6846,-0.0003
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.8535,33.5257,0.0210,0.0000,56.4490,0.0002
EMERIC237_Restaurant-reservation-app,0.7750,31.2265,0.0275,0.0000,51.1152,-0.0015
EOS-Nation_dfuse-docs,0.9166,37.6935,0.0130,0.0000,59.9359,0.0012
Elkinmt19_feature-hero-ml,0.8831,36.9976,0.0141,0.0000,58.8149,0.0006
Enterprise-CMCS_macpro-appian-connector,0.9545,38.0084,0.0126,0.0000,67.6147,-0.0001
FAC10_week4-jajascript,0.6899,29.4849,0.0335,0.0000,49.9167,0.0005
FPriv_factom-harmony-connect-python-sdk,0.9377,38.7403,0.0114,0.0000,60.4852,0.0028
Fenkey_irma,0.8966,36.0254,0.0157,0.0000,56.5514,-0.0025
Fintan-contents_case-studies,0.9173,37.7058,0.0130,0.0000,58.9741,-0.0010
FudanOCR_FudanOCR,0.9190,36.2274,0.0152,0.0000,59.4695,-0.0004
GoogleCloudPlatform_analytics-componentized-patterns,0.9235,37.0724,0.0140,0.0000,62.1203,0.0000
GoogleCloudPlatform_datacatalog-tag-engine,0.3259,25.9700,0.0503,0.0000,47.5514,-0.0001
GoogleCloudPlatform_gke-pubsub-websocket-adapter,NA,NA,NA,NA,NA,NA
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0933,24.6522,0.0585,0.0000,27.6993,-0.0000
IBM_IBM-Spectrum-Scale-Security-Posture,0.8815,36.1035,0.0156,0.0000,56.7790,-0.0045
IBM_cognos-analytics-to-visualize-business-data,0.9598,40.2015,0.0098,0.0000,65.6145,-0.0004
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,0.9637,39.8961,0.0101,0.0000,65.3344,0.0001
IBM_datastax-cassandra-clickstream,0.9730,40.5450,0.0094,0.0000,68.6755,-0.0001
IBM_ios-mapkit-indoor-map,0.9613,41.8477,0.0081,0.0000,62.3647,0.0001
IBM_kubernetes-storage,0.9377,38.1914,0.0123,0.0000,61.9882,-0.0014
IBM_logdna-cos,0.9465,38.4607,0.0119,0.0000,63.2308,0.0006
IBM_spectrum-protect-sppmon,0.8969,36.4328,0.0150,0.0000,58.1823,-0.0012
IBM_torc_py,NA,NA,NA,NA,NA,NA
IBM_torc_py_scheduling_sequence,NA,NA,NA,NA,NA,NA
IBM_vpc-flowlogs-log-analysis,0.5689,28.0666,0.0395,0.0000,50.6701,-0.0007
IT-HF_gr-corrsounder,NA,NA,NA,NA,NA,NA
IceFireDB_IceFireDB,0.3677,26.2810,0.0483,0.0000,42.7450,-0.0003
JessNah_BeeGreen,0.5393,27.6810,0.0413,0.0000,53.6502,-0.0000
JuliaParallel_DagScheduler,NA,NA,NA,NA,NA,NA
JuliaParallel_DagScheduler.jl,NA,NA,NA,NA,NA,NA
KMuthumala_ESP32-BLE-Beaconing,0.8790,36.4744,0.0150,0.0000,57.5379,0.0023
KuangRD_Autonomous-Driving,0.9143,36.9619,0.0141,0.0000,60.5897,-0.0008
LouisvilleMetro_WazeCCPProcessor,0.9295,38.1055,0.0124,0.0000,61.7675,-0.0000
Luizbrandt_users-crud-salesforce,0.8751,36.2973,0.0150,0.0000,54.5567,0.0019
McOrts_taller-iot-sensor_radiactividad,0.8859,35.3346,0.0171,0.0000,57.7660,-0.0008
Melacon_WirelessTransportEmulator,0.8320,33.2099,0.0218,0.0000,54.6648,-0.0026
MyEMS_myems,0.8624,36.3020,0.0153,0.0000,59.1169,-0.0004
NLP4L_attic-nlp4l,0.6425,28.8893,0.0351,0.0000,48.3341,0.0016
NatalieLouise91_T3A2-Skemi-FrontEnd,0.0816,25.1421,0.0553,0.0000,54.5889,-0.0002
Neighbor-Army_help-with-covid,0.9465,37.6662,0.0131,0.0000,66.6507,0.0000
NeuralDev-io_arclytics_simcct,0.7928,31.4845,0.0266,0.0000,58.7343,0.0003
NicoJuicy_Airline-Microservices,0.8599,33.2375,0.0210,0.0000,57.5113,0.0001
Nishu0_anime_nft_marketplace,0.9242,38.5878,0.0117,0.0000,58.5976,0.0044
NodleCode_n1,NA,NA,NA,NA,NA,NA
NodleCode_n1_Deployment_Diagram,NA,NA,NA,NA,NA,NA
OAID_Tengine,0.9029,37.3047,0.0136,0.0000,59.4908,-0.0046
OpenIPC_motors,0.9072,36.9830,0.0141,0.0000,58.0986,-0.0001
OpenPSD_modelbank,0.8784,36.7645,0.0145,0.0000,58.6032,-0.0006
OpenRoberta_robertalab-ev3dev,0.7973,31.8415,0.0255,0.0000,50.6847,0.0074
OpiumProtocol_opium-protocol-v2,0.9340,39.1339,0.0110,0.0000,61.3452,-0.0004
ParaStation_psmpi,0.3979,26.3872,0.0479,0.0000,43.4446,0.0027
Resurgence-VM-Development_Resurgence,0.9083,37.4361,0.0134,0.0000,57.8563,0.0017
RunnersHi_RunnersHi_Server,0.9344,39.0879,0.0111,0.0000,59.1193,-0.0006
SV-97_HumanResourceMachine,0.9126,37.9621,0.0126,0.0000,58.7190,-0.0004
SafeBreach-Labs_hAFL2,0.9168,36.0152,0.0156,0.0000,59.2206,-0.0007
Sanperolo_The-Intelligent-Bike,0.9160,35.9031,0.0160,0.0000,63.4275,0.0004
Scientific-Computing-Lab-NRCN_compar,0.8919,36.2265,0.0154,0.0000,57.7205,0.0013
SecHack365-Fans_PyJailBreak,0.9235,37.2295,0.0135,0.0000,57.6364,0.0011
ShiftLeftSecurity_traceleft,0.9451,38.9695,0.0113,0.0000,61.4779,0.0012
Simon-0711_ta_lyrics_sentiment_classification,0.9360,39.0892,0.0111,0.0000,61.6758,-0.0010
SimonLdj_hypnolog-server,0.9053,36.3739,0.0150,0.0000,55.7857,-0.0011
SocialGouv_archifiltre-docs,0.9292,37.4425,0.0134,0.0000,61.3684,0.0002
Software-Engineering-DHBW_bikeminer,0.9231,36.4846,0.0150,0.0000,62.0114,-0.0002
Speccy-Rom_SpeccyTV,NA,NA,NA,NA,NA,NA
SpeccyTV,NA,NA,NA,NA,NA,NA
SpektraSystems_CloudLabs-Azure,0.9270,37.2535,0.0137,0.0000,58.9243,-0.0006
Spiderpig86_SmoresUnderflow,0.9504,39.5001,0.0106,0.0000,64.3037,-0.0003
Taymindis_fcgi-function,0.3170,25.8124,0.0512,0.0000,37.7765,-0.0001
TestHaters_ctflow,0.9355,37.3193,0.0136,0.0000,62.2890,0.0004
UBC-CIC_Student-Connect-App,0.9242,36.6905,0.0146,0.0000,63.0741,-0.0007
UnoSD_UnoCash,0.9333,38.9008,0.0113,0.0000,60.2638,0.0010
UoA-eResearch_hub-stack,0.9092,36.4642,0.0149,0.0000,61.5118,0.0003
WeBankFinTech_DeFiBus,0.9115,37.0442,0.0140,0.0000,58.3732,-0.0006
XenitAB_git-auth-proxy,0.0941,24.6618,0.0584,0.0000,50.3670,-0.0005
Xsidelight_flutter_interview_questions,0.6549,29.4848,0.0335,0.0000,49.8623,-0.0020
YW-Ma_Algorithms-Visualizer,0.9405,38.4077,0.0120,0.0000,64.8091,0.0000
YashwantChauhan_SDL,0.9276,37.9961,0.0125,0.0000,59.8807,0.0002
ZID-Automat_Controller-ZIDAutomat,NA,NA,NA,NA,NA,NA
ZIDAutomat,NA,NA,NA,NA,NA,NA
abel-gr_warehouse-robot,0.8551,35.0875,0.0176,0.0000,56.4946,0.0020
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,0.5926,28.1043,0.0393,0.0000,50.0221,-0.0002
afonsocastro_larcc_interface,NA,NA,NA,NA,NA,NA
alanchn31_Movalytics-Data-Warehouse,0.9242,37.8631,0.0128,0.0000,60.0478,-0.0007
alexandredev3_nodejs-clean-architeture,0.8504,33.7545,0.0205,0.0000,55.1198,0.0005
alexprut_earth-defender,0.0890,24.5749,0.0590,0.0000,51.3230,-0.0004
alextanhongpin_node-rest,0.8489,32.5773,0.0229,0.0000,55.4048,-0.0005
alfredcs_immersion_day_labs,0.8998,36.4245,0.0151,0.0000,58.6308,0.0029
aliyun_packagist-mirror,0.2197,25.3061,0.0543,0.0000,45.3384,-0.0000
allegroai_clearml-agent,0.9156,36.8011,0.0144,0.0000,62.4827,-0.0007
andersonkmi_credit-card-bindb-service-aws,0.8870,33.2439,0.0218,0.0000,61.0301,-0.0003
andrempmattos_harsh-payload,0.8751,36.9008,0.0143,0.0000,58.9250,0.0003
anjuchamantha_EMonitor,0.9364,39.4102,0.0107,0.0000,60.1183,-0.0009
ankithans_codeX,0.9332,39.1129,0.0111,0.0000,57.3160,-0.0040
annashres_CustomerBot,0.1283,28.3027,0.0384,0.0000,56.4250,-0.0001
anvasquezre_sabiduria_asegurada_experiments,0.8869,36.3849,0.0152,0.0000,57.2555,0.0003
apache_apisix-dashboard,0.9311,37.2620,0.0137,0.0000,60.5799,-0.0007
apigee_consumer-data-standards-au,0.9343,37.3889,0.0128,0.0000,58.3535,0.0007
argrecsys_argael,0.5429,27.8301,0.0406,0.0000,54.0537,-0.0000
arkaneshiro_Sound-Zone,0.0784,25.1534,0.0552,0.0000,56.0897,-0.0000
ashavijit_Face-Find,0.9477,38.3483,0.0120,0.0000,63.7218,-0.0001
aurelien-m_raspberrypi-rustpy,0.8410,32.3806,0.0238,0.0000,57.1214,0.0004
avarghesein_ActiveX,NA,NA,NA,NA,NA,NA
avarghesein_ActiveX.NET,NA,NA,NA,NA,NA,NA
