ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.8931,34.6440,0.0183,0.0000,60.5671,-0.0001
23fa-cpsc490_canyough,NA,NA,NA,NA,NA,NA
2WAY_Design,0.8909,35.3008,0.0169,0.0000,57.8115,0.0013
Activiti_activiti-7-developers-guide,0.9234,37.8265,0.0128,0.0000,57.7859,0.0060
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.9395,38.6378,0.0117,0.0000,59.6189,-0.0004
AmnisIO_AmnisIO,0.9095,36.7277,0.0146,0.0000,60.8907,0.0005
AndreasM009_AadApiGatekeeper,NA,NA,NA,NA,NA,NA
ArnBaudzus_FluxSurfer,0.7235,30.3616,0.0292,0.0000,53.4291,0.0003
Azure_AzureStack-QuickStart-Templates,0.9092,37.7738,0.0126,0.0000,58.7581,-0.0017
BoraxTheClean_DevelopmentMachine,0.9457,39.3364,0.0108,0.0000,62.8771,0.0003
Bytom-Community_Bytom-Server,0.9163,38.1255,0.0124,0.0000,57.4527,-0.0034
CMU-RERC-APT_tiramisu3-pr,0.2153,25.2150,0.0548,0.0000,44.1986,0.0000
CMUChimpsLab_Peekaboo,0.8507,33.3748,0.0214,0.0000,57.8792,0.0000
CodisLabs_codis,NA,NA,NA,NA,NA,NA
Connor1996_Pokemon,0.2148,25.3281,0.0541,0.0000,40.4883,0.0002
Cpanchal1_Chatbot101-with-AWS-Lambda,0.8674,33.7648,0.0205,0.0000,57.5302,0.0008
Crazy0416_KnowledgeGraph,0.9339,37.3946,0.0135,0.0000,62.6161,-0.0001
DJMcK_aws-lake-training,0.9373,38.2736,0.0122,0.0000,62.7242,-0.0002
DanNguyenN_CompassUTD,0.8810,34.1609,0.0195,0.0000,57.6419,0.0037
DecenterApps_ResistanceProtocol,0.9277,38.3882,0.0120,0.0000,62.0549,0.0036
DehengYang_APRConfig,0.8772,34.7764,0.0182,0.0000,60.7022,0.0000
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.8425,33.4060,0.0213,0.0000,56.3856,0.0007
EMERIC237_Restaurant-reservation-app,0.7827,31.2907,0.0273,0.0000,51.1470,0.0011
EOS-Nation_dfuse-docs,0.9120,37.5394,0.0132,0.0000,59.8541,-0.0012
Elkinmt19_feature-hero-ml,0.8945,37.4366,0.0134,0.0000,59.0340,0.0010
Enterprise-CMCS_macpro-appian-connector,0.9626,39.0308,0.0112,0.0000,68.1269,0.0000
FAC10_week4-jajascript,0.6884,29.4636,0.0336,0.0000,49.9053,0.0030
FPriv_factom-harmony-connect-python-sdk,0.9436,39.2644,0.0106,0.0000,60.8238,-0.0025
Fenkey_irma,0.9005,36.0535,0.0156,0.0000,56.5836,-0.0022
