ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.7225,34.7020,0.0184,89.1624,60.5912,-0.0003
23fa-cpsc490_canyough,0.4544,36.0472,0.0158,89.2986,59.2257,-0.0072
2WAY_Design,0.6304,35.0447,0.0177,89.8315,57.6542,-0.0004
Activiti_activiti-7-developers-guide,0.4336,36.3156,0.0153,89.7790,57.0247,0.0033
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.6832,38.7796,0.0115,89.9427,59.7323,-0.0021
AmnisIO_AmnisIO,0.6770,36.2515,0.0154,87.6230,60.6687,-0.0024
AndreasM009_AadApiGatekeeper,0.2493,26.4892,0.0474,36.6543,44.4654,-0.0010
ArnBaudzus_FluxSurfer,0.4217,30.4367,0.0301,87.5150,53.3875,0.0023
Azure_AzureStack-QuickStart-Templates,0.5179,37.1055,0.0140,89.8405,58.3519,0.0036
BoraxTheClean_DevelopmentMachine,0.7309,39.3425,0.0108,89.4008,62.8840,0.0002
Bytom-Community_Bytom-Server,0.6229,38.1501,0.0124,89.9349,57.4625,0.0066
CMU-RERC-APT_tiramisu3-pr,0.1502,25.2618,0.0546,18.8950,44.2116,0.0002
CMUChimpsLab_Peekaboo,0.6164,32.8572,0.0228,85.0163,57.6203,0.0011
CodisLabs_codis,0.6912,36.3412,0.0152,87.9573,62.6066,0.0002
Connor1996_Pokemon,0.0955,25.4306,0.0535,20.0723,40.5292,-0.0008
Cpanchal1_Chatbot101-with-AWS-Lambda,0.7019,33.8438,0.0203,89.5911,57.5845,0.0004
Crazy0416_KnowledgeGraph,0.8074,37.2588,0.0137,88.5317,62.5477,-0.0022
DJMcK_aws-lake-training,0.6827,38.5879,0.0118,89.4355,62.8822,0.0002
DanNguyenN_CompassUTD,0.6545,34.2747,0.0193,85.5428,57.7066,-0.0052
DecenterApps_ResistanceProtocol,0.5632,37.6660,0.0131,88.6250,61.6985,-0.0001
DehengYang_APRConfig,0.6713,34.5267,0.0188,85.1987,60.5750,0.0009
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.6228,33.5409,0.0210,87.4351,56.4627,0.0066
EMERIC237_Restaurant-reservation-app,0.4236,31.2633,0.0273,78.3521,51.1341,0.0015
EOS-Nation_dfuse-docs,0.6496,37.4554,0.0134,88.7306,59.8123,0.0019
Elkinmt19_feature-hero-ml,0.5426,35.1662,0.0174,88.4175,57.9882,0.0019
Enterprise-CMCS_macpro-appian-connector,0.8815,39.2606,0.0109,89.4737,68.2563,0.0006
FAC10_week4-jajascript,0.4422,29.9923,0.0317,65.6692,50.1389,-0.0043
FPriv_factom-harmony-connect-python-sdk,0.6550,39.1087,0.0111,89.9191,60.7025,0.0037
Fenkey_irma,0.5981,35.9712,0.0159,87.0627,56.5247,0.0012
Fintan-contents_case-studies,0.6889,37.4878,0.0134,89.0929,58.8662,-0.0009
FudanOCR_FudanOCR,NA,NA,NA,NA,NA,NA
GoogleCloudPlatform_analytics-componentized-patterns,NA,NA,NA,NA,NA,NA
GoogleCloudPlatform_datacatalog-tag-engine,0.2397,26.0533,0.0498,29.9968,47.5835,-0.0004
GoogleCloudPlatform_gke-pubsub-websocket-adapter,NA,NA,NA,NA,NA,NA
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0229,24.6748,0.0584,7.6260,27.7025,0.0016
IBM_IBM-Spectrum-Scale-Security-Posture,0.6141,35.6903,0.0164,88.7064,56.5476,0.0045
IBM_cognos-analytics-to-visualize-business-data,0.8627,40.2306,0.0097,89.9436,65.6337,-0.0012
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,0.8337,39.0258,0.0112,89.9420,64.9193,-0.0009
IBM_datastax-cassandra-clickstream,0.8873,39.5443,0.0105,89.9159,68.1364,-0.0003
IBM_ios-mapkit-indoor-map,0.8119,41.9090,0.0080,89.9621,62.3932,-0.0039
IBM_kubernetes-storage,0.7431,37.4775,0.0134,89.7800,61.7159,0.0011
IBM_logdna-cos,0.8021,38.5325,0.0118,89.8627,63.2895,0.0008
IBM_spectrum-protect-sppmon,0.5239,36.0379,0.0158,89.0534,57.9769,0.0042
IBM_torc_py,0.5294,35.2073,0.0174,88.8901,56.5002,-0.0016
IBM_vpc-flowlogs-log-analysis,0.4379,27.9813,0.0399,52.6538,50.6290,0.0058
IceFireDB_IceFireDB,0.1649,26.3181,0.0483,88.7303,42.7501,-0.0012
JessNah_BeeGreen,0.3973,27.5424,0.0420,49.5861,53.5959,0.0005
JuliaParallel_DagScheduler.jl,0.5760,37.6373,0.0131,89.6982,58.6215,0.0049
KMuthumala_ESP32-BLE-Beaconing,0.6379,36.6750,0.0147,89.6719,57.7418,-0.0029
KuangRD_Autonomous-Driving,0.6520,35.7462,0.0163,88.8206,60.1040,-0.0027
LouisvilleMetro_WazeCCPProcessor,0.6997,37.3768,0.0135,89.5844,61.3779,-0.0018
Luizbrandt_users-crud-salesforce,0.5332,35.7398,0.0163,88.3086,54.2993,0.0140
McOrts_taller-iot-sensor_radiactividad,0.6354,35.4192,0.0169,89.6881,57.8104,-0.0029
Melacon_WirelessTransportEmulator,0.5279,33.3191,0.0216,87.0942,54.7211,0.0026
MyEMS_myems,0.4650,36.3205,0.0153,88.6093,59.1239,-0.0004
NLP4L_attic-nlp4l,0.3650,28.8012,0.0363,89.7001,48.2849,0.0042
NatalieLouise91_T3A2-Skemi-FrontEnd,0.6837,37.6029,0.0132,88.9193,60.8735,0.0042
Neighbor-Army_help-with-covid,0.8626,37.8710,0.0128,89.8627,66.7654,0.0007
NeuralDev-io_arclytics_simcct,0.6361,31.4506,0.0268,77.0701,58.7386,-0.0005
NicoJuicy_Airline-Microservices,0.6485,33.2592,0.0217,89.8369,57.5566,-0.0021
Nishu0_anime_nft_marketplace,0.6285,37.8557,0.0128,89.8902,58.1821,-0.0056
NodleCode_n1,0.7231,36.2998,0.0153,89.6407,57.5189,-0.0002
OAID_Tengine,0.5290,37.4056,0.0135,89.8910,59.5555,-0.0018
OpenIPC_motors,0.6046,36.6663,0.0147,88.2609,57.9371,0.0019
OpenPSD_modelbank,0.5848,36.6738,0.0147,87.5127,58.5575,-0.0029
OpenRoberta_robertalab-ev3dev,0.3725,31.9105,0.0254,81.9949,50.6692,-0.0049
OpiumProtocol_opium-protocol-v2,0.7416,38.4688,0.0119,89.7665,61.0308,-0.0045
ParaStation_psmpi,0.1851,26.4178,0.0478,50.5389,43.4472,-0.0002
Resurgence-VM-Development_Resurgence,0.5590,37.6449,0.0131,89.7176,57.9688,-0.0008
RunnersHi_RunnersHi_Server,0.6902,38.5195,0.0119,89.3926,58.8347,0.0107
SV-97_HumanResourceMachine,0.6149,37.6508,0.0131,89.1235,58.5635,-0.0022
SafeBreach-Labs_hAFL2,0.6912,35.9664,0.0159,89.3466,59.1780,-0.0026
Sanperolo_The-Intelligent-Bike,0.7030,34.3271,0.0192,88.3538,62.6639,-0.0003
Scientific-Computing-Lab-NRCN_compar,0.5614,36.1935,0.0155,89.5677,57.7010,0.0011
SecHack365-Fans_PyJailBreak,0.5713,36.9523,0.0142,89.5522,57.4509,0.0008
ShiftLeftSecurity_traceleft,0.7025,38.1331,0.0124,89.9253,61.1090,0.0011
Simon-0711_ta_lyrics_sentiment_classification,0.7413,35.1280,0.0175,89.0405,60.0360,0.0009
SimonLdj_hypnolog-server,0.6046,36.1757,0.0155,89.3961,55.6732,-0.0015
SocialGouv_archifiltre-docs,0.6593,34.6803,0.0184,89.4188,60.0839,-0.0023
Software-Engineering-DHBW_bikeminer,0.7508,36.4241,0.0151,88.6767,61.9731,-0.0023
Speccy-Rom_SpeccyTV,0.6740,38.5138,0.0119,88.4404,60.4094,-0.0018
SpektraSystems_CloudLabs-Azure,0.6284,36.5762,0.0148,88.5805,58.5595,-0.0007
Spiderpig86_SmoresUnderflow,0.7880,39.0938,0.0111,89.9416,64.0982,0.0000
Taymindis_fcgi-function,0.1908,25.9606,0.0503,88.4253,37.8554,-0.0047
TestHaters_ctflow,0.8247,37.7134,0.0130,89.4955,62.5176,-0.0000
UBC-CIC_Student-Connect-App,0.7776,35.6611,0.0165,89.5033,62.5948,-0.0016
UnoSD_UnoCash,0.7184,38.0535,0.0125,89.1040,59.8483,0.0009
UoA-eResearch_hub-stack,0.7215,36.0519,0.0158,89.5867,61.2042,-0.0021
WeBankFinTech_DeFiBus,0.5152,36.7194,0.0146,89.3054,58.1997,0.0049
XenitAB_git-auth-proxy,0.5801,37.9158,0.0127,89.7426,57.0354,0.0081
Xsidelight_flutter_interview_questions,0.2897,29.4229,0.0338,73.3237,49.8292,-0.0021
YW-Ma_Algorithms-Visualizer,0.8274,38.7911,0.0115,88.3165,64.9878,-0.0002
YashwantChauhan_SDL,0.7414,38.0738,0.0125,89.4693,59.9281,-0.0002
ZID-Automat_Controller-ZIDAutomat,NA,NA,NA,NA,NA,NA
abel-gr_warehouse-robot,0.3694,34.6962,0.0184,88.9720,56.2908,0.0015
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,0.3830,28.1302,0.0392,89.0050,50.0322,-0.0006
afonsocastro_larcc_interface,NA,NA,NA,NA,NA,NA
alanchn31_Movalytics-Data-Warehouse,0.6922,38.0908,0.0125,89.3832,60.1613,0.0069
alexandredev3_nodejs-clean-architeture,0.5052,33.7006,0.0207,87.9498,55.0932,0.0014
alexprut_earth-defender,0.6169,38.3994,0.0120,88.8520,58.2225,-0.0032
