ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.7304,34.3390,0.0192,89.1711,60.3603,0.0024
23fa-cpsc490_canyough,0.5918,37.5839,0.0132,89.3665,60.0060,-0.0026
2WAY_Design,0.6784,35.8749,0.0161,89.8882,58.1532,-0.0002
Activiti_activiti-7-developers-guide,0.4962,36.6549,0.0147,89.8937,57.2351,0.0029
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.6507,38.3112,0.0121,89.9391,59.4480,0.0064
AmnisIO_AmnisIO,0.7779,37.0006,0.0141,87.7255,61.0582,0.0025
AndreasM009_AadApiGatekeeper,NA,NA,NA,NA,NA,NA
ArnBaudzus_FluxSurfer,0.4787,31.0122,0.0281,87.5614,53.6373,0.0023
Azure_AzureStack-QuickStart-Templates,NA,NA,NA,NA,NA,NA
BoraxTheClean_DevelopmentMachine,0.6948,39.6841,0.0104,89.4134,63.0517,0.0009
Bytom-Community_Bytom-Server,0.5775,37.7221,0.0130,89.8815,57.2361,0.0049
CMU-RERC-APT_tiramisu3-pr,0.1482,25.3016,0.0543,18.8926,44.2319,-0.0010
CMUChimpsLab_Peekaboo,0.6226,33.4013,0.0214,85.0597,57.8934,0.0021
CodisLabs_codis,0.7504,36.7650,0.0145,88.0186,62.8333,0.0031
Connor1996_Pokemon,0.0944,25.4044,0.0537,20.0701,40.5161,-0.0002
Cpanchal1_Chatbot101-with-AWS-Lambda,0.6670,33.7745,0.0205,89.6868,57.5338,-0.0002
Crazy0416_KnowledgeGraph,0.7864,37.2429,0.0137,88.6158,62.5389,0.0011
DJMcK_aws-lake-training,0.6353,38.5809,0.0118,89.4468,62.8801,-0.0001
DanNguyenN_CompassUTD,0.6633,34.2960,0.0193,85.5641,57.7391,-0.0013
DecenterApps_ResistanceProtocol,0.5782,37.9890,0.0126,88.6593,61.8646,-0.0001
DehengYang_APRConfig,0.6540,34.7869,0.0182,85.2309,60.7047,0.0031
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.6326,33.7362,0.0206,87.4660,56.5769,0.0034
EMERIC237_Restaurant-reservation-app,NA,NA,NA,NA,NA,NA
EOS-Nation_dfuse-docs,0.6583,37.6755,0.0131,88.7718,59.8999,-0.0016
Elkinmt19_feature-hero-ml,0.5799,37.2686,0.0137,88.4798,58.9498,0.0048
Enterprise-CMCS_macpro-appian-connector,0.8733,39.0588,0.0111,89.4699,68.1663,-0.0006
FAC10_week4-jajascript,0.4597,29.4669,0.0336,65.6839,49.9078,-0.0032
FPriv_factom-harmony-connect-python-sdk,0.6025,38.0384,0.0125,89.8067,60.0800,-0.0022
Fenkey_irma,NA,NA,NA,NA,NA,NA
Fintan-contents_case-studies,0.6745,37.7681,0.0129,89.1133,59.0043,-0.0006
FudanOCR_FudanOCR,0.6906,36.4030,0.0151,89.8465,59.5471,0.0001
GoogleCloudPlatform_analytics-componentized-patterns,0.6599,36.9963,0.0141,89.3842,62.0900,-0.0001
GoogleCloudPlatform_datacatalog-tag-engine,NA,NA,NA,NA,NA,NA
GoogleCloudPlatform_gke-pubsub-websocket-adapter,NA,NA,NA,NA,NA,NA
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0232,24.6933,0.0583,7.6232,27.7118,0.0018
IBM_IBM-Spectrum-Scale-Security-Posture,0.5553,36.0547,0.0157,88.7407,56.7508,-0.0033
IBM_cognos-analytics-to-visualize-business-data,0.8553,40.4020,0.0095,89.9574,65.7128,-0.0006
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,0.8024,38.9105,0.0113,89.9284,64.8415,0.0002
IBM_datastax-cassandra-clickstream,0.8758,39.8824,0.0101,89.9542,68.3025,0.0011
IBM_ios-mapkit-indoor-map,0.7494,41.8838,0.0081,89.9703,62.3824,0.0000
IBM_kubernetes-storage,0.7464,38.2137,0.0123,89.8140,62.0002,0.0013
IBM_logdna-cos,0.7970,39.0714,0.0111,89.9269,63.5560,-0.0017
IBM_spectrum-protect-sppmon,0.5135,35.9268,0.0160,89.0836,57.9218,-0.0020
IBM_torc_py,0.4714,33.9622,0.0200,88.9690,55.9053,-0.0001
IBM_vpc-flowlogs-log-analysis,0.4361,28.0501,0.0396,52.7014,50.6637,0.0012
IceFireDB_IceFireDB,0.1986,26.2968,0.0484,88.9203,42.7866,0.0003
JessNah_BeeGreen,0.4248,27.5833,0.0418,49.6020,53.6161,-0.0009
JuliaParallel_DagScheduler.jl,0.5870,37.9105,0.0127,89.8433,58.7630,0.0037
KMuthumala_ESP32-BLE-Beaconing,0.6057,37.4859,0.0134,89.6772,58.0529,-0.0030
KuangRD_Autonomous-Driving,0.6993,36.7156,0.0146,88.8718,60.4358,0.0033
