filename,image1,image2,vgg16_cosine_similarity
0xMelkor_ethereum-node,0xMelkor_ethereum-node.png,0xMelkor_ethereum-node.png,0.35429084
23fa-cpsc490_canyough,23fa-cpsc490_canyough.png,23fa-cpsc490_canyough.png,0.25084746
2WAY_Design,2WAY_Design.jpg,2WAY_Design.png,0.30197787
Activiti_activiti-7-developers-guide,Activiti_activiti-7-developers-guide.png,Activiti_activiti-7-developers-guide.png,0.2958634
AhmedAbdelGawadFarag_Shams-Personal-Assistant,AhmedAbdelGawadFarag_Shams-Personal-Assistant.png,AhmedAbdelGawadFarag_Shams-Personal-Assistant.png,0.2575345
AmnisIO_AmnisIO,AmnisIO_AmnisIO.png,AmnisIO_AmnisIO.png,0.2845719
ArnBaudzus_FluxSurfer,ArnBaudzus_FluxSurfer.jpg,ArnBaudzus_FluxSurfer.png,0.3102163
BoraxTheClean_DevelopmentMachine,BoraxTheClean_DevelopmentMachine.png,BoraxTheClean_DevelopmentMachine.png,0.3033328
Bytom-Community_Bytom-Server,Bytom-Community_Bytom-Server.jpg,Bytom-Community_Bytom-Server.png,0.36592138
CMU-RERC-APT_tiramisu3-pr,CMU-RERC-APT_tiramisu3-pr.png,CMU-RERC-APT_tiramisu3-pr.png,0.21835947
CMUChimpsLab_Peekaboo,CMUChimpsLab_Peekaboo.jpeg,CMUChimpsLab_Peekaboo.png,0.37343073
CodisLabs_codis,CodisLabs_codis.png,CodisLabs_codis.png,0.24643773
Connor1996_Pokemon,Connor1996_Pokemon.png,Connor1996_Pokemon.png,0.4145571
Cpanchal1_Chatbot101-with-AWS-Lambda,Cpanchal1_Chatbot101-with-AWS-Lambda.png,Cpanchal1_Chatbot101-with-AWS-Lambda.png,0.24216789
Crazy0416_KnowledgeGraph,Crazy0416_KnowledgeGraph.png,Crazy0416_KnowledgeGraph.png,0.22544289
DJMcK_aws-lake-training,DJMcK_aws-lake-training.png,DJMcK_aws-lake-training.png,0.3659582
DanNguyenN_CompassUTD,DanNguyenN_CompassUTD.png,DanNguyenN_CompassUTD.png,0.2182442
DecenterApps_ResistanceProtocol,DecenterApps_ResistanceProtocol.png,DecenterApps_ResistanceProtocol.png,0.29896295
DehengYang_APRConfig,DehengYang_APRConfig.jpg,DehengYang_APRConfig.png,0.5228573
DevOps-Represent_devopsgirls-bootcamp-cn-2,DevOps-Represent_devopsgirls-bootcamp-cn-2.png,DevOps-Represent_devopsgirls-bootcamp-cn-2.png,0.24131203
EOS-Nation_dfuse-docs,EOS-Nation_dfuse-docs.png,EOS-Nation_dfuse-docs.png,0.3171041
Elkinmt19_feature-hero-ml,Elkinmt19_feature-hero-ml.png,Elkinmt19_feature-hero-ml.png,0.45588875
Enterprise-CMCS_macpro-appian-connector,Enterprise-CMCS_macpro-appian-connector.png,Enterprise-CMCS_macpro-appian-connector.png,0.39487207
FPriv_factom-harmony-connect-python-sdk,FPriv_factom-harmony-connect-python-sdk.jpg,FPriv_factom-harmony-connect-python-sdk.png,0.28924298
Fintan-contents_case-studies,Fintan-contents_case-studies.png,Fintan-contents_case-studies.png,0.27481782
FudanOCR_FudanOCR,FudanOCR_FudanOCR.jpeg,FudanOCR_FudanOCR.png,0.2524795
GoogleCloudPlatform_analytics-componentized-patterns,GoogleCloudPlatform_analytics-componentized-patterns.png,GoogleCloudPlatform_analytics-componentized-patterns.png,0.34159648
GoogleCloudPlatform_gke-pubsub-websocket-adapter,GoogleCloudPlatform_gke-pubsub-websocket-adapter.png,GoogleCloudPlatform_gke-pubsub-websocket-adapter.png,0.4374845
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras.png,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras.png,0.26469988
IBM_IBM-Spectrum-Scale-Security-Posture,IBM_IBM-Spectrum-Scale-Security-Posture.jpg,IBM_IBM-Spectrum-Scale-Security-Posture.png,0.3701533
IBM_cognos-analytics-to-visualize-business-data,IBM_cognos-analytics-to-visualize-business-data.png,IBM_cognos-analytics-to-visualize-business-data.png,0.36006427
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,IBM_customer-sentiment-on-seller-quality-nlu-cp4d.png,IBM_customer-sentiment-on-seller-quality-nlu-cp4d.png,0.35223627
IBM_datastax-cassandra-clickstream,IBM_datastax-cassandra-clickstream.png,IBM_datastax-cassandra-clickstream.png,0.44490767
IBM_ios-mapkit-indoor-map,IBM_ios-mapkit-indoor-map.png,IBM_ios-mapkit-indoor-map.png,0.26662064
IBM_kubernetes-storage,IBM_kubernetes-storage.png,IBM_kubernetes-storage.png,0.31216037
IBM_logdna-cos,IBM_logdna-cos.png,IBM_logdna-cos.png,0.3413881
IBM_spectrum-protect-sppmon,IBM_spectrum-protect-sppmon.PNG,IBM_spectrum-protect-sppmon.png,0.1942721
IBM_torc_py,IBM_torc_py.png,IBM_torc_py.png,0.28486598
IBM_vpc-flowlogs-log-analysis,IBM_vpc-flowlogs-log-analysis.png,IBM_vpc-flowlogs-log-analysis.png,0.2674541
IceFireDB_IceFireDB,IceFireDB_IceFireDB.png,IceFireDB_IceFireDB.png,0.18874013
JessNah_BeeGreen,JessNah_BeeGreen.png,JessNah_BeeGreen.png,0.31061912
JuliaParallel_DagScheduler.jl,JuliaParallel_DagScheduler.jl.png,JuliaParallel_DagScheduler.jl.png,0.19405532
KMuthumala_ESP32-BLE-Beaconing,KMuthumala_ESP32-BLE-Beaconing.png,KMuthumala_ESP32-BLE-Beaconing.png,0.22683543
KuangRD_Autonomous-Driving,KuangRD_Autonomous-Driving.png,KuangRD_Autonomous-Driving.png,0.41604447
LouisvilleMetro_WazeCCPProcessor,LouisvilleMetro_WazeCCPProcessor.png,LouisvilleMetro_WazeCCPProcessor.png,0.3123417
Luizbrandt_users-crud-salesforce,Luizbrandt_users-crud-salesforce.png,Luizbrandt_users-crud-salesforce.png,0.29156458
McOrts_taller-iot-sensor_radiactividad,McOrts_taller-iot-sensor_radiactividad.png,McOrts_taller-iot-sensor_radiactividad.png,0.34938252
Melacon_WirelessTransportEmulator,Melacon_WirelessTransportEmulator.png,Melacon_WirelessTransportEmulator.png,0.28704655
MyEMS_myems,MyEMS_myems.png,MyEMS_myems.png,0.10414332
NLP4L_attic-nlp4l,NLP4L_attic-nlp4l.png,NLP4L_attic-nlp4l.png,0.3384564
NatalieLouise91_T3A2-Skemi-FrontEnd,NatalieLouise91_T3A2-Skemi-FrontEnd.png,NatalieLouise91_T3A2-Skemi-FrontEnd.png,0.21537787
Neighbor-Army_help-with-covid,Neighbor-Army_help-with-covid.png,Neighbor-Army_help-with-covid.png,0.37521672
NicoJuicy_Airline-Microservices,NicoJuicy_Airline-Microservices.jpg,NicoJuicy_Airline-Microservices.png,0.1883905
Nishu0_anime_nft_marketplace,Nishu0_anime_nft_marketplace.png,Nishu0_anime_nft_marketplace.png,0.25341034
NodleCode_n1,NodleCode_n1.png,NodleCode_n1.png,0.22820354
OAID_Tengine,OAID_Tengine.png,OAID_Tengine.png,0.2938429
OpenIPC_motors,OpenIPC_motors.png,OpenIPC_motors.png,0.4766537
OpenPSD_modelbank,OpenPSD_modelbank.png,OpenPSD_modelbank.png,0.3613652
OpiumProtocol_opium-protocol-v2,OpiumProtocol_opium-protocol-v2.jpg,OpiumProtocol_opium-protocol-v2.png,0.426219
ParaStation_psmpi,ParaStation_psmpi.png,ParaStation_psmpi.png,0.23162246
Resurgence-VM-Development_Resurgence,Resurgence-VM-Development_Resurgence.png,Resurgence-VM-Development_Resurgence.png,0.33017033
RunnersHi_RunnersHi_Server,RunnersHi_RunnersHi_Server.PNG,RunnersHi_RunnersHi_Server.png,0.29880714
SV-97_HumanResourceMachine,SV-97_HumanResourceMachine.png,SV-97_HumanResourceMachine.png,0.191208
SafeBreach-Labs_hAFL2,SafeBreach-Labs_hAFL2.png,SafeBreach-Labs_hAFL2.png,0.2565776
Sanperolo_The-Intelligent-Bike,Sanperolo_The-Intelligent-Bike.png,Sanperolo_The-Intelligent-Bike.png,0.36636233
Scientific-Computing-Lab-NRCN_compar,Scientific-Computing-Lab-NRCN_compar.PNG,Scientific-Computing-Lab-NRCN_compar.png,0.39260876
SecHack365-Fans_PyJailBreak,SecHack365-Fans_PyJailBreak.png,SecHack365-Fans_PyJailBreak.png,0.38648295
ShiftLeftSecurity_traceleft,ShiftLeftSecurity_traceleft.png,ShiftLeftSecurity_traceleft.png,0.31729972
Simon-0711_ta_lyrics_sentiment_classification,Simon-0711_ta_lyrics_sentiment_classification.png,Simon-0711_ta_lyrics_sentiment_classification.png,0.35558558
Software-Engineering-DHBW_bikeminer,Software-Engineering-DHBW_bikeminer.png,Software-Engineering-DHBW_bikeminer.png,0.27018166
Speccy-Rom_SpeccyTV,Speccy-Rom_SpeccyTV.png,Speccy-Rom_SpeccyTV.png,0.43682927
SpektraSystems_CloudLabs-Azure,SpektraSystems_CloudLabs-Azure.jpg,SpektraSystems_CloudLabs-Azure.png,0.3999685
Spiderpig86_SmoresUnderflow,Spiderpig86_SmoresUnderflow.png,Spiderpig86_SmoresUnderflow.png,0.23523474
TestHaters_ctflow,TestHaters_ctflow.png,TestHaters_ctflow.png,0.26165307
UBC-CIC_Student-Connect-App,UBC-CIC_Student-Connect-App.png,UBC-CIC_Student-Connect-App.png,0.28496087
UnoSD_UnoCash,UnoSD_UnoCash.png,UnoSD_UnoCash.png,0.4422177
UoA-eResearch_hub-stack,UoA-eResearch_hub-stack.png,UoA-eResearch_hub-stack.png,0.3628615
WeBankFinTech_DeFiBus,WeBankFinTech_DeFiBus.png,WeBankFinTech_DeFiBus.png,0.33760434
XenitAB_git-auth-proxy,XenitAB_git-auth-proxy.png,XenitAB_git-auth-proxy.png,0.3137685
Xsidelight_flutter_interview_questions,Xsidelight_flutter_interview_questions.png,Xsidelight_flutter_interview_questions.png,0.16232729
YW-Ma_Algorithms-Visualizer,YW-Ma_Algorithms-Visualizer.jpg,YW-Ma_Algorithms-Visualizer.png,0.46209562
YashwantChauhan_SDL,YashwantChauhan_SDL.PNG,YashwantChauhan_SDL.png,0.45230997
ZID-Automat_Controller-ZIDAutomat,ZID-Automat_Controller-ZIDAutomat.png,ZID-Automat_Controller-ZIDAutomat.png,0.19279903
abel-gr_warehouse-robot,abel-gr_warehouse-robot.png,abel-gr_warehouse-robot.png,0.39316714
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws.jpg,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws.png,0.12850034
afonsocastro_larcc_interface,afonsocastro_larcc_interface.png,afonsocastro_larcc_interface.png,0.358845
alanchn31_Movalytics-Data-Warehouse,alanchn31_Movalytics-Data-Warehouse.PNG,alanchn31_Movalytics-Data-Warehouse.png,0.4761182
alexandredev3_nodejs-clean-architeture,alexandredev3_nodejs-clean-architeture.jpg,alexandredev3_nodejs-clean-architeture.png,0.18779308
alextanhongpin_node-rest,alextanhongpin_node-rest.png,alextanhongpin_node-rest.png,0.118341744
alfredcs_immersion_day_labs,alfredcs_immersion_day_labs.png,alfredcs_immersion_day_labs.png,0.3807385
aliyun_packagist-mirror,aliyun_packagist-mirror.png,aliyun_packagist-mirror.png,0.14612663
