ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.7068,34.5694,0.0187,89.1412,60.5070,0.0030
23fa-cpsc490_canyough,0.5411,36.8809,0.0143,89.3495,59.6510,-0.0016
2WAY_Design,0.6596,35.6456,0.0165,89.8758,58.0230,-0.0007
Activiti_activiti-7-developers-guide,0.5018,37.1754,0.0138,89.8508,57.4592,-0.0026
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.6226,37.4928,0.0133,89.8827,59.0272,-0.0032
AmnisIO_AmnisIO,0.7109,36.7068,0.0146,87.6886,60.8979,-0.0015
AndreasM009_AadApiGatekeeper,0.2347,26.3924,0.0479,36.6461,44.4120,0.0002
ArnBaudzus_FluxSurfer,0.4580,30.4159,0.0301,87.5451,53.4479,0.0001
Azure_AzureStack-QuickStart-Templates,0.5737,37.8498,0.0128,89.8606,58.8096,-0.0043
BoraxTheClean_DevelopmentMachine,0.7275,39.5395,0.0105,89.3953,62.9837,0.0002
Bytom-Community_Bytom-Server,0.6518,38.1506,0.0124,89.9327,57.4715,-0.0016
CMU-RERC-APT_tiramisu3-pr,0.6587,32.2430,0.0244,3.0234,47.7117,0.0002
CMUChimpsLab_Peekaboo,0.6207,33.1933,0.0219,85.0388,57.7897,0.0011
CodisLabs_codis,0.7670,37.7083,0.0130,88.0374,63.2900,-0.0003
Connor1996_Pokemon,0.5833,30.5797,0.0296,2.4359,43.1150,-0.0007
Cpanchal1_Chatbot101-with-AWS-Lambda,0.6204,33.5289,0.0211,89.5823,57.4123,0.0037
Crazy0416_KnowledgeGraph,0.8248,37.7596,0.0129,88.6198,62.7993,0.0007
DJMcK_aws-lake-training,0.6408,38.2001,0.0123,89.3903,62.6865,0.0007
DanNguyenN_CompassUTD,0.6306,34.1990,0.0195,85.4995,57.6681,-0.0015
DecenterApps_ResistanceProtocol,0.5854,38.4006,0.0120,88.6882,62.0662,0.0020
DehengYang_APRConfig,0.6921,34.7148,0.0184,85.2130,60.6686,-0.0008
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.6077,33.4276,0.0213,87.4307,56.4098,0.0002
EMERIC237_Restaurant-reservation-app,0.3598,31.2463,0.0274,78.3236,51.1254,-0.0102
EOS-Nation_dfuse-docs,0.6448,37.5180,0.0133,88.7423,59.8407,0.0018
Elkinmt19_feature-hero-ml,0.5937,37.1078,0.0140,88.4616,58.8692,0.0032
Enterprise-CMCS_macpro-appian-connector,0.8776,38.6870,0.0116,89.4603,67.9708,0.0003
FAC10_week4-jajascript,0.1743,26.8387,0.0455,11.7404,48.5599,-0.0007
FPriv_factom-harmony-connect-python-sdk,0.6538,39.2003,0.0110,89.9325,60.8019,0.0022
Fenkey_irma,0.5653,35.8694,0.0161,87.0385,56.4604,-0.0023
Fintan-contents_case-studies,0.7334,38.7273,0.0116,89.1108,59.4840,-0.0014
FudanOCR_FudanOCR,0.7108,36.2367,0.0154,89.8481,59.4466,0.0012
GoogleCloudPlatform_analytics-componentized-patterns,0.7269,37.1973,0.0138,89.3898,62.1890,0.0021
GoogleCloudPlatform_datacatalog-tag-engine,0.2369,25.9879,0.0502,29.9915,47.5510,-0.0010
GoogleCloudPlatform_gke-pubsub-websocket-adapter,NA,NA,NA,NA,NA,NA
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0204,25.0568,0.0559,7.6239,27.8993,-0.0011
IBM_IBM-Spectrum-Scale-Security-Posture,0.6207,35.9791,0.0159,88.7305,56.7323,-0.0026
IBM_cognos-analytics-to-visualize-business-data,0.8471,39.7913,0.0102,89.8897,65.4071,-0.0015
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,0.8478,39.8674,0.0102,89.9540,65.3282,0.0012
IBM_datastax-cassandra-clickstream,0.8697,39.4199,0.0107,89.9165,68.0735,-0.0004
IBM_ios-mapkit-indoor-map,0.8263,41.4257,0.0085,89.9408,62.1492,0.0116
IBM_kubernetes-storage,0.7055,37.4414,0.0134,89.7498,61.6098,0.0007
IBM_logdna-cos,0.7798,37.5282,0.0133,89.8749,62.8104,0.0011
IBM_spectrum-protect-sppmon,0.5550,36.0772,0.0157,89.0274,57.9959,0.0124
IBM_torc_py,0.5467,34.3666,0.0191,89.0233,56.1197,0.0013
IBM_vpc-flowlogs-log-analysis,0.4274,27.9076,0.0402,52.6618,50.5928,-0.0005
IT-HF_gr-corrsounder,NA,NA,NA,NA,NA,NA
IceFireDB_IceFireDB,0.1852,26.1716,0.0491,88.8648,42.6764,0.0007
JessNah_BeeGreen,0.4064,27.5666,0.0418,49.5698,53.6078,0.0004
JuliaParallel_DagScheduler.jl,0.5959,38.3262,0.0121,89.7036,58.9660,0.0100
KMuthumala_ESP32-BLE-Beaconing,0.6666,37.8920,0.0127,89.6911,58.2721,-0.0031
KuangRD_Autonomous-Driving,0.6807,36.0803,0.0157,88.8186,60.1007,-0.0024
LouisvilleMetro_WazeCCPProcessor,0.7227,37.7985,0.0129,89.5835,61.5879,0.0012
Luizbrandt_users-crud-salesforce,0.4729,36.2366,0.0154,88.3264,54.4835,-0.0059
McOrts_taller-iot-sensor_radiactividad,0.6670,35.3955,0.0170,89.7150,57.7956,0.0018
Melacon_WirelessTransportEmulator,0.4909,33.2920,0.0216,87.2293,54.7052,-0.0023
MyEMS_myems,0.4872,36.7486,0.0145,88.6228,59.3391,0.0032
NLP4L_attic-nlp4l,0.3540,28.8472,0.0361,89.6121,48.3109,0.0045
NatalieLouise91_T3A2-Skemi-FrontEnd,0.7246,37.8490,0.0128,88.9351,60.9988,-0.0011
Neighbor-Army_help-with-covid,0.8296,37.0054,0.0141,89.8292,66.3370,0.0009
NeuralDev-io_arclytics_simcct,0.6332,31.4893,0.0266,77.0409,58.7559,-0.0003
NicoJuicy_Airline-Microservices,0.6235,33.1724,0.0219,89.7677,57.4302,-0.0010
Nishu0_anime_nft_marketplace,0.6215,38.1743,0.0123,89.9090,58.3652,-0.0012
NodleCode_n1,0.6933,36.1311,0.0156,89.6033,57.4345,0.0033
OAID_Tengine,0.5338,37.6571,0.0131,89.8416,59.6838,-0.0001
OpenIPC_motors,0.6011,36.3353,0.0152,88.2663,57.7851,-0.0040
OpenPSD_modelbank,0.5939,36.6067,0.0148,87.4369,58.5210,0.0057
OpenRoberta_robertalab-ev3dev,0.4556,31.9020,0.0254,82.1209,50.7133,0.0071
OpiumProtocol_opium-protocol-v2,0.7495,38.2232,0.0123,89.7586,60.9026,0.0029
ParaStation_psmpi,0.1868,26.3410,0.0482,50.5485,43.4095,-0.0021
Resurgence-VM-Development_Resurgence,0.5122,37.2503,0.0137,89.5820,57.7672,0.0021
RunnersHi_RunnersHi_Server,0.6450,37.7152,0.0130,89.3821,58.4328,-0.0012
SV-97_HumanResourceMachine,0.6551,37.8195,0.0129,89.0502,58.6478,-0.0000
SafeBreach-Labs_hAFL2,0.7080,35.9710,0.0159,89.3131,59.1638,0.0025
Sanperolo_The-Intelligent-Bike,0.7687,35.9243,0.0160,88.4586,63.4474,-0.0014
Scientific-Computing-Lab-NRCN_compar,0.5723,36.1850,0.0155,89.5611,57.6980,-0.0014
SecHack365-Fans_PyJailBreak,0.5504,36.7515,0.0145,89.5224,57.3222,-0.0014
ShiftLeftSecurity_traceleft,0.6909,37.8472,0.0128,89.8960,60.9191,0.0020
Simon-0711_ta_lyrics_sentiment_classification,0.0077,24.4643,0.0598,17.9861,54.3663,-0.0009
SimonLdj_hypnolog-server,0.5965,36.0042,0.0158,89.3544,55.5834,0.0005
SocialGouv_archifiltre-docs,0.7600,37.7649,0.0129,89.5785,61.5329,0.0001
Software-Engineering-DHBW_bikeminer,0.7580,36.6499,0.0147,88.7152,62.0887,-0.0021
Speccy-Rom_SpeccyTV,0.0069,24.5186,0.0594,18.4552,53.4167,-0.0001
SpektraSystems_CloudLabs-Azure,0.6073,36.8788,0.0143,88.5629,58.7274,-0.0003
Spiderpig86_SmoresUnderflow,0.8203,39.1880,0.0110,89.9496,64.1555,-0.0001
Taymindis_fcgi-function,0.1926,25.9084,0.0506,88.6245,37.8294,0.0006
TestHaters_ctflow,0.7981,36.9130,0.0143,89.5007,62.1176,0.0003
UBC-CIC_Student-Connect-App,0.7909,36.5836,0.0148,89.5524,63.0252,-0.0011
