Agent_claude_LLM_Clarity_Rating,Agent_claude_LLM_Completeness_Rating,Agent_claude_LLM_Consistency_Rating,Agent_claude_PSNR,Agent_claude_RMSE,Agent_claude_SAM,Agent_claude_SRE,Agent_claude_SSIM,Agent_claude_UIQ,Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count
Does Not Meet Expectations,Partially Meets Expectations,Does Not Meet Expectations,33.2988,0.0216,83.3308,57.8369,0.6039,0.0011,boxes_and_arrows,pipes-and-filters,entire,"static, dynamic",pau-minoves_jseats,n,"packages, classes",control_flow,uni,control_flow,parameters,y,n,medium,n,y,,functional_suitability,pau-minoves/jseats,"rectangles, icons",NA,https://github.com/pau-minoves/jseats/,1122
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.7769,0.0103,89.5054,59.6073,0.6425,0.0064,boxes_and_arrows,"SOA, smart-contracts",entire,dynamic,kryptokrauts_ae-prediction-cards,y,"DBs, services, clients",control_flow,bi,"function_calls, data_flow",text,y,n,low,n,y,blockchain,functional_suitability,kryptokrauts/ae-prediction-cards,"rectangles, squares, icons","aeternity, ipfs",https://github.com/kryptokrauts/ae-prediction-cards/,1070
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7640,0.0129,89.4898,60.7617,0.5899,0.0045,"icons_and_arrows, boxes",NA,entire+,dynamic,hyeonsangjeon_youtube-dl-nas,y,"network_components, firewalls","connectivity, control_flow, security","uni, bi",data_flow,n,y,n,high,n,y,,"security, functional_suitability",hyeonsangjeon/youtube-dl-nas,"squares, icons",NA,https://github.com/hyeonsangjeon/youtube-dl-nas/,1058
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3608,0.0215,87.7136,57.1410,0.4600,0.0015,boxes_and_arrows,"client-server, layered",entire+,static,lvyahui8_http-proxy,y,"DBs, layers, functions, technologies",general,uni,"data_flow, function_calls",n,y,n,medium,n,y,,maintainability,lvyahui8/http-proxy,rectangles,"openresty, redis, mysql, apache, druid ",https://github.com/lvyahui8/http-proxy/,866
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6306,0.0131,88.6615,62.4460,0.6911,-0.0001,"boxes_and_arrows, icons_and_arrows",NA,entire+,dynamic,domingo1021_Bunny-code,y,"DBs, technologies",deployment,"uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",domingo1021/Bunny-code,"rectangles, icons","vuejs, nodejs, aws, cloudfront, docker, redis, mysql, influxdb, nginx, github",https://github.com/domingo1021/Bunny-code/,1290
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.0285,0.0397,89.0317,49.9814,0.3716,-0.0004,"icons_and_arrows, boxes",event-driven,entire,dynamic,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,y,"DBs, technologies, APIs, clients",control_flow,no,control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws,"rectangles, 3d, icons","aws, apache",https://github.com/adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws/,1145
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7951,0.0129,88.9580,63.4246,0.7736,0.0006,icons_and_arrows,SOA,entire,dynamic,gdsc-ys_mlops,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,gdsc-ys/mlops,icons,"aws, github, mlflow",https://github.com/gdsc-ys/mlops/,871
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8097,0.0115,89.8901,57.2440,0.5280,0.0001,boxes,onion,entire,static,krishnaprasadkv_Linux-Commands,y,sub-systems,general,NA,NA,n,n,n,medium,n,y,,maintainability,krishnaprasadkv/Linux-Commands,circles,NA,https://github.com/krishnaprasadkv/Linux-Commands/,987
Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9299,0.0113,89.0799,61.5958,0.6958,-0.0012,UML,layered,entire,dynamic,Simon-0711_ta_lyrics_sentiment_classification,y,containers,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",Simon-0711/ta_lyrics_sentiment_classification,"rectangles, icons","fastapi, docker, kibana, elasticsearch",https://github.com/Simon-0711/ta_lyrics_sentiment_classification/,1193
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.6295,0.0208,87.3176,53.8079,0.3603,0.0000,boxes,clean,entire,static,imamabdulazis_FlutterCleanArchitecture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,imamabdulazis/FlutterCleanArchitecture,circles,NA,https://github.com/imamabdulazis/FlutterCleanArchitecture/,1049
