filename,image1,image2,vgg16_cosine_similarity
23fa-cpsc490_canyough,23fa-cpsc490_canyough.png,23fa-cpsc490_canyough.png,0.2830168
2WAY_Design,2WAY_Design.jpg,2WAY_Design.png,0.3175466
Activiti_activiti-7-developers-guide,Activiti_activiti-7-developers-guide.png,Activiti_activiti-7-developers-guide.png,0.26359963
AhmedAbdelGawadFarag_Shams-Personal-Assistant,AhmedAbdelGawadFarag_Shams-Personal-Assistant.png,AhmedAbdelGawadFarag_Shams-Personal-Assistant.png,0.32609463
AmnisIO_AmnisIO,AmnisIO_AmnisIO.png,AmnisIO_AmnisIO.png,0.19600165
AndreasM009_AadApiGatekeeper,AndreasM009_AadApiGatekeeper.png,AndreasM009_AadApiGatekeeper.png,0.15949851
ArnBaudzus_FluxSurfer,ArnBaudzus_FluxSurfer.jpg,ArnBaudzus_FluxSurfer.png,0.29380667
BoraxTheClean_DevelopmentMachine,BoraxTheClean_DevelopmentMachine.png,BoraxTheClean_DevelopmentMachine.png,0.30898917
Bytom-Community_Bytom-Server,Bytom-Community_Bytom-Server.jpg,Bytom-Community_Bytom-Server.png,0.28934264
CMU-RERC-APT_tiramisu3-pr,CMU-RERC-APT_tiramisu3-pr.png,CMU-RERC-APT_tiramisu3-pr.png,0.3009482
CMUChimpsLab_Peekaboo,CMUChimpsLab_Peekaboo.jpeg,CMUChimpsLab_Peekaboo.png,0.34920287
CodisLabs_codis,CodisLabs_codis.png,CodisLabs_codis.png,0.08757651
Connor1996_Pokemon,Connor1996_Pokemon.png,Connor1996_Pokemon.png,0.2671715
Cpanchal1_Chatbot101-with-AWS-Lambda,Cpanchal1_Chatbot101-with-AWS-Lambda.png,Cpanchal1_Chatbot101-with-AWS-Lambda.png,0.17295468
DJMcK_aws-lake-training,DJMcK_aws-lake-training.png,DJMcK_aws-lake-training.png,0.28483486
DanNguyenN_CompassUTD,DanNguyenN_CompassUTD.png,DanNguyenN_CompassUTD.png,0.17050183
DecenterApps_ResistanceProtocol,DecenterApps_ResistanceProtocol.png,DecenterApps_ResistanceProtocol.png,0.3251865
DehengYang_APRConfig,DehengYang_APRConfig.jpg,DehengYang_APRConfig.png,0.28573805
DevOps-Represent_devopsgirls-bootcamp-cn-2,DevOps-Represent_devopsgirls-bootcamp-cn-2.png,DevOps-Represent_devopsgirls-bootcamp-cn-2.png,0.25992274
EMERIC237_Restaurant-reservation-app,EMERIC237_Restaurant-reservation-app.png,EMERIC237_Restaurant-reservation-app.png,0.16731304
Elkinmt19_feature-hero-ml,Elkinmt19_feature-hero-ml.png,Elkinmt19_feature-hero-ml.png,0.27242196
Enterprise-CMCS_macpro-appian-connector,Enterprise-CMCS_macpro-appian-connector.png,Enterprise-CMCS_macpro-appian-connector.png,0.3247941
FPriv_factom-harmony-connect-python-sdk,FPriv_factom-harmony-connect-python-sdk.jpg,FPriv_factom-harmony-connect-python-sdk.png,0.23306108
Fenkey_irma,Fenkey_irma.png,Fenkey_irma.png,0.08794719
Fintan-contents_case-studies,Fintan-contents_case-studies.png,Fintan-contents_case-studies.png,0.15700507
FudanOCR_FudanOCR,FudanOCR_FudanOCR.jpeg,FudanOCR_FudanOCR.png,0.32853454
GoogleCloudPlatform_datacatalog-tag-engine,GoogleCloudPlatform_datacatalog-tag-engine.png,GoogleCloudPlatform_datacatalog-tag-engine.png,0.37160408
GoogleCloudPlatform_gke-pubsub-websocket-adapter,GoogleCloudPlatform_gke-pubsub-websocket-adapter.png,GoogleCloudPlatform_gke-pubsub-websocket-adapter.png,0.27513212
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras.png,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras.png,0.22927648
IBM_datastax-cassandra-clickstream,IBM_datastax-cassandra-clickstream.png,IBM_datastax-cassandra-clickstream.png,0.34075773
IBM_ios-mapkit-indoor-map,IBM_ios-mapkit-indoor-map.png,IBM_ios-mapkit-indoor-map.png,0.32282495
IBM_kubernetes-storage,IBM_kubernetes-storage.png,IBM_kubernetes-storage.png,0.22764003
IBM_spectrum-protect-sppmon,IBM_spectrum-protect-sppmon.PNG,IBM_spectrum-protect-sppmon.png,0.30040938
IBM_torc_py,IBM_torc_py.png,IBM_torc_py.png,0.24753928
IceFireDB_IceFireDB,IceFireDB_IceFireDB.png,IceFireDB_IceFireDB.png,0.23950016
JessNah_BeeGreen,JessNah_BeeGreen.png,JessNah_BeeGreen.png,0.3777573
JuliaParallel_DagScheduler.jl,JuliaParallel_DagScheduler.jl.png,JuliaParallel_DagScheduler.jl.png,0.24640799
KMuthumala_ESP32-BLE-Beaconing,KMuthumala_ESP32-BLE-Beaconing.png,KMuthumala_ESP32-BLE-Beaconing.png,0.2240833
KuangRD_Autonomous-Driving,KuangRD_Autonomous-Driving.png,KuangRD_Autonomous-Driving.png,0.33919954
LouisvilleMetro_WazeCCPProcessor,LouisvilleMetro_WazeCCPProcessor.png,LouisvilleMetro_WazeCCPProcessor.png,0.27514505
Luizbrandt_users-crud-salesforce,Luizbrandt_users-crud-salesforce.png,Luizbrandt_users-crud-salesforce.png,0.29480147
Melacon_WirelessTransportEmulator,Melacon_WirelessTransportEmulator.png,Melacon_WirelessTransportEmulator.png,0.2692147
MyEMS_myems,MyEMS_myems.png,MyEMS_myems.png,0.27218443
NLP4L_attic-nlp4l,NLP4L_attic-nlp4l.png,NLP4L_attic-nlp4l.png,0.18599308
NatalieLouise91_T3A2-Skemi-FrontEnd,NatalieLouise91_T3A2-Skemi-FrontEnd.png,NatalieLouise91_T3A2-Skemi-FrontEnd.png,0.18286896
Neighbor-Army_help-with-covid,Neighbor-Army_help-with-covid.png,Neighbor-Army_help-with-covid.png,0.33843768
NeuralDev-io_arclytics_simcct,NeuralDev-io_arclytics_simcct.png,NeuralDev-io_arclytics_simcct.png,0.22996473
NicoJuicy_Airline-Microservices,NicoJuicy_Airline-Microservices.jpg,NicoJuicy_Airline-Microservices.png,0.27579337
Nishu0_anime_nft_marketplace,Nishu0_anime_nft_marketplace.png,Nishu0_anime_nft_marketplace.png,0.30715036
NodleCode_n1,NodleCode_n1.png,NodleCode_n1.png,0.38184714
OAID_Tengine,OAID_Tengine.png,OAID_Tengine.png,0.2640028
OpenIPC_motors,OpenIPC_motors.png,OpenIPC_motors.png,0.35138202
OpiumProtocol_opium-protocol-v2,OpiumProtocol_opium-protocol-v2.jpg,OpiumProtocol_opium-protocol-v2.png,0.2205987
ParaStation_psmpi,ParaStation_psmpi.png,ParaStation_psmpi.png,0.24493599
Resurgence-VM-Development_Resurgence,Resurgence-VM-Development_Resurgence.png,Resurgence-VM-Development_Resurgence.png,0.37377453
RunnersHi_RunnersHi_Server,RunnersHi_RunnersHi_Server.PNG,RunnersHi_RunnersHi_Server.png,0.25922066
SV-97_HumanResourceMachine,SV-97_HumanResourceMachine.png,SV-97_HumanResourceMachine.png,0.5516091
SafeBreach-Labs_hAFL2,SafeBreach-Labs_hAFL2.png,SafeBreach-Labs_hAFL2.png,0.26549023
Sanperolo_The-Intelligent-Bike,Sanperolo_The-Intelligent-Bike.png,Sanperolo_The-Intelligent-Bike.png,0.287912
Scientific-Computing-Lab-NRCN_compar,Scientific-Computing-Lab-NRCN_compar.PNG,Scientific-Computing-Lab-NRCN_compar.png,0.11990702
ShiftLeftSecurity_traceleft,ShiftLeftSecurity_traceleft.png,ShiftLeftSecurity_traceleft.png,0.22408038
Simon-0711_ta_lyrics_sentiment_classification,Simon-0711_ta_lyrics_sentiment_classification.png,Simon-0711_ta_lyrics_sentiment_classification.png,0.36812806
SimonLdj_hypnolog-server,SimonLdj_hypnolog-server.png,SimonLdj_hypnolog-server.png,0.19413912
SocialGouv_archifiltre-docs,SocialGouv_archifiltre-docs.png,SocialGouv_archifiltre-docs.png,0.20591408
Software-Engineering-DHBW_bikeminer,Software-Engineering-DHBW_bikeminer.png,Software-Engineering-DHBW_bikeminer.png,0.2730496
Speccy-Rom_SpeccyTV,Speccy-Rom_SpeccyTV.png,Speccy-Rom_SpeccyTV.png,0.26013923
TestHaters_ctflow,TestHaters_ctflow.png,TestHaters_ctflow.png,0.12978089
UoA-eResearch_hub-stack,UoA-eResearch_hub-stack.png,UoA-eResearch_hub-stack.png,0.43134755
XenitAB_git-auth-proxy,XenitAB_git-auth-proxy.png,XenitAB_git-auth-proxy.png,0.2115674
Xsidelight_flutter_interview_questions,Xsidelight_flutter_interview_questions.png,Xsidelight_flutter_interview_questions.png,0.22182971
YashwantChauhan_SDL,YashwantChauhan_SDL.PNG,YashwantChauhan_SDL.png,0.4114859
ZID-Automat_Controller-ZIDAutomat,ZID-Automat_Controller-ZIDAutomat.png,ZID-Automat_Controller-ZIDAutomat.png,0.2299416
abel-gr_warehouse-robot,abel-gr_warehouse-robot.png,abel-gr_warehouse-robot.png,0.20761138
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws.jpg,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws.png,0.2079727
afonsocastro_larcc_interface,afonsocastro_larcc_interface.png,afonsocastro_larcc_interface.png,0.38660824
alexandredev3_nodejs-clean-architeture,alexandredev3_nodejs-clean-architeture.jpg,alexandredev3_nodejs-clean-architeture.png,0.21429503
alextanhongpin_node-rest,alextanhongpin_node-rest.png,alextanhongpin_node-rest.png,0.19463861
alfredcs_immersion_day_labs,alfredcs_immersion_day_labs.png,alfredcs_immersion_day_labs.png,0.43003076
aliyun_packagist-mirror,aliyun_packagist-mirror.png,aliyun_packagist-mirror.png,0.23371673
allegroai_clearml-agent,allegroai_clearml-agent.png,allegroai_clearml-agent.png,0.21484578
andersonkmi_credit-card-bindb-service-aws,andersonkmi_credit-card-bindb-service-aws.jpg,andersonkmi_credit-card-bindb-service-aws.png,0.17070448
andrempmattos_harsh-payload,andrempmattos_harsh-payload.png,andrempmattos_harsh-payload.png,0.4171952
anjuchamantha_EMonitor,anjuchamantha_EMonitor.png,anjuchamantha_EMonitor.png,0.37040734
annashres_CustomerBot,annashres_CustomerBot.jpg,annashres_CustomerBot.png,0.20134795
anvasquezre_sabiduria_asegurada_experiments,anvasquezre_sabiduria_asegurada_experiments.png,anvasquezre_sabiduria_asegurada_experiments.png,0.34579927
apache_apisix-dashboard,apache_apisix-dashboard.png,apache_apisix-dashboard.png,0.1685887
arkaneshiro_Sound-Zone,arkaneshiro_Sound-Zone.png,arkaneshiro_Sound-Zone.png,0.17707485
ashavijit_Face-Find,ashavijit_Face-Find.png,ashavijit_Face-Find.png,0.23368406
aurelien-m_raspberrypi-rustpy,aurelien-m_raspberrypi-rustpy.png,aurelien-m_raspberrypi-rustpy.png,0.3900658
avarghesein_ActiveX.NET,avarghesein_ActiveX.NET.jpg,avarghesein_ActiveX.NET.png,0.27502328
aws-solutions_automated-security-response-on-aws,aws-solutions_automated-security-response-on-aws.png,aws-solutions_automated-security-response-on-aws.png,0.34570432
aws-solutions_iot-device-simulator,aws-solutions_iot-device-simulator.png,aws-solutions_iot-device-simulator.png,0.29387283
azuregomez_SecurePaaS,azuregomez_SecurePaaS.png,azuregomez_SecurePaaS.png,0.2405433
balajich_resilience4j-helloworld,balajich_resilience4j-helloworld.png,balajich_resilience4j-helloworld.png,0.32300973
beston123_Tarzan,beston123_Tarzan.png,beston123_Tarzan.png,0.4770615
bianjieai_tibc,bianjieai_tibc.png,bianjieai_tibc.png,0.37702698
blentle_hikarikeeper,blentle_hikarikeeper.png,blentle_hikarikeeper.png,0.2062118
blockchain-signaling-system_bloss-core,blockchain-signaling-system_bloss-core.png,blockchain-signaling-system_bloss-core.png,0.22689569
boot2podman_machine,boot2podman_machine.png,boot2podman_machine.png,0.11526871
brightzheng100_instana-handson-labs,brightzheng100_instana-handson-labs.jpg,brightzheng100_instana-handson-labs.png,0.3512044
calmato_gran-book,calmato_gran-book.jpeg,calmato_gran-book.png,0.18401003
cap-ntu_Video-to-Retail-Platform,cap-ntu_Video-to-Retail-Platform.jpg,cap-ntu_Video-to-Retail-Platform.png,0.3009678
caraml-dev_turing,caraml-dev_turing.png,caraml-dev_turing.png,0.2218281
chaitin_veinmind-tools,chaitin_veinmind-tools.png,chaitin_veinmind-tools.png,0.24958676
chirgjin_track-my-events,chirgjin_track-my-events.png,chirgjin_track-my-events.png,0.405432
chrispiro_deploy_plotly_app_on_gcp,chrispiro_deploy_plotly_app_on_gcp.png,chrispiro_deploy_plotly_app_on_gcp.png,0.25321203
clemgbld_blog_back_office,clemgbld_blog_back_office.png,clemgbld_blog_back_office.png,0.24092895
codahale_sneaker,codahale_sneaker.png,codahale_sneaker.png,0.25710952
codestates_BEB-05-LeeSea,codestates_BEB-05-LeeSea.jpg,codestates_BEB-05-LeeSea.png,0.23677468
cordon-thiago_airflow-spark,cordon-thiago_airflow-spark.png,cordon-thiago_airflow-spark.png,0.32163262
coverage-robot_core,coverage-robot_core.jpg,coverage-robot_core.png,0.24004292
danielfm_prometheus-for-developers,danielfm_prometheus-for-developers.png,danielfm_prometheus-for-developers.png,0.30843943
darrenyao87_tnn-models,darrenyao87_tnn-models.jpg,darrenyao87_tnn-models.png,0.25773025
david3107_squatm3gator,david3107_squatm3gator.png,david3107_squatm3gator.png,0.2545942
de1ux_statlord,de1ux_statlord.png,de1ux_statlord.png,0.32424152
decentraland_catalyst,decentraland_catalyst.png,decentraland_catalyst.png,0.27121878
dich1_bookshelf-web,dich1_bookshelf-web.png,dich1_bookshelf-web.png,0.29712462
doitintl_banias,doitintl_banias.png,doitintl_banias.png,0.32131732
domingo1021_Bunny-code,domingo1021_Bunny-code.png,domingo1021_Bunny-code.png,0.3206342
dowjones_hammer,dowjones_hammer.png,dowjones_hammer.png,0.36643207
duanfuxiang0_MysqlMigrationTool,duanfuxiang0_MysqlMigrationTool.jpg,duanfuxiang0_MysqlMigrationTool.png,0.29147488
dylanvanh_MunchOut,dylanvanh_MunchOut.png,dylanvanh_MunchOut.png,0.1797812
eProsima_FIWARE-SH,eProsima_FIWARE-SH.png,eProsima_FIWARE-SH.png,0.20428681
eProsima_Integration-Service,eProsima_Integration-Service.png,eProsima_Integration-Service.png,0.17486644
ebu_PlugIt,ebu_PlugIt.png,ebu_PlugIt.png,0.48457712
emreturgutce_stock-management,emreturgutce_stock-management.png,emreturgutce_stock-management.png,0.42020714
eqbal_CarND_Capstone_CarX,eqbal_CarND_Capstone_CarX.png,eqbal_CarND_Capstone_CarX.png,0.17422467
ertis-research_lwm2m-blockchain,ertis-research_lwm2m-blockchain.png,ertis-research_lwm2m-blockchain.png,0.24667466
ev2900_OpenSearch_Dashboard_Nginx_Proxy,ev2900_OpenSearch_Dashboard_Nginx_Proxy.png,ev2900_OpenSearch_Dashboard_Nginx_Proxy.png,0.24474561
exmgr_GatewayXM,exmgr_GatewayXM.png,exmgr_GatewayXM.png,0.1681323
fdrennan_ndexr-platform,fdrennan_ndexr-platform.png,fdrennan_ndexr-platform.png,0.16997111
florianhoehn_sf-apex-rest-api,florianhoehn_sf-apex-rest-api.png,florianhoehn_sf-apex-rest-api.png,0.347461
fredrikhgrelland_data-mesh,fredrikhgrelland_data-mesh.png,fredrikhgrelland_data-mesh.png,0.23312736
freenowtech_AndroidCI,freenowtech_AndroidCI.png,freenowtech_AndroidCI.png,0.124165595
gabrielfarah_OpenHub,gabrielfarah_OpenHub.png,gabrielfarah_OpenHub.png,0.22956479
gapfish_deployer,gapfish_deployer.jpg,gapfish_deployer.png,0.19666094
gcba-iris_iris,gcba-iris_iris.png,gcba-iris_iris.png,0.11865473
gdsc-ys_mlops,gdsc-ys_mlops.png,gdsc-ys_mlops.png,0.23427898
googleinterns_typescript-flag-upgrade,googleinterns_typescript-flag-upgrade.png,googleinterns_typescript-flag-upgrade.png,0.060749233
gpsnmeajp_VirtualMotionTracker,gpsnmeajp_VirtualMotionTracker.png,gpsnmeajp_VirtualMotionTracker.png,0.2709338
greatfarmer_fifarm,greatfarmer_fifarm.png,greatfarmer_fifarm.png,0.31524348
gregoryjohnsonjg6_angular-dotnet-core-docker,gregoryjohnsonjg6_angular-dotnet-core-docker.png,gregoryjohnsonjg6_angular-dotnet-core-docker.png,0.34674215
gustavung_Graphrec,gustavung_Graphrec.png,gustavung_Graphrec.png,0.33658564
hamzatugrul_surl,hamzatugrul_surl.PNG,hamzatugrul_surl.png,0.20454514
heli-os_member-invitation-java-springboot,heli-os_member-invitation-java-springboot.png,heli-os_member-invitation-java-springboot.png,0.22817826
hex-js_nodejs-hexagonal-boilerplate-ts,hex-js_nodejs-hexagonal-boilerplate-ts.png,hex-js_nodejs-hexagonal-boilerplate-ts.png,0.21475798
hotshot07_distributed_systems,hotshot07_distributed_systems.png,hotshot07_distributed_systems.png,0.19676805
hyeonsangjeon_youtube-dl-nas,hyeonsangjeon_youtube-dl-nas.png,hyeonsangjeon_youtube-dl-nas.png,0.47374606
hyper-prog_hasses,hyper-prog_hasses.png,hyper-prog_hasses.png,0.15133727
hypertrack_live-app-android,hypertrack_live-app-android.png,hypertrack_live-app-android.png,0.37238812
i5ting_stuq-koa,i5ting_stuq-koa.png,i5ting_stuq-koa.png,0.15706772
ibm-hyperknowledge_hklib,ibm-hyperknowledge_hklib.jpg,ibm-hyperknowledge_hklib.png,0.26241195
iceland2k14_Kangrand,iceland2k14_Kangrand.jpg,iceland2k14_Kangrand.png,0.16727269
icoxfog417_karura,icoxfog417_karura.PNG,icoxfog417_karura.png,0.3773508
imamabdulazis_FlutterCleanArchitecture,imamabdulazis_FlutterCleanArchitecture.png,imamabdulazis_FlutterCleanArchitecture.png,0.1842798
inIT-HF_gr-corrsounder,inIT-HF_gr-corrsounder.png,inIT-HF_gr-corrsounder.png,0.21855903
ingeniala_heybluekata,ingeniala_heybluekata.png,ingeniala_heybluekata.png,0.28665388
input-output-hk_marlowe-starter-kit,input-output-hk_marlowe-starter-kit.png,input-output-hk_marlowe-starter-kit.png,0.35527426
jes_autopatzer,jes_autopatzer.png,jes_autopatzer.png,0.36199337
jinnerbichler_flash-home,jinnerbichler_flash-home.png,jinnerbichler_flash-home.png,0.19763726
jkahn117_aws-news,jkahn117_aws-news.png,jkahn117_aws-news.png,0.4214096
jlhood_retweet-leaderboard,jlhood_retweet-leaderboard.png,jlhood_retweet-leaderboard.png,0.29977453
jquku_Matrix-Chatbot,jquku_Matrix-Chatbot.png,jquku_Matrix-Chatbot.png,0.060907066
jsarcher_zilgraph,jsarcher_zilgraph.png,jsarcher_zilgraph.png,0.200315
jun108059_Elasticsearch-SpringBoot,jun108059_Elasticsearch-SpringBoot.png,jun108059_Elasticsearch-SpringBoot.png,0.20468873
kaleidot725_Draft,kaleidot725_Draft.png,kaleidot725_Draft.png,0.2049306
kansiris_Angular-Interview-Questions-Answers,kansiris_Angular-Interview-Questions-Answers.png,kansiris_Angular-Interview-Questions-Answers.png,0.36419266
kerollesroshdi_Cima-,kerollesroshdi_Cima-.png,kerollesroshdi_Cima-.png,0.14141536
kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking,kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking.png,kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking.png,0.26387858
krishnaprasadkv_Linux-Commands,krishnaprasadkv_Linux-Commands.jpg,krishnaprasadkv_Linux-Commands.png,0.27547312
kryptokrauts_ae-prediction-cards,kryptokrauts_ae-prediction-cards.png,kryptokrauts_ae-prediction-cards.png,0.268057
kubescape_host-scanner,kubescape_host-scanner.png,kubescape_host-scanner.png,0.23617458
kzh_noob,kzh_noob.png,kzh_noob.png,0.19051653
laziestcoder_Budget_App_JS,laziestcoder_Budget_App_JS.png,laziestcoder_Budget_App_JS.png,0.2236954
leopardslab_gocloud,leopardslab_gocloud.jpg,leopardslab_gocloud.png,0.11838877
libremfg_getting-started,libremfg_getting-started.png,libremfg_getting-started.png,0.17188197
linhao1998_ChatGPTClient,linhao1998_ChatGPTClient.png,linhao1998_ChatGPTClient.png,0.14179474
little-hands_webdbpress-2019-10-ddd,little-hands_webdbpress-2019-10-ddd.png,little-hands_webdbpress-2019-10-ddd.png,0.3115517
liyangbing_rocketmq-http-gateway,liyangbing_rocketmq-http-gateway.jpg,liyangbing_rocketmq-http-gateway.png,0.2668959
lkmSasanga_fas-web-app,lkmSasanga_fas-web-app.png,lkmSasanga_fas-web-app.png,0.35626423
lkravi_kube8aws,lkravi_kube8aws.png,lkravi_kube8aws.png,0.31176686
llvm_torch-mlir,llvm_torch-mlir.png,llvm_torch-mlir.png,0.31363618
lovasoa_SuperLogger,lovasoa_SuperLogger.png,lovasoa_SuperLogger.png,0.3553058
lowes_auditor,lowes_auditor.png,lowes_auditor.png,0.2559948
lubkoKuzenko_FE-Interview-Questions,lubkoKuzenko_FE-Interview-Questions.png,lubkoKuzenko_FE-Interview-Questions.png,0.32135928
lvyahui8_http-proxy,lvyahui8_http-proxy.jpg,lvyahui8_http-proxy.png,0.36579037
madderle_Capstone-Realtime-Streaming-Analytics,madderle_Capstone-Realtime-Streaming-Analytics.png,madderle_Capstone-Realtime-Streaming-Analytics.png,0.27865732
marekq_rss-lambda,marekq_rss-lambda.png,marekq_rss-lambda.png,0.3116386
marklogic_cloud-enablement-aws,marklogic_cloud-enablement-aws.png,marklogic_cloud-enablement-aws.png,0.4008314
marmarek_qubes-app-u2f,marmarek_qubes-app-u2f.png,marmarek_qubes-app-u2f.png,0.25487447
matrix-io_matrix-malos-zwave,matrix-io_matrix-malos-zwave.png,matrix-io_matrix-malos-zwave.png,0.27203536
mbotarro_unijobs,mbotarro_unijobs.png,mbotarro_unijobs.png,0.28618312
mcuking_offline-package-webpack-plugin,mcuking_offline-package-webpack-plugin.png,mcuking_offline-package-webpack-plugin.png,0.2095921
mebaysan_Modern-Data-Architecture,mebaysan_Modern-Data-Architecture.png,mebaysan_Modern-Data-Architecture.png,0.35423374
medlab_320-online-prototype,medlab_320-online-prototype.png,medlab_320-online-prototype.png,0.22682232
mendhak_gpslogger,mendhak_gpslogger.png,mendhak_gpslogger.png,0.26978278
michaelsrichter_azure.owasp,michaelsrichter_azure.owasp.jpg,michaelsrichter_azure.owasp.png,0.12458503
minism_hotel,minism_hotel.png,minism_hotel.png,0.10467374
miztiik_aws-real-time-use-cases,miztiik_aws-real-time-use-cases.png,miztiik_aws-real-time-use-cases.png,0.2073099
mrubash1_trainspotting,mrubash1_trainspotting.png,mrubash1_trainspotting.png,0.28577828
mxaviersmp_spotify-tracker,mxaviersmp_spotify-tracker.png,mxaviersmp_spotify-tracker.png,0.46006912
nasa_cFS,nasa_cFS.png,nasa_cFS.png,0.28483772
nforge_devnote,nforge_devnote.png,nforge_devnote.png,0.16376913
nightingaleproject_Reference-Client,nightingaleproject_Reference-Client.png,nightingaleproject_Reference-Client.png,0.38271463
numerica-ideas_ni-microservice-nodejs,numerica-ideas_ni-microservice-nodejs.png,numerica-ideas_ni-microservice-nodejs.png,0.40722764
onlybakam_reinvent2022-vote-app,onlybakam_reinvent2022-vote-app.png,onlybakam_reinvent2022-vote-app.png,0.28809822
oovk_dataengg-covid19-aws,oovk_dataengg-covid19-aws.png,oovk_dataengg-covid19-aws.png,0.25724888
open-risk_Open_Risk_API,open-risk_Open_Risk_API.png,open-risk_Open_Risk_API.png,0.30502307
openshift_configuration-anomaly-detection,openshift_configuration-anomaly-detection.png,openshift_configuration-anomaly-detection.png,0.14823395
opstree_OT-Microservices-Training,opstree_OT-Microservices-Training.png,opstree_OT-Microservices-Training.png,0.25918716
orchsym_runtime,orchsym_runtime.png,orchsym_runtime.png,0.1339482
pacmacro_pm-server-spring,pacmacro_pm-server-spring.png,pacmacro_pm-server-spring.png,0.195943
padok-team_dojo-terraform-aws-security,padok-team_dojo-terraform-aws-security.png,padok-team_dojo-terraform-aws-security.png,0.14905405
pagopa_pn-infra,pagopa_pn-infra.png,pagopa_pn-infra.png,0.47435522
pau-minoves_jseats,pau-minoves_jseats.png,pau-minoves_jseats.png,0.2314992
pgrignaffini_AlgoCrowd,pgrignaffini_AlgoCrowd.jpg,pgrignaffini_AlgoCrowd.png,0.2804286
philipplackner_IvyWallet-PL_Version,philipplackner_IvyWallet-PL_Version.png,philipplackner_IvyWallet-PL_Version.png,0.0742811
qaware_cloud-native-weather-javaee,qaware_cloud-native-weather-javaee.png,qaware_cloud-native-weather-javaee.png,0.20228362
qnib_qframe,qnib_qframe.png,qnib_qframe.png,0.15725863
qunarcorp_m_adr_qapm_open_source,qunarcorp_m_adr_qapm_open_source.png,qunarcorp_m_adr_qapm_open_source.png,0.28287923
redbadger_crux,redbadger_crux.png,redbadger_crux.png,0.20458293
rubenbupe_proyectos-data,rubenbupe_proyectos-data.png,rubenbupe_proyectos-data.png,0.28531015
securesecrets_shadeswap,securesecrets_shadeswap.png,securesecrets_shadeswap.png,0.2750829
serverdevcamp_camp4_quadcore,serverdevcamp_camp4_quadcore.png,serverdevcamp_camp4_quadcore.png,0.18373811
shinesolutions_sitechecker-slackbot,shinesolutions_sitechecker-slackbot.jpg,shinesolutions_sitechecker-slackbot.png,0.24266648
solenya-group_solenya,solenya-group_solenya.png,solenya-group_solenya.png,0.2067765
spagnuolocarmine_serverless-computing-for-iot,spagnuolocarmine_serverless-computing-for-iot.png,spagnuolocarmine_serverless-computing-for-iot.png,0.40633178
staples-sparx_Wonko,staples-sparx_Wonko.png,staples-sparx_Wonko.png,0.13548219
sup2is_e-commerce-project,sup2is_e-commerce-project.png,sup2is_e-commerce-project.png,0.19981223
swir-rs_swir,swir-rs_swir.png,swir-rs_swir.png,0.1562103
tamu-datathon-org_galaxy,tamu-datathon-org_galaxy.png,tamu-datathon-org_galaxy.png,0.19011134
teamgram_teamgram-server,teamgram_teamgram-server.png,teamgram_teamgram-server.png,0.20583433
terrenjpeterson_javawatch,terrenjpeterson_javawatch.png,terrenjpeterson_javawatch.png,0.37065816
thangchung_practical-dapr,thangchung_practical-dapr.png,thangchung_practical-dapr.png,0.2879882
thill_kafkacap,thill_kafkacap.png,thill_kafkacap.png,0.42637485
today-real-estate_today-real-estate_front-end,today-real-estate_today-real-estate_front-end.png,today-real-estate_today-real-estate_front-end.png,0.25888598
turkcellcloud_jupyter-openshift,turkcellcloud_jupyter-openshift.png,turkcellcloud_jupyter-openshift.png,0.17725432
unnmdnwb3_dora,unnmdnwb3_dora.jpg,unnmdnwb3_dora.png,0.2776612
usds_justice40-tool,usds_justice40-tool.png,usds_justice40-tool.png,0.20518059
ut-ims-robotics_robotont,ut-ims-robotics_robotont.png,ut-ims-robotics_robotont.png,0.29995573
vectranetworks_AWS-Traffic-Mirroring-Session-Manager,vectranetworks_AWS-Traffic-Mirroring-Session-Manager.png,vectranetworks_AWS-Traffic-Mirroring-Session-Manager.png,0.1512807
victor369basu_Real-time-stock-market-prediction,victor369basu_Real-time-stock-market-prediction.png,victor369basu_Real-time-stock-market-prediction.png,0.17347908
whtngus_whtngus.github.io,whtngus_whtngus.github.io.PNG,whtngus_whtngus.github.io.png,0.4131024
