ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.7371,35.1545,0.0175,89.2003,60.8032,0.0008
23fa-cpsc490_canyough,0.5812,37.2834,0.0137,89.3575,59.8557,-0.0037
2WAY_Design,0.6093,35.3308,0.0171,89.8660,57.8157,0.0011
Activiti_activiti-7-developers-guide,0.4892,38.0247,0.0126,89.8751,57.8797,-0.0079
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.7218,38.6839,0.0116,89.9098,59.6353,-0.0026
AmnisIO_AmnisIO,0.7591,37.0606,0.0140,87.6842,61.0951,-0.0015
AndreasM009_AadApiGatekeeper,NA,NA,NA,NA,NA,NA
ArnBaudzus_FluxSurfer,0.4493,30.3358,0.0304,87.5794,53.4471,-0.0010
Azure_AzureStack-QuickStart-Templates,0.5907,38.7077,0.0116,89.9337,59.3104,0.0004
BoraxTheClean_DevelopmentMachine,0.6781,39.0253,0.0112,89.4007,62.7229,0.0006
Bytom-Community_Bytom-Server,0.6917,37.3361,0.0136,89.8686,57.0337,-0.0026
CMU-RERC-APT_tiramisu3-pr,0.1571,25.4825,0.0532,18.8946,44.3211,0.0004
CMUChimpsLab_Peekaboo,0.5846,33.6516,0.0208,85.0467,58.0184,0.0014
CodisLabs_codis,0.7840,37.5680,0.0132,88.0156,63.2495,0.0005
Connor1996_Pokemon,0.0983,25.3345,0.0541,20.0793,40.4812,-0.0024
Cpanchal1_Chatbot101-with-AWS-Lambda,NA,NA,NA,NA,NA,NA
Crazy0416_KnowledgeGraph,0.8023,37.4525,0.0134,88.6063,62.6455,-0.0013
DJMcK_aws-lake-training,0.6664,38.3610,0.0121,89.4086,62.7637,0.0015
DanNguyenN_CompassUTD,0.6657,34.5619,0.0187,85.5569,57.8549,0.0042
DecenterApps_ResistanceProtocol,0.5842,38.4466,0.0120,88.6794,62.0892,-0.0012
DehengYang_APRConfig,0.6549,34.6523,0.0185,85.1410,60.6374,0.0004
DevOps-Represent_devopsgirls-bootcamp-cn-2,NA,NA,NA,NA,NA,NA
EMERIC237_Restaurant-reservation-app,0.4347,31.3408,0.0271,78.3580,51.1731,0.0010
EOS-Nation_dfuse-docs,0.6240,37.4928,0.0133,88.7542,59.8219,-0.0031
Elkinmt19_feature-hero-ml,0.5644,37.1252,0.0139,88.4552,58.8778,0.0007
Enterprise-CMCS_macpro-appian-connector,0.8968,39.9310,0.0101,89.4880,68.5918,0.0002
FAC10_week4-jajascript,0.4674,29.4514,0.0337,65.6758,49.9003,0.0002
FPriv_factom-harmony-connect-python-sdk,0.5945,38.1338,0.0124,89.9018,60.0995,0.0076
Fenkey_irma,0.5396,36.3529,0.0152,86.9999,56.6383,-0.0006
Fintan-contents_case-studies,0.6859,38.3085,0.0121,89.1115,59.2765,-0.0006
FudanOCR_FudanOCR,0.6646,35.4626,0.0169,89.8154,58.9597,-0.0001
GoogleCloudPlatform_analytics-componentized-patterns,0.7279,37.3705,0.0135,89.3928,62.2722,-0.0003
GoogleCloudPlatform_datacatalog-tag-engine,0.2309,26.3513,0.0481,29.9592,47.7346,-0.0014
GoogleCloudPlatform_gke-pubsub-websocket-adapter,NA,NA,NA,NA,NA,NA
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0225,25.2138,0.0549,7.6273,27.9728,0.0000
IBM_IBM-Spectrum-Scale-Security-Posture,0.6161,35.8206,0.0162,88.7378,56.6537,0.0010
IBM_cognos-analytics-to-visualize-business-data,0.8790,41.3833,0.0085,89.9374,66.2036,0.0003
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,0.8446,39.9524,0.0101,89.9189,65.4128,-0.0009
IBM_datastax-cassandra-clickstream,0.8979,40.6834,0.0092,89.9243,68.7071,0.0010
IBM_ios-mapkit-indoor-map,0.8353,42.5814,0.0074,89.9610,62.7312,0.0017
IBM_kubernetes-storage,0.7356,38.1148,0.0124,89.7856,61.9469,-0.0001
IBM_logdna-cos,0.8167,39.5045,0.0106,89.9096,63.7736,0.0007
IBM_spectrum-protect-sppmon,NA,NA,NA,NA,NA,NA
IBM_torc_py,0.4842,34.0799,0.0198,88.9072,55.9793,-0.0011
IBM_vpc-flowlogs-log-analysis,0.4121,27.8790,0.0404,52.6885,50.5782,0.0000
IceFireDB_IceFireDB,0.1867,26.1166,0.0495,88.8898,42.6499,-0.0001
JessNah_BeeGreen,0.4240,27.8652,0.0404,49.5517,53.7585,0.0003
JuliaParallel_DagScheduler.jl,0.6192,37.9889,0.0126,89.8356,58.8381,-0.0022
KMuthumala_ESP32-BLE-Beaconing,NA,NA,NA,NA,NA,NA
KuangRD_Autonomous-Driving,0.7323,37.1039,0.0140,88.8731,60.6654,0.0009
LouisvilleMetro_WazeCCPProcessor,0.7199,38.1087,0.0124,89.5102,61.7740,-0.0012
Luizbrandt_users-crud-salesforce,0.3912,36.1158,0.0156,88.3421,54.4850,0.0002
McOrts_taller-iot-sensor_radiactividad,0.6151,35.4346,0.0169,89.7185,57.8160,-0.0009
Melacon_WirelessTransportEmulator,NA,NA,NA,NA,NA,NA
MyEMS_myems,0.4693,36.6763,0.0147,88.6439,59.3027,0.0027
NLP4L_attic-nlp4l,0.3672,29.2190,0.0346,89.6828,48.5393,0.0046
NatalieLouise91_T3A2-Skemi-FrontEnd,0.7171,37.4263,0.0134,88.8208,60.7618,-0.0011
Neighbor-Army_help-with-covid,0.8417,38.1214,0.0124,89.8778,66.8912,0.0015
NeuralDev-io_arclytics_simcct,0.6507,31.4957,0.0266,77.0785,58.7613,0.0006
NicoJuicy_Airline-Microservices,0.6405,33.2752,0.0217,89.8488,57.5098,-0.0062
Nishu0_anime_nft_marketplace,0.6014,39.1355,0.0110,89.8951,58.8824,-0.0031
NodleCode_n1,0.7028,36.5092,0.0149,89.6455,57.6311,-0.0006
OAID_Tengine,0.5508,38.3616,0.0121,89.8662,60.0345,-0.0003
OpenIPC_motors,0.5686,36.9674,0.0142,88.2877,58.0909,0.0024
OpenPSD_modelbank,0.6408,37.3808,0.0135,87.5548,58.9177,0.0008
OpenRoberta_robertalab-ev3dev,0.5043,31.8493,0.0256,82.1357,50.6847,0.0027
OpiumProtocol_opium-protocol-v2,0.7312,39.2075,0.0110,89.7633,61.3857,0.0035
ParaStation_psmpi,0.1968,26.3196,0.0483,50.5500,43.3992,-0.0001
Resurgence-VM-Development_Resurgence,0.5662,38.0336,0.0125,89.7375,58.1671,0.0038
RunnersHi_RunnersHi_Server,0.7479,39.0882,0.0111,89.4207,59.1213,0.0005
SV-97_HumanResourceMachine,0.6572,38.3856,0.0120,89.1288,58.9309,-0.0007
SafeBreach-Labs_hAFL2,0.7035,37.2094,0.0138,89.1887,59.5696,0.0006
Sanperolo_The-Intelligent-Bike,NA,NA,NA,NA,NA,NA
Scientific-Computing-Lab-NRCN_compar,0.5943,36.9346,0.0142,89.5765,58.0829,-0.0021
SecHack365-Fans_PyJailBreak,0.5443,37.0432,0.0141,89.5071,57.4884,-0.0009
ShiftLeftSecurity_traceleft,0.6606,38.7288,0.0116,89.9213,61.3708,0.0010
Simon-0711_ta_lyrics_sentiment_classification,0.7462,39.7364,0.0103,89.0938,62.0000,0.0034
SimonLdj_hypnolog-server,0.6030,36.2764,0.0154,89.4347,55.7456,-0.0034
SocialGouv_archifiltre-docs,0.7649,38.1396,0.0124,89.5283,61.7189,-0.0009
Software-Engineering-DHBW_bikeminer,0.7443,36.6902,0.0146,88.7208,62.1081,-0.0007
Speccy-Rom_SpeccyTV,0.6868,37.8598,0.0128,88.4231,60.0835,-0.0026
SpektraSystems_CloudLabs-Azure,0.6390,37.6647,0.0131,88.5944,59.1353,0.0010
Spiderpig86_SmoresUnderflow,0.7865,36.4874,0.0150,89.9243,63.0221,0.0012
Taymindis_fcgi-function,0.2004,26.3364,0.0482,88.7150,38.0289,0.0013
TestHaters_ctflow,0.7466,37.2205,0.0138,89.5136,62.2721,-0.0003
UBC-CIC_Student-Connect-App,NA,NA,NA,NA,NA,NA
UnoSD_UnoCash,0.6763,38.7403,0.0116,89.1022,60.1716,-0.0009
UoA-eResearch_hub-stack,0.7011,36.8895,0.0143,89.6122,61.6960,-0.0006
WeBankFinTech_DeFiBus,0.5873,37.0266,0.0141,89.3238,58.4221,0.0006
XenitAB_git-auth-proxy,0.6368,38.8431,0.0114,89.7903,57.4819,-0.0013
Xsidelight_flutter_interview_questions,0.3006,29.7351,0.0326,73.4128,49.9880,0.0124
