ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.7313,34.6121,0.0186,89.1885,60.5488,0.0011
23fa-cpsc490_canyough,0.5499,36.6880,0.0146,89.3282,59.5518,-0.0035
2WAY_Design,0.6353,35.1958,0.0174,89.8690,57.7572,-0.0008
Activiti_activiti-7-developers-guide,0.5205,37.4200,0.0135,89.8841,57.5812,0.0097
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.7015,39.2985,0.0108,89.9308,59.9525,-0.0073
AmnisIO_AmnisIO,0.7459,36.8454,0.0144,87.6670,60.9702,-0.0010
AndreasM009_AadApiGatekeeper,0.3393,28.3979,0.0380,6.2516,45.3791,-0.0005
ArnBaudzus_FluxSurfer,0.4489,30.5182,0.0298,87.5318,53.5283,0.0006
Azure_AzureStack-QuickStart-Templates,0.5995,38.5348,0.0118,89.9198,59.3396,-0.0000
BoraxTheClean_DevelopmentMachine,0.7126,39.3752,0.0107,89.4057,62.8994,0.0003
Bytom-Community_Bytom-Server,0.6185,37.0504,0.0140,89.8767,56.9391,0.0020
CMU-RERC-APT_tiramisu3-pr,0.1579,25.2586,0.0546,18.8937,44.2103,0.0034
CMUChimpsLab_Peekaboo,0.6343,33.0435,0.0223,85.0505,57.7138,-0.0004
CodisLabs_codis,0.7669,37.9380,0.0127,88.0174,63.4049,-0.0030
Connor1996_Pokemon,0.5817,30.5518,0.0297,2.0039,43.1027,-0.0008
Cpanchal1_Chatbot101-with-AWS-Lambda,0.6373,33.5588,0.0210,89.6691,57.4281,-0.0038
Crazy0416_KnowledgeGraph,0.7979,36.9958,0.0141,88.4627,62.4155,-0.0001
DJMcK_aws-lake-training,0.5757,33.9871,0.0200,89.3701,60.8572,-0.0000
DanNguyenN_CompassUTD,0.6378,34.4535,0.0189,85.5398,57.7864,0.0026
DecenterApps_ResistanceProtocol,0.5791,38.1303,0.0124,88.6111,61.9313,0.0002
DehengYang_APRConfig,0.7138,34.8821,0.0180,85.1593,60.7523,-0.0009
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.6270,33.6576,0.0208,87.4620,56.5237,-0.0025
EMERIC237_Restaurant-reservation-app,0.3593,31.2777,0.0273,78.3153,51.1410,0.0081
EOS-Nation_dfuse-docs,0.6656,37.7903,0.0129,88.7632,59.9744,0.0038
Elkinmt19_feature-hero-ml,0.5711,36.6998,0.0146,88.4013,58.6647,-0.0023
Enterprise-CMCS_macpro-appian-connector,0.8802,39.4026,0.0107,89.4581,68.3437,-0.0000
FAC10_week4-jajascript,0.1767,26.8304,0.0455,10.9605,48.5557,0.0002
FPriv_factom-harmony-connect-python-sdk,0.6022,38.5630,0.0118,89.9074,60.3769,-0.0009
Fenkey_irma,0.5552,35.8445,0.0161,87.0596,56.4439,0.0027
Fintan-contents_case-studies,0.7030,38.3961,0.0120,89.1001,59.3184,0.0057
FudanOCR_FudanOCR,0.6998,36.4432,0.0151,89.8481,59.5665,-0.0006
GoogleCloudPlatform_analytics-componentized-patterns,0.6887,36.6680,0.0147,89.3453,61.9196,0.0003
GoogleCloudPlatform_datacatalog-tag-engine,0.2292,26.0481,0.0498,29.9839,47.5810,-0.0007
GoogleCloudPlatform_gke-pubsub-websocket-adapter,NA,NA,NA,NA,NA,NA
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0208,24.6690,0.0584,7.6254,27.6995,0.0015
IBM_IBM-Spectrum-Scale-Security-Posture,0.6135,36.3314,0.0153,88.7350,56.9045,0.0033
IBM_cognos-analytics-to-visualize-business-data,0.8864,41.3629,0.0085,89.9560,66.2140,-0.0005
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,0.8536,40.3900,0.0096,89.9479,65.5841,-0.0012
IBM_datastax-cassandra-clickstream,0.8575,38.8273,0.0114,89.8677,67.7703,0.0001
IBM_ios-mapkit-indoor-map,0.8359,43.0752,0.0070,89.9709,62.9800,-0.0008
IBM_kubernetes-storage,0.7870,38.7203,0.0116,89.8079,62.2661,0.0000
IBM_logdna-cos,0.8166,39.2771,0.0109,89.9357,63.6567,0.0010
IBM_spectrum-protect-sppmon,0.5799,36.3107,0.0153,89.0615,58.1197,0.0040
IBM_torc_py,0.5733,34.3353,0.0192,88.9484,56.1249,-0.0010
IBM_vpc-flowlogs-log-analysis,0.4015,27.8019,0.0407,52.6536,50.5397,-0.0006
IT-HF_gr-corrsounder,NA,NA,NA,NA,NA,NA
IceFireDB_IceFireDB,0.1753,26.2445,0.0487,88.8947,42.7296,0.0006
JessNah_BeeGreen,0.4649,27.6151,0.0416,49.6065,53.6324,-0.0001
JuliaParallel_DagScheduler.jl,0.0097,24.7302,0.0580,26.9968,52.1796,-0.0010
