ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.7077,34.2146,0.0195,89.1411,60.3122,0.0032
23fa-cpsc490_canyough,0.5248,36.6143,0.0148,89.3165,59.5186,-0.0061
2WAY_Design,0.6276,34.6861,0.0184,89.8458,57.4247,-0.0054
Activiti_activiti-7-developers-guide,0.4777,36.8122,0.0144,89.8994,57.2906,0.0001
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.6919,37.8100,0.0129,89.9024,59.1908,-0.0049
AmnisIO_AmnisIO,0.7449,36.9952,0.0141,87.6875,61.0416,0.0009
AndreasM009_AadApiGatekeeper,0.2544,26.3823,0.0480,36.6565,44.4064,-0.0045
ArnBaudzus_FluxSurfer,0.3957,30.3765,0.0303,87.5373,53.3779,-0.0006
Azure_AzureStack-QuickStart-Templates,0.4974,37.4366,0.0134,89.8980,58.5560,0.0018
BoraxTheClean_DevelopmentMachine,0.7344,38.9954,0.0112,89.4108,62.7526,0.0006
Bytom-Community_Bytom-Server,0.6265,38.4495,0.0120,89.9413,57.6201,0.0004
CMU-RERC-APT_tiramisu3-pr,0.1521,25.2340,0.0547,18.8933,44.1974,-0.0004
CMUChimpsLab_Peekaboo,0.4655,32.7402,0.0231,84.8710,57.5625,0.0022
CodisLabs_codis,0.7602,37.8850,0.0128,88.0122,63.3782,-0.0001
Connor1996_Pokemon,0.0945,25.3794,0.0538,20.0789,40.5036,0.0012
Cpanchal1_Chatbot101-with-AWS-Lambda,0.6598,33.3902,0.0214,89.5917,57.3394,-0.0011
Crazy0416_KnowledgeGraph,0.7949,37.0256,0.0141,88.5803,62.4308,0.0012
DJMcK_aws-lake-training,0.6686,38.2702,0.0122,89.4307,62.7206,0.0018
DanNguyenN_CompassUTD,0.6482,34.4120,0.0190,85.4708,57.7623,0.0143
DecenterApps_ResistanceProtocol,0.5701,37.6554,0.0131,88.5768,61.6933,-0.0007
DehengYang_APRConfig,0.6682,34.4720,0.0189,85.0966,60.5473,-0.0007
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.6069,33.3525,0.0215,87.4424,56.3804,0.0020
EMERIC237_Restaurant-reservation-app,0.4375,31.2253,0.0275,78.3627,51.1150,0.0013
EOS-Nation_dfuse-docs,0.6513,37.0026,0.0141,88.7212,59.5779,-0.0003
Elkinmt19_feature-hero-ml,0.5595,36.1213,0.0156,88.3423,58.3761,0.0065
Enterprise-CMCS_macpro-appian-connector,0.8574,38.4995,0.0119,89.4392,67.8808,-0.0004
FAC10_week4-jajascript,0.4367,29.7128,0.0327,65.6512,50.0283,0.0012
FPriv_factom-harmony-connect-python-sdk,NA,NA,NA,NA,NA,NA
Fenkey_irma,0.5728,35.8965,0.0160,87.0735,56.4877,0.0020
Fintan-contents_case-studies,0.6579,37.8277,0.0128,89.0291,59.0341,0.0038
FudanOCR_FudanOCR,0.6048,36.0032,0.0158,89.8250,59.3362,0.0014
GoogleCloudPlatform_analytics-componentized-patterns,0.7001,36.5303,0.0149,89.3132,61.8570,0.0020
GoogleCloudPlatform_datacatalog-tag-engine,0.2295,26.0854,0.0496,29.9888,47.6002,0.0016
GoogleCloudPlatform_gke-pubsub-websocket-adapter,NA,NA,NA,NA,NA,NA
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0241,24.9697,0.0564,7.6144,27.8502,0.0001
IBM_IBM-Spectrum-Scale-Security-Posture,0.5605,35.1873,0.0174,88.6642,56.3414,-0.0044
IBM_cognos-analytics-to-visualize-business-data,0.8438,38.9070,0.0113,89.8978,64.9854,-0.0011
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,0.8349,39.0381,0.0112,89.9440,64.9063,-0.0002
IBM_datastax-cassandra-clickstream,0.8718,39.7773,0.0103,89.9518,68.2505,-0.0008
IBM_ios-mapkit-indoor-map,0.8188,42.1403,0.0078,89.9661,62.5103,-0.0006
IBM_kubernetes-storage,0.7090,37.5981,0.0132,89.7407,61.6785,0.0028
IBM_logdna-cos,0.8292,39.4786,0.0106,89.8857,63.7591,-0.0011
IBM_spectrum-protect-sppmon,0.5744,36.0048,0.0158,88.9806,57.9626,-0.0007
IBM_torc_py,0.5419,34.3114,0.0192,89.0313,56.1186,-0.0004
IBM_vpc-flowlogs-log-analysis,0.3585,27.7409,0.0410,52.6300,50.5092,-0.0005
IceFireDB_IceFireDB,0.1909,26.1314,0.0494,88.8947,42.6721,0.0002
