ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.6743,34.7690,0.0183,89.2032,60.6479,-0.0031
23fa-cpsc490_canyough,0.5641,37.4163,0.0135,89.3702,59.9383,0.0045
2WAY_Design,0.6098,35.3296,0.0171,89.8536,57.8314,0.0006
Activiti_activiti-7-developers-guide,0.5095,37.6030,0.0132,89.9183,57.6761,0.0006
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.6368,38.9446,0.0113,89.9476,59.7721,-0.0014
AmnisIO_AmnisIO,0.7049,36.9419,0.0142,87.7101,61.0195,-0.0042
AndreasM009_AadApiGatekeeper,0.2369,26.4684,0.0475,36.6564,44.4783,0.0009
ArnBaudzus_FluxSurfer,0.4346,30.4442,0.0300,87.4699,53.4206,-0.0002
Azure_AzureStack-QuickStart-Templates,0.5746,38.4632,0.0119,89.9251,59.2659,0.0009
BoraxTheClean_DevelopmentMachine,0.6862,40.5050,0.0094,89.4200,63.4645,0.0001
Bytom-Community_Bytom-Server,0.6116,38.5347,0.0118,89.9393,57.6684,-0.0054
CMU-RERC-APT_tiramisu3-pr,0.1537,25.3627,0.0539,18.8931,44.2661,-0.0006
CMUChimpsLab_Peekaboo,0.5920,33.1965,0.0219,85.0482,57.7912,-0.0003
CodisLabs_codis,0.7458,37.8497,0.0128,88.0579,63.3750,0.0005
Connor1996_Pokemon,0.0845,25.2933,0.0544,20.0789,40.4605,-0.0002
Cpanchal1_Chatbot101-with-AWS-Lambda,0.6623,33.8607,0.0203,89.6836,57.5772,-0.0007
Crazy0416_KnowledgeGraph,0.7814,38.0447,0.0125,88.6279,62.9435,0.0012
DJMcK_aws-lake-training,0.5825,38.8481,0.0114,89.4442,63.0139,-0.0048
DanNguyenN_CompassUTD,0.6302,34.3917,0.0191,85.5611,57.8060,0.0052
DecenterApps_ResistanceProtocol,0.5534,38.5893,0.0118,88.6838,62.1618,0.0002
DehengYang_APRConfig,0.6607,34.9380,0.0179,85.2372,60.7803,-0.0002
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.5595,33.4394,0.0213,87.4372,56.4067,-0.0011
EMERIC237_Restaurant-reservation-app,0.4001,31.2002,0.0275,78.3475,51.1017,-0.0024
EOS-Nation_dfuse-docs,0.6036,37.4781,0.0134,88.7591,59.8115,0.0016
Elkinmt19_feature-hero-ml,0.5408,37.2085,0.0138,88.3591,58.9193,-0.0049
Enterprise-CMCS_macpro-appian-connector,0.8466,39.3060,0.0108,89.4816,68.2943,-0.0025
FAC10_week4-jajascript,0.4675,29.4610,0.0336,65.6657,49.9046,0.0042
FPriv_factom-harmony-connect-python-sdk,0.5867,38.6592,0.0117,89.9261,60.3913,-0.0019
Fenkey_irma,0.5748,36.2237,0.0154,87.0141,56.6512,-0.0012
Fintan-contents_case-studies,0.6511,38.5106,0.0119,89.1134,59.3756,-0.0001
FudanOCR_FudanOCR,0.7226,36.5810,0.0148,89.8711,59.6585,-0.0002
