ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.7277,35.2546,0.0173,89.1952,60.8948,0.0008
23fa-cpsc490_canyough,0.5932,37.3325,0.0136,89.3754,59.8786,-0.0018
2WAY_Design,0.6961,35.8271,0.0162,89.9149,58.1440,0.0012
Activiti_activiti-7-developers-guide,0.5109,37.6854,0.0131,89.9150,57.7177,0.0032
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.6693,38.8995,0.0114,89.9498,59.7529,0.0005
AmnisIO_AmnisIO,0.7645,37.3654,0.0135,87.7331,61.2424,0.0012
AndreasM009_AadApiGatekeeper,NA,NA,NA,NA,NA,NA
ArnBaudzus_FluxSurfer,NA,NA,NA,NA,NA,NA
Azure_AzureStack-QuickStart-Templates,NA,NA,NA,NA,NA,NA
BoraxTheClean_DevelopmentMachine,0.6913,39.5878,0.0105,89.4063,63.0037,0.0003
Bytom-Community_Bytom-Server,0.6050,37.8109,0.0129,89.9253,57.2882,0.0004
CMU-RERC-APT_tiramisu3-pr,0.1574,25.3256,0.0542,18.8960,44.2425,0.0006
CMUChimpsLab_Peekaboo,0.6052,33.1860,0.0219,85.0233,57.7855,-0.0004
CodisLabs_codis,0.7736,37.3276,0.0136,88.0371,63.1066,-0.0021
Connor1996_Pokemon,0.0981,25.4697,0.0533,20.0791,40.5487,-0.0006
Cpanchal1_Chatbot101-with-AWS-Lambda,0.6380,33.5032,0.0211,89.6802,57.3967,0.0008
Crazy0416_KnowledgeGraph,0.7829,37.3804,0.0135,88.6177,62.6080,-0.0001
DJMcK_aws-lake-training,0.6591,38.6738,0.0116,89.4471,62.9275,0.0011
DanNguyenN_CompassUTD,0.6737,34.3605,0.0191,85.5626,57.7859,0.0044
DecenterApps_ResistanceProtocol,0.5609,37.4058,0.0135,88.6589,61.5740,0.0066
DehengYang_APRConfig,0.6215,34.6709,0.0185,85.2225,60.6467,-0.0009
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.5998,33.2984,0.0216,87.4192,56.3568,0.0028
EMERIC237_Restaurant-reservation-app,0.4515,31.3067,0.0272,78.3649,51.1554,0.0004
EOS-Nation_dfuse-docs,0.6515,37.7288,0.0130,88.7798,59.9402,-0.0046
Elkinmt19_feature-hero-ml,0.5198,37.1064,0.0140,88.4812,58.8684,0.0012
Enterprise-CMCS_macpro-appian-connector,0.8556,38.4412,0.0120,89.4703,67.8546,0.0007
FAC10_week4-jajascript,0.3932,29.4941,0.0335,65.6734,49.9153,-0.0084
FPriv_factom-harmony-connect-python-sdk,0.6298,38.9154,0.0113,89.9235,60.5950,0.0051
Fenkey_irma,0.5795,36.1057,0.0157,87.0791,56.5816,0.0037
Fintan-contents_case-studies,0.6600,37.5694,0.0132,89.1076,58.9051,0.0009
FudanOCR_FudanOCR,0.7022,36.4151,0.0151,89.8391,59.5483,-0.0040
GoogleCloudPlatform_analytics-componentized-patterns,0.6718,36.9263,0.0142,89.3837,62.0546,-0.0026
GoogleCloudPlatform_datacatalog-tag-engine,0.2242,26.0035,0.0501,29.9988,47.5587,-0.0012
GoogleCloudPlatform_gke-pubsub-websocket-adapter,NA,NA,NA,NA,NA,NA
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0182,24.6947,0.0582,7.6227,27.7126,-0.0028
IBM_IBM-Spectrum-Scale-Security-Posture,0.5235,35.9049,0.0160,88.7365,56.6753,-0.0014
IBM_cognos-analytics-to-visualize-business-data,0.8481,40.3628,0.0096,89.9580,65.6932,-0.0001
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,0.8004,39.1025,0.0111,89.9335,64.9375,0.0003
IBM_datastax-cassandra-clickstream,0.8886,40.3207,0.0096,89.9609,68.5244,0.0002
IBM_ios-mapkit-indoor-map,0.7692,41.4943,0.0084,89.9654,62.1864,-0.0012
IBM_kubernetes-storage,0.7407,38.7511,0.0115,89.8226,62.2744,0.0006
IBM_logdna-cos,0.7706,37.2818,0.0137,89.2691,62.6556,-0.0005
