ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.7243,34.6348,0.0185,89.2004,60.5671,-0.0004
23fa-cpsc490_canyough,NA,NA,NA,NA,NA,NA
2WAY_Design,0.6447,35.3015,0.0172,89.8494,57.8115,0.0027
Activiti_activiti-7-developers-guide,0.5443,37.8260,0.0128,89.9255,57.7859,0.0101
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.6719,38.6403,0.0117,89.9454,59.6189,-0.0010
AmnisIO_AmnisIO,0.7008,36.6941,0.0146,87.6414,60.8907,0.0014
AndreasM009_AadApiGatekeeper,NA,NA,NA,NA,NA,NA
ArnBaudzus_FluxSurfer,0.4376,30.3622,0.0303,87.3957,53.4291,0.0004
Azure_AzureStack-QuickStart-Templates,0.5430,37.7739,0.0129,89.8712,58.7581,-0.0032
BoraxTheClean_DevelopmentMachine,0.6983,39.3344,0.0108,89.3950,62.8771,0.0006
Bytom-Community_Bytom-Server,0.6290,38.1255,0.0124,89.9362,57.4527,-0.0064
CMU-RERC-APT_tiramisu3-pr,0.1551,25.2355,0.0547,18.8929,44.1986,0.0002
CMUChimpsLab_Peekaboo,0.6506,33.3733,0.0214,85.0610,57.8792,0.0000
CodisLabs_codis,NA,NA,NA,NA,NA,NA
Connor1996_Pokemon,0.0954,25.3488,0.0540,20.0781,40.4883,0.0006
Cpanchal1_Chatbot101-with-AWS-Lambda,0.6739,33.7673,0.0205,89.6929,57.5302,0.0018
Crazy0416_KnowledgeGraph,0.7775,37.3965,0.0135,88.6198,62.6161,-0.0004
DJMcK_aws-lake-training,0.6313,38.2718,0.0122,89.4377,62.7242,-0.0004
DanNguyenN_CompassUTD,0.6239,34.1643,0.0196,85.5386,57.6419,0.0086
DecenterApps_ResistanceProtocol,0.5777,38.3769,0.0121,88.6837,62.0549,0.0045
DehengYang_APRConfig,0.6741,34.7818,0.0182,85.2309,60.7022,0.0001
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.5769,33.4063,0.0214,87.4183,56.3856,0.0016
EMERIC237_Restaurant-reservation-app,0.4112,31.2893,0.0273,78.3620,51.1470,0.0018
EOS-Nation_dfuse-docs,0.6251,37.5457,0.0133,88.7667,59.8541,-0.0027
Elkinmt19_feature-hero-ml,0.5718,37.4377,0.0134,88.4848,59.0340,0.0021
Enterprise-CMCS_macpro-appian-connector,0.8695,38.9847,0.0112,89.4818,68.1269,0.0000
FAC10_week4-jajascript,0.4733,29.4609,0.0336,65.6844,49.9053,0.0075
FPriv_factom-harmony-connect-python-sdk,0.6379,39.2644,0.0109,89.9366,60.8238,-0.0058
Fenkey_irma,0.6016,36.0542,0.0158,87.0818,56.5836,-0.0027
Fintan-contents_case-studies,0.6851,37.9284,0.0127,89.1042,59.0844,0.0062
FudanOCR_FudanOCR,0.6977,36.3793,0.0152,89.8202,59.5507,-0.0001
GoogleCloudPlatform_analytics-componentized-patterns,0.6720,36.8757,0.0143,89.3904,62.0277,-0.0009
GoogleCloudPlatform_datacatalog-tag-engine,0.2320,26.1569,0.0492,30.0001,47.6353,-0.0002
GoogleCloudPlatform_gke-pubsub-websocket-adapter,NA,NA,NA,NA,NA,NA
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0206,24.7052,0.0582,7.6239,27.7178,0.0008
