ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,0.8918,37.0924,0.0140,0.0000,58.6679,0.0002
23fa-cpsc490_canyough,NA,NA,NA,NA,NA,NA
2WAY_Design,0.8938,36.9802,0.0142,0.0000,57.6300,0.0063
Activiti_activiti-7-developers-guide,0.9176,37.8669,0.0128,0.0000,59.4112,-0.0014
AhmedAbdelGawadFarag_Shams-Personal-Assistant,0.9040,37.6148,0.0132,0.0000,60.1443,-0.0004
AmnisIO_AmnisIO,0.9025,37.4379,0.0134,0.0000,59.6800,0.0022
AndreasM009_AadApiGatekeeper,NA,NA,NA,NA,NA,NA
ArnBaudzus_FluxSurfer,0.8994,37.6385,0.0131,0.0000,59.1815,0.0080
Azure_AzureStack-QuickStart-Templates,0.9061,37.5214,0.0133,0.0000,60.1640,0.0041
BoraxTheClean_DevelopmentMachine,0.9192,37.9727,0.0126,0.0000,59.2609,-0.0015
Bytom-Community_Bytom-Server,0.9249,38.9547,0.0113,0.0000,61.8700,-0.0026
CMU-RERC-APT_tiramisu3-pr,0.9305,39.2364,0.0109,0.0000,61.9002,-0.0003
CMUChimpsLab_Peekaboo,0.8660,36.0034,0.0158,0.0000,58.0183,-0.0016
CodisLabs_codis,NA,NA,NA,NA,NA,NA
Connor1996_Pokemon,0.9427,39.6585,0.0104,0.0000,63.2514,0.0000
Cpanchal1_Chatbot101-with-AWS-Lambda,0.9022,37.2198,0.0138,0.0000,57.6673,0.0010
Crazy0416_KnowledgeGraph,0.9051,38.0488,0.0125,0.0000,59.0758,-0.0018
DJMcK_aws-lake-training,0.9268,38.8799,0.0114,0.0000,60.5139,-0.0007
DanNguyenN_CompassUTD,0.8934,37.1548,0.0139,0.0000,58.7608,0.0041
DecenterApps_ResistanceProtocol,0.9190,38.4572,0.0119,0.0000,60.0457,0.0019
DehengYang_APRConfig,0.9031,37.5950,0.0132,0.0000,59.6782,-0.0018
DevOps-Represent_devopsgirls-bootcamp-cn-2,0.9054,37.4571,0.0133,0.0000,58.8342,-0.0002
EMERIC237_Restaurant-reservation-app,0.9354,39.5246,0.0106,0.0000,61.6137,0.0018
EOS-Nation_dfuse-docs,0.8974,37.5521,0.0133,0.0000,57.7815,0.0037
Elkinmt19_feature-hero-ml,0.8823,36.8183,0.0144,0.0000,56.9010,-0.0000
