ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
0xMelkor_ethereum-node,NA,NA,NA,NA,NA,NA
23fa-cpsc490_canyough,NA,NA,NA,NA,NA,NA
2WAY_Design,0.9083,35.4057,0.0168,0.0000,57.7828,0.0000
Activiti_activiti-7-developers-guide,0.9005,36.3479,0.0152,0.0000,57.0532,-0.0003
AhmedAbdelGawadFarag_Shams-Personal-Assistant,NA,NA,NA,NA,NA,NA
AmnisIO_AmnisIO,NA,NA,NA,NA,NA,NA
AndreasM009_AadApiGatekeeper,NA,NA,NA,NA,NA,NA
ArnBaudzus_FluxSurfer,NA,NA,NA,NA,NA,NA
Azure_AzureStack-QuickStart-Templates,NA,NA,NA,NA,NA,NA
BoraxTheClean_DevelopmentMachine,NA,NA,NA,NA,NA,NA
Bytom-Community_Bytom-Server,NA,NA,NA,NA,NA,NA
CMU-RERC-APT_tiramisu3-pr,NA,NA,NA,NA,NA,NA
CMUChimpsLab_Peekaboo,NA,NA,NA,NA,NA,NA
CodisLabs_codis,NA,NA,NA,NA,NA,NA
Connor1996_Pokemon,NA,NA,NA,NA,NA,NA
Cpanchal1_Chatbot101-with-AWS-Lambda,NA,NA,NA,NA,NA,NA
Crazy0416_KnowledgeGraph,NA,NA,NA,NA,NA,NA
DJMcK_aws-lake-training,NA,NA,NA,NA,NA,NA
DanNguyenN_CompassUTD,NA,NA,NA,NA,NA,NA
DecenterApps_ResistanceProtocol,NA,NA,NA,NA,NA,NA
DehengYang_APRConfig,NA,NA,NA,NA,NA,NA
DevOps-Represent_devopsgirls-bootcamp-cn-2,NA,NA,NA,NA,NA,NA
EMERIC237_Restaurant-reservation-app,NA,NA,NA,NA,NA,NA
EOS-Nation_dfuse-docs,NA,NA,NA,NA,NA,NA
Elkinmt19_feature-hero-ml,NA,NA,NA,NA,NA,NA
Enterprise-CMCS_macpro-appian-connector,NA,NA,NA,NA,NA,NA
FAC10_week4-jajascript,NA,NA,NA,NA,NA,NA
FPriv_factom-harmony-connect-python-sdk,NA,NA,NA,NA,NA,NA
Fenkey_irma,NA,NA,NA,NA,NA,NA
Fintan-contents_case-studies,NA,NA,NA,NA,NA,NA
FudanOCR_FudanOCR,NA,NA,NA,NA,NA,NA
GoogleCloudPlatform_analytics-componentized-patterns,NA,NA,NA,NA,NA,NA
GoogleCloudPlatform_datacatalog-tag-engine,NA,NA,NA,NA,NA,NA
GoogleCloudPlatform_gke-pubsub-websocket-adapter,0.9834,45.1281,0.0055,89.9829,61.6717,0.0004
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,NA,NA,NA,NA,NA,NA
IBM_IBM-Spectrum-Scale-Security-Posture,NA,NA,NA,NA,NA,NA
IBM_cognos-analytics-to-visualize-business-data,NA,NA,NA,NA,NA,NA
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,NA,NA,NA,NA,NA,NA
IBM_datastax-cassandra-clickstream,NA,NA,NA,NA,NA,NA
IBM_ios-mapkit-indoor-map,NA,NA,NA,NA,NA,NA
IBM_kubernetes-storage,NA,NA,NA,NA,NA,NA
IBM_logdna-cos,NA,NA,NA,NA,NA,NA
IBM_spectrum-protect-sppmon,NA,NA,NA,NA,NA,NA
IBM_torc_py,0.8779,34.2849,0.0191,0.0000,56.1401,0.0005
IBM_vpc-flowlogs-log-analysis,NA,NA,NA,NA,NA,NA
IceFireDB_IceFireDB,0.3903,26.5085,0.0470,0.0000,42.9062,-0.0012
JessNah_BeeGreen,NA,NA,NA,NA,NA,NA
JuliaParallel_DagScheduler.jl,NA,NA,NA,NA,NA,NA
KMuthumala_ESP32-BLE-Beaconing,NA,NA,NA,NA,NA,NA
KuangRD_Autonomous-Driving,NA,NA,NA,NA,NA,NA
LouisvilleMetro_WazeCCPProcessor,NA,NA,NA,NA,NA,NA
Luizbrandt_users-crud-salesforce,NA,NA,NA,NA,NA,NA
McOrts_taller-iot-sensor_radiactividad,NA,NA,NA,NA,NA,NA
Melacon_WirelessTransportEmulator,NA,NA,NA,NA,NA,NA
MyEMS_myems,0.8813,36.4379,0.0150,0.0000,59.2022,-0.0008
NLP4L_attic-nlp4l,NA,NA,NA,NA,NA,NA
NatalieLouise91_T3A2-Skemi-FrontEnd,NA,NA,NA,NA,NA,NA
Neighbor-Army_help-with-covid,0.9410,36.6572,0.0146,89.8936,66.1976,0.0001
NeuralDev-io_arclytics_simcct,NA,NA,NA,NA,NA,NA
NicoJuicy_Airline-Microservices,NA,NA,NA,NA,NA,NA
Nishu0_anime_nft_marketplace,NA,NA,NA,NA,NA,NA
NodleCode_n1,NA,NA,NA,NA,NA,NA
OAID_Tengine,NA,NA,NA,NA,NA,NA
OpenIPC_motors,NA,NA,NA,NA,NA,NA
OpenPSD_modelbank,NA,NA,NA,NA,NA,NA
OpenRoberta_robertalab-ev3dev,NA,NA,NA,NA,NA,NA
OpiumProtocol_opium-protocol-v2,NA,NA,NA,NA,NA,NA
ParaStation_psmpi,NA,NA,NA,NA,NA,NA
Resurgence-VM-Development_Resurgence,NA,NA,NA,NA,NA,NA
RunnersHi_RunnersHi_Server,NA,NA,NA,NA,NA,NA
SV-97_HumanResourceMachine,NA,NA,NA,NA,NA,NA
SafeBreach-Labs_hAFL2,NA,NA,NA,NA,NA,NA
Sanperolo_The-Intelligent-Bike,NA,NA,NA,NA,NA,NA
Scientific-Computing-Lab-NRCN_compar,NA,NA,NA,NA,NA,NA
SecHack365-Fans_PyJailBreak,NA,NA,NA,NA,NA,NA
ShiftLeftSecurity_traceleft,NA,NA,NA,NA,NA,NA
Simon-0711_ta_lyrics_sentiment_classification,0.9486,38.7150,0.0116,0.0000,61.5295,-0.0005
SimonLdj_hypnolog-server,0.9172,36.3416,0.0151,0.0000,55.7956,-0.0003
SocialGouv_archifiltre-docs,NA,NA,NA,NA,NA,NA
Software-Engineering-DHBW_bikeminer,NA,NA,NA,NA,NA,NA
Speccy-Rom_SpeccyTV,NA,NA,NA,NA,NA,NA
SpektraSystems_CloudLabs-Azure,NA,NA,NA,NA,NA,NA
Spiderpig86_SmoresUnderflow,NA,NA,NA,NA,NA,NA
Taymindis_fcgi-function,NA,NA,NA,NA,NA,NA
TestHaters_ctflow,NA,NA,NA,NA,NA,NA
UBC-CIC_Student-Connect-App,NA,NA,NA,NA,NA,NA
UnoSD_UnoCash,NA,NA,NA,NA,NA,NA
UoA-eResearch_hub-stack,NA,NA,NA,NA,NA,NA
WeBankFinTech_DeFiBus,NA,NA,NA,NA,NA,NA
XenitAB_git-auth-proxy,NA,NA,NA,NA,NA,NA
Xsidelight_flutter_interview_questions,NA,NA,NA,NA,NA,NA
YW-Ma_Algorithms-Visualizer,NA,NA,NA,NA,NA,NA
YashwantChauhan_SDL,NA,NA,NA,NA,NA,NA
ZID-Automat_Controller-ZIDAutomat,NA,NA,NA,NA,NA,NA
abel-gr_warehouse-robot,NA,NA,NA,NA,NA,NA
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,0.6130,28.6533,0.0369,0.0000,50.3056,0.0000
afonsocastro_larcc_interface,NA,NA,NA,NA,NA,NA
alanchn31_Movalytics-Data-Warehouse,NA,NA,NA,NA,NA,NA
alexandredev3_nodejs-clean-architeture,NA,NA,NA,NA,NA,NA
alexprut_earth-defender,NA,NA,NA,NA,NA,NA
alextanhongpin_node-rest,NA,NA,NA,NA,NA,NA
alfredcs_immersion_day_labs,NA,NA,NA,NA,NA,NA
aliyun_packagist-mirror,NA,NA,NA,NA,NA,NA
allegroai_clearml-agent,NA,NA,NA,NA,NA,NA
andersonkmi_credit-card-bindb-service-aws,NA,NA,NA,NA,NA,NA
andrempmattos_harsh-payload,NA,NA,NA,NA,NA,NA
anjuchamantha_EMonitor,NA,NA,NA,NA,NA,NA
ankithans_codeX,NA,NA,NA,NA,NA,NA
annashres_CustomerBot,NA,NA,NA,NA,NA,NA
anvasquezre_sabiduria_asegurada_experiments,NA,NA,NA,NA,NA,NA
apache_apisix-dashboard,NA,NA,NA,NA,NA,NA
apigee_consumer-data-standards-au,NA,NA,NA,NA,NA,NA
argrecsys_argael,NA,NA,NA,NA,NA,NA
arkaneshiro_Sound-Zone,NA,NA,NA,NA,NA,NA
ashavijit_Face-Find,0.9486,37.8158,0.0128,89.9366,63.4057,-0.0001
aurelien-m_raspberrypi-rustpy,NA,NA,NA,NA,NA,NA
avarghesein_ActiveX.NET,0.9177,36.3523,0.0151,0.0000,56.9202,0.0002
aws-solutions_automated-security-response-on-aws,NA,NA,NA,NA,NA,NA
aws-solutions_iot-device-simulator,NA,NA,NA,NA,NA,NA
awslabs_benchmark-ai,NA,NA,NA,NA,NA,NA
azuregomez_SecurePaaS,NA,NA,NA,NA,NA,NA
badr42_oke_A1,NA,NA,NA,NA,NA,NA
balajich_resilience4j-helloworld,NA,NA,NA,NA,NA,NA
ballerina-platform_asyncapi-tools,NA,NA,NA,NA,NA,NA
batatero_arquiteturaPHP00,NA,NA,NA,NA,NA,NA
bcgov_embc-ess,NA,NA,NA,NA,NA,NA
becloudway_serverless-data-pipeline,NA,NA,NA,NA,NA,NA
beston123_Tarzan,NA,NA,NA,NA,NA,NA
bianjieai_tibc,NA,NA,NA,NA,NA,NA
blentle_hikarikeeper,NA,NA,NA,NA,NA,NA
blockchain-signaling-system_bloss-core,NA,NA,NA,NA,NA,NA
bluekiri_mlab,NA,NA,NA,NA,NA,NA
boot2podman_machine,NA,NA,NA,NA,NA,NA
brightzheng100_instana-handson-labs,NA,NA,NA,NA,NA,NA
btcpayserver_btcpayserver-doc,NA,NA,NA,NA,NA,NA
calmato_gran-book,NA,NA,NA,NA,NA,NA
cap-ntu_Video-to-Retail-Platform,NA,NA,NA,NA,NA,NA
caraml-dev_turing,NA,NA,NA,NA,NA,NA
castle-finance_vault-transaction-indexer,NA,NA,NA,NA,NA,NA
chaitin_veinmind-tools,0.9327,38.5008,0.0119,0.0000,58.6903,0.0006
chirgjin_track-my-events,NA,NA,NA,NA,NA,NA
chrispiro_deploy_plotly_app_on_gcp,0.9325,36.8969,0.0142,0.0000,59.2992,-0.0007
chsakell_planet-scale-azure,NA,NA,NA,NA,NA,NA
clemgbld_blog_back_office,NA,NA,NA,NA,NA,NA
codahale_sneaker,NA,NA,NA,NA,NA,NA
codestates_BEB-05-LeeSea,NA,NA,NA,NA,NA,NA
cordon-thiago_airflow-spark,0.9304,38.0068,0.0125,89.9663,57.8629,-0.0004
coverage-robot_core,NA,NA,NA,NA,NA,NA
danielfm_prometheus-for-developers,NA,NA,NA,NA,NA,NA
darrenyao87_tnn-models,NA,NA,NA,NA,NA,NA
david3107_squatm3gator,NA,NA,NA,NA,NA,NA
davidlandry93_glo4001,NA,NA,NA,NA,NA,NA
de1ux_statlord,NA,NA,NA,NA,NA,NA
decentraland_catalyst,NA,NA,NA,NA,NA,NA
dich1_bookshelf-web,NA,NA,NA,NA,NA,NA
doitintl_banias,NA,NA,NA,NA,NA,NA
domingo1021_Bunny-code,0.9289,36.8160,0.0144,0.0000,62.0544,-0.0001
